date,hash_rate_ths,tx_count_24h,mempool_count,mempool_size_bytes
2021-07-22,103989257.2192314,230282.0,6495.5,2655448.5
2021-07-23,91755226.95814537,231130.0,2247.0,841772.5
2021-07-24,104668925.56706952,198091.0,8420.5,3829839.5
2021-07-25,103989257.2192314,174535.0,,
2021-07-26,101950252.17571706,261950.0,2436.5,1046893.5
2021-07-27,115543619.13247934,255221.0,1405.5,1181226.0
2021-07-28,106707930.61058386,251223.0,3778.5,2469345.5
2021-07-29,108746935.65409821,262612.0,3499.0,2806263.0
2021-07-30,112824945.7411269,255417.0,3742.0,1879987.5
2021-07-31,112465862.12588961,207348.0,,
2021-08-01,110975800.79118258,185157.0,1413.0,534054.5
2021-08-02,103048957.87752669,239277.0,2641.5,9331561.5
2021-08-03,121785132.03707698,246198.0,2231.5,1877367.5
2021-08-04,98004603.29610927,239596.0,10421.5,7123684.5
2021-08-05,115299533.28954034,246175.0,,
2021-08-06,114578911.20648071,260810.0,610.0,233395.5
2021-08-07,120343887.87095772,212229.0,734.5,432969.0
2021-08-08,113858289.12342106,191623.0,3854.5,1893425.5
2021-08-09,109534556.62506332,252660.0,4451.0,2362507.0
2021-08-10,118902643.70483847,260968.0,1759.5,642647.0
2021-08-11,105931446.20976518,262437.0,,
2021-08-12,108813934.5420037,250961.0,969.0,443550.5
2021-08-13,108175319.62792763,260624.0,1338.5,1116907.0
2021-08-14,126820808.5468918,209074.0,3952.5,1819918.5
2021-08-15,140740165.58252627,186239.0,997.5,706675.5
2021-08-16,124500915.70761941,263529.0,3047.0,12197941.0
2021-08-17,133007189.45161822,257766.0,,
2021-08-18,104395177.76725851,247333.0,1084.5,464801.5
2021-08-19,119087832.41598378,253447.0,949.5,422720.0
2021-08-20,123727618.0945286,271837.0,9674.0,4073837.0
2021-08-21,131460594.22543663,219407.0,2032.5,688178.0
2021-08-22,126820808.5468918,190631.0,,
2021-08-23,152339629.77888831,270736.0,341.5,242499.5
2021-08-24,119087832.41598378,263984.0,616.5,259724.5
2021-08-25,130687447.2547367,263009.0,1289.0,484572.0
2021-08-26,127844614.11993943,258590.0,2560.5,832632.5
2021-08-27,127844614.11993943,256813.0,1156.5,443094.0
2021-08-28,123466373.91035247,218268.0,,
2021-08-29,136601094.53911337,191650.0,470.0,2555491.0
2021-08-30,118212485.65884812,250955.0,3803.5,3294747.5
2021-08-31,126093318.03610466,271163.0,8971.0,4821054.0
2021-09-01,119963781.7426829,280865.0,21487.5,13890801.5
2021-09-02,130471558.24569161,289900.0,,
2021-09-03,129595910.20377423,283991.0,5384.5,4040405.5
2021-09-04,135725446.49719596,227732.0,901.0,286693.5
2021-09-05,143606278.8744525,205066.0,1646.5,546281.0
2021-09-06,150611463.20979166,268877.0,7793.0,6360101.0
2021-09-07,133974150.41336119,276624.0,13098.5,8326285.5
2021-09-08,129910433.67934506,270483.0,,
2021-09-09,125412870.36132078,274384.0,1173.5,408504.5
2021-09-10,124497447.94992428,261371.0,2725.0,1855879.0
2021-09-11,135482516.8866823,218445.0,6641.5,3203550.0
2021-09-12,134567094.4752858,192691.0,5149.5,2015873.0
2021-09-13,145552163.4120438,255970.0,,
2021-09-14,153790965.11461234,268127.0,304.0,147030.5
2021-09-15,129989982.41830327,268957.0,2011.5,965048.5
2021-09-16,124497447.94992428,271223.0,2914.5,7886194.0
2021-09-17,134567094.4752858,271040.0,11546.0,5284086.0
2021-09-18,141890473.7664578,227661.0,1374.5,823607.5
2021-09-19,146467585.8234403,200516.0,,
2021-09-20,150129275.4690263,270233.0,1777.5,825344.5
2021-09-21,113928907.44351819,244568.0,7297.0,3638239.0
2021-09-22,126546633.84005067,275235.0,5728.5,2106878.5
2021-09-23,155822347.6388684,268689.0,5037.5,2157090.5
2021-09-24,139767923.94274256,277565.0,501.5,240183.0
2021-09-25,135990412.4848306,212575.0,,
2021-09-26,131268523.16244063,195560.0,395.0,212482.0
2021-09-27,146378568.99408844,255873.0,3072.5,2076766.5
2021-09-28,143545435.4006545,262292.0,554.0,244910.0
2021-09-29,122769122.38213871,241991.0,7068.0,20193608.0
2021-09-30,161488614.82573634,293074.0,,
2021-10-01,132212901.02691859,277042.0,466.5,223694.5
2021-10-02,177543038.52186212,259961.0,651.0,259057.5
2021-10-03,141656679.6716985,218112.0,1286.5,452161.5
2021-10-04,147411968.39584854,268955.0,948.0,386835.0
2021-10-05,162177735.83152118,312538.0,2214.0,2512245.0
2021-10-06,129544410.9385932,267749.0,,
2021-10-07,139433297.2697835,325875.0,37275.5,22386470.0
2021-10-08,118666635.97428384,280028.0,7212.5,5952546.0
2021-10-09,148333294.9678548,246189.0,1506.0,533464.5
2021-10-10,157233292.66592607,211506.0,854.5,556642.5
2021-10-11,144377740.43537864,280184.0,,
2021-10-12,132511076.83795026,274155.0,2099.0,3307101.0
2021-10-13,167122178.99711636,288916.0,3373.5,1380309.0
2021-10-14,135477742.7373074,282383.0,927.5,1524249.0
2021-10-15,139433297.2697835,297746.0,14414.5,6206954.0
2021-10-16,131522188.20483124,270052.0,884.0,562930.5
2021-10-17,158222181.29904512,215883.0,,
2021-10-18,146534419.32302314,285368.0,2537.0,1075711.0
2021-10-19,154737198.72913387,312018.0,6420.0,3219315.0
2021-10-20,148747371.68155453,291813.0,16857.5,10594014.0
2021-10-21,147749067.17362463,320743.0,7509.0,7441145.5
2021-10-22,157732112.25292358,287550.0,,
