date,gas_price_gwei
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,604.68415487
2015-08-08,322.713574989
2015-08-09,475.467129048
2015-08-10,421.654904254
2015-08-11,77.838819162
2015-08-12,444.902379011
2015-08-13,268.683475202
2015-08-14,193.455494453
2015-08-15,144.368937208
2015-08-16,120.940093311
2015-08-17,132.149993345
2015-08-18,146.513014268
2015-08-19,194.583349948
2015-08-20,99.011782801
2015-08-21,79.543407701
2015-08-22,552.841333007
2015-08-23,73.439482806
2015-08-24,92.409814705
2015-08-25,76.432335617
2015-08-26,60.481160549
2015-08-27,59.307091958
2015-08-28,92.879907335
2015-08-29,56.211090684
2015-08-30,55.155494457
2015-08-31,58.423521569
2015-09-01,56.671549652
2015-09-02,59.243651401
2015-09-03,55.051483461
2015-09-04,58.779015464
2015-09-05,54.768144366
2015-09-06,55.089818552
2015-09-07,53.594260637
2015-09-08,64.932639811
2015-09-09,53.779997784
2015-09-10,54.63065767
2015-09-11,55.713802958
2015-09-12,61.830202468
2015-09-13,52.313524792
2015-09-14,53.772389657
2015-09-15,53.191101494
2015-09-16,111.518559318
2015-09-17,55.637920883
2015-09-18,55.703151966
2015-09-19,51.639660974
2015-09-20,52.910345407
2015-09-21,51.171380285
2015-09-22,51.465441496
2015-09-23,51.732832046
2015-09-24,54.262646753
2015-09-25,52.300197415
2015-09-26,55.315658061
2015-09-27,51.025979902
2015-09-28,52.683661382
2015-09-29,55.43714186
2015-09-30,51.461473059
2015-10-01,51.474669294
2015-10-02,52.567714347
2015-10-03,52.502578427
2015-10-04,50.733256095
2015-10-05,50.742818443
2015-10-06,51.375494165
2015-10-07,51.181314265
2015-10-08,56.971870131
2015-10-09,61.962572208
2015-10-10,64.89330298
2015-10-11,56.318375319
2015-10-12,51.359902694
2015-10-13,53.219625156
2015-10-14,57.976429615
2015-10-15,54.823147993
2015-10-16,53.404946237
2015-10-17,53.619552703
2015-10-18,52.006592112
2015-10-19,52.456819761
2015-10-20,53.767556518
2015-10-21,53.588794315
2015-10-22,57.253941421
2015-10-23,51.207267003
2015-10-24,50.74951837
2015-10-25,51.63533967
2015-10-26,54.58599817
2015-10-27,53.525777571
2015-10-28,54.787998286
2015-10-29,52.364630378
2015-10-30,54.0177187
2015-10-31,53.753181787
2015-11-01,50.751088484
2015-11-02,53.162663704
2015-11-03,51.578536572
2015-11-04,52.243136362
2015-11-05,52.9903114
2015-11-06,52.184810513
2015-11-07,51.944373853
2015-11-08,52.414324288
2015-11-09,51.918274052
2015-11-10,52.23728491
2015-11-11,52.560853806
2015-11-12,59.050838844
2015-11-13,51.534479321
2015-11-14,51.216461485
2015-11-15,51.537798825
2015-11-16,56.768038418
2015-11-17,56.303859554
