date,close,tr,atr_14,atr_14_pct
2021-06-01,362.39,24.92,,
2021-06-02,401.54,69.0,,
2021-06-03,428.48,41.68,,
2021-06-04,390.7,64.5,,
2021-06-05,390.08,52.2,,
2021-06-06,393.73,18.79,,
2021-06-07,357.96,53.89,,
2021-06-08,352.5,47.15,,
2021-06-09,375.54,45.21,,
2021-06-10,351.94,33.42,,
2021-06-11,345.75,25.44,,
2021-06-12,343.7,23.58,,
2021-06-13,365.8,38.52,,
2021-06-14,370.19,22.26,40.04,10.8161
2021-06-15,366.48,16.35,39.4279,10.7585
2021-06-16,347.22,23.42,36.1721,10.4176
2021-06-17,352.85,16.62,34.3821,9.7441
2021-06-18,337.16,29.9,31.9107,9.4646
2021-06-19,334.01,13.89,29.1743,8.7346
2021-06-20,339.08,30.44,30.0064,8.8494
2021-06-21,270.76,73.43,31.4021,11.5978
2021-06-22,262.1,66.08,32.7543,12.4969
2021-06-23,296.25,58.34,33.6921,11.3729
2021-06-24,308.62,34.99,33.8043,10.9534
2021-06-25,280.81,39.6,34.8157,12.3983
2021-06-26,279.65,26.07,34.9936,12.5133
2021-06-27,290.87,21.98,33.8121,11.6245
2021-06-28,290.0,16.41,33.3943,11.5153
2021-06-29,300.79,26.41,34.1129,11.3411
2021-06-30,303.71,23.35,34.1079,11.2304
2021-07-01,287.43,23.0,34.5636,12.025
2021-07-02,287.17,14.34,33.4521,11.6489
2021-07-03,298.13,20.44,33.92,11.3776
2021-07-04,307.62,22.33,33.3407,10.8383
2021-07-05,302.02,16.68,29.2871,9.6971
2021-07-06,319.92,20.7,26.0457,8.1413
2021-07-07,327.51,21.77,23.4336,7.1551
2021-07-08,310.14,23.81,22.635,7.2983
2021-07-09,317.09,18.26,21.1107,6.6576
2021-07-10,316.12,10.87,20.025,6.3346
2021-07-11,322.16,14.61,19.4986,6.0524
2021-07-12,316.12,25.8,20.1693,6.3803
2021-07-13,308.94,13.13,19.2207,6.2215
2021-07-14,309.4,23.22,19.2114,6.2093
2021-07-15,316.11,23.01,19.2121,6.0777
2021-07-16,302.88,22.0,19.7593,6.5238
2021-07-17,300.52,11.71,19.1357,6.3675
2021-07-18,302.1,10.48,18.2893,6.0541
2021-07-19,280.54,25.09,18.89,6.7334
2021-07-20,264.44,29.08,19.4886,7.3698
2021-07-21,293.26,37.9,20.6407,7.0384
2021-07-22,293.36,11.14,19.7357,6.7275
2021-07-23,299.27,20.49,19.895,6.6478
2021-07-24,301.56,12.36,20.0014,6.6327
2021-07-25,302.56,12.1,19.8221,6.5515
2021-07-26,304.0,27.0,19.9079,6.5486
