date,close,ma20,ma20_position,ma60,ma60_position,ma120,ma120_position
2021-06-01,362.39,,,,,,
2021-06-02,401.54,,,,,,
2021-06-03,428.48,,,,,,
2021-06-04,390.7,,,,,,
2021-06-05,390.08,,,,,,
2021-06-06,393.73,,,,,,
2021-06-07,357.96,,,,,,
2021-06-08,352.5,,,,,,
2021-06-09,375.54,,,,,,
2021-06-10,351.94,,,,,,
2021-06-11,345.75,,,,,,
2021-06-12,343.7,,,,,,
2021-06-13,365.8,,,,,,
2021-06-14,370.19,,,,,,
2021-06-15,366.48,,,,,,
2021-06-16,347.22,,,,,,
2021-06-17,352.85,,,,,,
2021-06-18,337.16,,,,,,
2021-06-19,334.01,,,,,,
2021-06-20,339.08,365.355,跌破,,,,
2021-06-21,270.76,360.7735,跌破,,,,
2021-06-22,262.1,353.8015,跌破,,,,
2021-06-23,296.25,347.19,跌破,,,,
2021-06-24,308.62,343.086,跌破,,,,
2021-06-25,280.81,337.6225,跌破,,,,
2021-06-26,279.65,331.9185,跌破,,,,
2021-06-27,290.87,328.564,跌破,,,,
2021-06-28,290.0,325.439,跌破,,,,
2021-06-29,300.79,321.7015,跌破,,,,
2021-06-30,303.71,319.29,跌破,,,,
2021-07-01,287.43,316.374,跌破,,,,
2021-07-02,287.17,313.5475,跌破,,,,
2021-07-03,298.13,310.164,跌破,,,,
2021-07-04,307.62,307.0355,站上,,,,
2021-07-05,302.02,303.8125,跌破,,,,
2021-07-06,319.92,302.4475,站上,,,,
2021-07-07,327.51,301.1805,站上,,,,
2021-07-08,310.14,299.8295,站上,,,,
2021-07-09,317.09,298.9835,站上,,,,
2021-07-10,316.12,297.8355,站上,,,,
2021-07-11,322.16,300.4055,站上,,,,
2021-07-12,316.12,303.1065,站上,,,,
2021-07-13,308.94,303.741,站上,,,,
2021-07-14,309.4,303.78,站上,,,,
2021-07-15,316.11,305.545,站上,,,,
2021-07-16,302.88,306.7065,跌破,,,,
2021-07-17,300.52,307.189,跌破,,,,
2021-07-18,302.1,307.794,跌破,,,,
2021-07-19,280.54,306.7815,跌破,,,,
2021-07-20,264.44,304.818,跌破,,,,
2021-07-21,293.26,305.1095,跌破,,,,
2021-07-22,293.36,305.419,跌破,,,,
2021-07-23,299.27,305.476,跌破,,,,
2021-07-24,301.56,305.173,跌破,,,,
2021-07-25,302.56,305.2,跌破,,,,
2021-07-26,304.0,304.404,跌破,,,,
2021-07-27,313.48,303.7025,站上,,,,
2021-07-28,313.8,303.8855,站上,,,,
2021-07-29,317.03,303.8825,站上,,,,
2021-07-30,322.58,304.2055,站上,322.4653,站上,,
2021-07-31,332.38,304.7165,站上,321.9652,站上,,
2021-08-01,332.59,305.54,站上,320.816,站上,,
2021-08-02,330.55,306.6205,站上,319.1838,站上,,
2021-08-03,323.43,307.322,站上,318.0627,站上,,
2021-08-04,334.77,308.255,站上,317.1408,站上,,
2021-08-05,337.91,310.0065,站上,316.2105,站上,,
2021-08-06,342.39,312.1,站上,315.951,站上,,
2021-08-07,356.18,314.804,站上,316.0123,站上,,
2021-08-08,341.79,317.8665,站上,315.4498,站上,,
2021-08-09,354.32,322.3605,站上,315.4895,站上,,
2021-08-10,371.92,326.2935,站上,315.9257,站上,,
