date,close,tr,atr_14,atr_14_pct
2021-06-01,36693.09,2228.81,,
2021-06-02,37568.68,2305.0,,
2021-06-03,39246.79,2306.0,,
2021-06-04,36829.0,3733.92,,
2021-06-05,35513.2,3125.0,,
2021-06-06,35796.31,1258.0,,
2021-06-07,33552.79,3600.0,,
2021-06-08,33380.81,3068.01,,
2021-06-09,37388.05,5137.97,,
2021-06-10,36675.72,2709.0,,
2021-06-11,37331.98,1743.63,,
2021-06-12,35546.11,2863.27,,
2021-06-13,39020.57,4623.0,,
2021-06-14,40516.29,2334.05,2931.1186,7.2344
2021-06-15,40144.04,1823.6,2902.175,7.2294
2021-06-16,38349.01,2411.13,2909.7557,7.5876
2021-06-17,38092.97,2194.88,2901.8186,7.6177
2021-06-18,35819.84,3073.55,2854.6493,7.9695
2021-06-19,35483.72,1653.48,2749.5407,7.7487
2021-06-20,35600.16,2801.72,2859.8064,8.0331
2021-06-21,31608.93,4498.77,2924.0043,9.2506
2021-06-22,32509.56,4493.78,3025.845,9.3076
2021-06-23,33678.07,3198.0,2887.2757,8.5732
2021-06-24,34663.09,3011.43,2908.8779,8.3919
2021-06-25,31584.45,4225.0,3086.1186,9.771
2021-06-26,32283.65,2579.0,3065.8136,9.4965
2021-06-27,34700.34,2775.55,2933.8529,8.4548
2021-06-28,34494.89,1434.99,2869.6343,8.319
2021-06-29,35911.73,2374.57,2908.9893,8.1004
2021-06-30,35045.0,2082.45,2885.5121,8.2337
2021-07-01,33504.69,2346.57,2896.3471,8.6446
2021-07-02,33786.55,1278.04,2768.0964,8.1929
2021-07-03,34669.13,1628.88,2766.3393,7.9793
2021-07-04,35286.51,1610.7,2681.2664,7.5986
2021-07-05,33690.14,2168.23,2514.7993,7.4645
2021-07-06,34220.01,1586.88,2307.1636,6.7421
2021-07-07,33862.12,1281.32,2170.2579,6.4091
2021-07-08,32875.71,1852.64,2087.4871,6.3496
2021-07-09,33815.81,1838.93,1917.0536,5.6691
2021-07-10,33502.87,1257.22,1822.6407,5.4403
2021-07-11,34258.99,1359.53,1721.4964,5.0249
2021-07-12,33086.63,2020.09,1763.2893,5.3293
2021-07-13,32729.77,1137.75,1674.945,5.1175
2021-07-14,32820.02,1564.03,1637.915,4.9906
2021-07-15,31880.0,2052.25,1616.8921,5.0718
2021-07-16,31383.87,1229.18,1613.4021,5.1409
2021-07-17,31520.07,791.61,1553.5971,4.9289
2021-07-18,31778.56,1326.03,1533.2636,4.8248
2021-07-19,30839.65,1491.56,1484.93,4.815
2021-07-20,29790.35,1785.07,1499.0864,5.0321
2021-07-21,32144.51,3375.39,1648.6629,5.1289
2021-07-22,32287.83,883.35,1579.4279,4.8917
2021-07-23,33634.09,1725.68,1571.3386,4.6719
2021-07-24,34258.14,1098.86,1560.0271,4.5537
2021-07-25,35381.02,1546.88,1573.4093,4.447
2021-07-26,37237.6,5344.22,1810.8471,4.863
2021-07-27,39457.87,3159.61,1955.2657,4.9553
2021-07-28,40019.56,2128.0,1995.5493,4.9864
2021-07-29,40016.48,1440.0,1951.8171,4.8775
2021-07-30,42206.37,4003.48,2149.9814,5.094
2021-07-31,41461.83,1447.85,2196.8557,5.2985
2021-08-01,39845.44,3176.99,2329.0671,5.8453
2021-08-02,39147.82,1790.01,2350.385,6.0039
2021-08-03,38207.05,2137.97,2375.5921,6.2177
2021-08-04,39723.18,2461.1,2310.2857,5.816
2021-08-05,40862.46,4017.3,2534.1393,6.2016
2021-08-06,42836.87,3538.57,2663.6314,6.2181
2021-08-07,44572.54,2253.59,2746.1121,6.161
2021-08-08,43794.37,2049.0,2781.9779,6.3524
2021-08-09,46253.4,3675.15,2662.7586,5.7569
2021-08-10,45584.99,2110.54,2587.825,5.6769
2021-08-11,45511.0,1402.33,2535.9914,5.5723
2021-08-12,44399.0,2448.12,2608.0,5.874
2021-08-13,47800.0,3668.61,2584.0807,5.406
2021-08-14,47068.51,2172.97,2635.875,5.6001
2021-08-15,46973.82,1872.27,2542.6807,5.413
2021-08-16,45901.29,2393.83,2585.8107,5.6334
2021-08-17,44695.95,2784.0,2631.9557,5.8886
2021-08-18,44705.29,1796.72,2584.5,5.7812
2021-08-19,46760.62,3105.3,2519.3571,5.3878
2021-08-20,49322.47,2760.0,2463.745,4.9952
2021-08-21,48821.87,1535.04,2412.42,4.9413
2021-08-22,49239.22,1450.0,2369.6343,4.8125
2021-08-23,49488.85,1471.0,2212.195,4.4701
2021-08-24,47674.01,2260.0,2222.8707,4.6626
2021-08-25,48973.32,2138.02,2275.42,4.6462
2021-08-26,46843.87,3102.84,2322.1857,4.9573
2021-08-27,49069.9,2801.93,2260.28,4.6062
2021-08-28,48895.35,952.12,2173.0764,4.4443
2021-08-29,48767.83,1869.73,2172.895,4.4556
2021-08-30,46982.91,2035.61,2147.3079,4.5704
2021-08-31,47100.89,1546.11,2058.8871,4.3712
2021-09-01,48810.52,2644.0,2119.4071,4.3421
2021-09-02,49246.64,1866.07,2030.8907,4.1239
2021-09-03,49999.14,2683.16,2025.4021,4.0509
2021-09-04,49915.64,1165.69,1999.02,4.0048
2021-09-05,51756.88,2450.0,2070.4486,4.0003
2021-09-06,52663.9,1810.67,2094.7107,3.9775
2021-09-07,46863.73,10076.95,2653.0643,5.6612
2021-09-08,46048.31,2928.97,2709.5607,5.8842
2021-09-09,46395.14,1886.89,2622.7071,5.653
2021-09-10,44850.91,2900.71,2629.7629,5.8633
2021-09-11,45173.69,1265.71,2652.1621,5.871
2021-09-12,46025.24,1717.94,2641.32,5.7389
2021-09-13,44940.73,3510.0,2746.6336,6.1117
2021-09-14,47111.52,2655.56,2825.88,5.9983
2021-09-15,48121.41,1817.68,2766.8571,5.7497
2021-09-16,47737.82,1535.9,2743.2736,5.7465
2021-09-17,47299.98,1450.44,2655.2221,5.6136
2021-09-18,48292.74,1807.64,2701.0757,5.5931
2021-09-19,47241.75,1543.65,2636.3364,5.5805
2021-09-20,43015.62,4847.25,2853.235,6.633
2021-09-21,40734.38,4039.0,2421.9529,5.9457
2021-09-22,43543.61,3435.16,2458.1093,5.6452
2021-09-23,44865.26,1908.91,2459.6821,5.4824
2021-09-24,42810.57,4525.0,2575.7029,6.0165
2021-09-25,42670.64,1320.56,2579.6207,6.0454
2021-09-26,43160.9,3200.0,2685.4821,6.222
2021-09-27,42147.35,2252.0,2595.625,6.1585
2021-09-28,41026.54,1899.38,2541.6121,6.195
2021-09-29,41524.28,1836.12,2542.9293,6.124
2021-09-30,43824.1,2731.2,2628.3079,5.9974
2021-10-01,48141.61,5211.97,2896.9886,6.0176
2021-10-02,47634.9,906.41,2832.615,5.9465
2021-10-03,48200.01,2140.08,2875.2171,5.9652
2021-10-04,49224.94,2645.12,2717.9221,5.5214
2021-10-05,51471.99,2863.9,2633.9864,5.1173
2021-10-06,55315.0,5367.59,2772.0171,5.0113
2021-10-07,53785.22,1975.31,2776.76,5.1627
2021-10-08,53951.43,2482.39,2630.8593,4.8763
2021-10-09,54949.72,1827.33,2667.0571,4.8536
2021-10-10,54659.0,2481.31,2615.7221,4.7855
2021-10-11,57471.35,3423.98,2699.435,4.697
2021-10-12,55996.93,3801.0,2835.265,5.0633
2021-10-13,57367.0,3609.81,2961.9571,5.1632
2021-10-14,57347.94,1714.49,2889.335,5.0383
2021-10-15,61672.42,6083.0,2951.5514,4.7859
2021-10-16,60875.57,2228.42,3045.9807,5.0036
2021-10-17,61528.33,2755.39,3089.9314,5.022
2021-10-18,62009.84,2851.33,3104.6607,5.0067
2021-10-19,64280.59,3163.78,3126.0807,4.8632
2021-10-20,66001.41,3518.6,2994.01,4.5363
2021-10-21,62193.15,4639.74,3184.3264,5.1201
2021-10-22,60688.22,3732.39,3273.6121,5.3941
2021-10-23,61286.75,2185.49,3299.195,5.3832
2021-10-24,60852.22,1989.37,3264.0564,5.3639
2021-10-25,63078.78,3060.63,3238.1029,5.1334
2021-10-26,60328.81,3475.93,3214.8836,5.3289
2021-10-27,58413.44,3496.0,3206.7543,5.4898
2021-10-28,60575.89,4679.0,3418.505,5.6433
2021-10-29,62253.71,2805.19,3184.3757,5.1152
