date,close,ma20,ma20_position,ma60,ma60_position,ma120,ma120_position
2021-06-01,36693.09,,,,,,
2021-06-02,37568.68,,,,,,
2021-06-03,39246.79,,,,,,
2021-06-04,36829.0,,,,,,
2021-06-05,35513.2,,,,,,
2021-06-06,35796.31,,,,,,
2021-06-07,33552.79,,,,,,
2021-06-08,33380.81,,,,,,
2021-06-09,37388.05,,,,,,
2021-06-10,36675.72,,,,,,
2021-06-11,37331.98,,,,,,
2021-06-12,35546.11,,,,,,
2021-06-13,39020.57,,,,,,
2021-06-14,40516.29,,,,,,
2021-06-15,40144.04,,,,,,
2021-06-16,38349.01,,,,,,
2021-06-17,38092.97,,,,,,
2021-06-18,35819.84,,,,,,
2021-06-19,35483.72,,,,,,
2021-06-20,35600.16,36927.4565,跌破,,,,
2021-06-21,31608.93,36673.2485,跌破,,,,
2021-06-22,32509.56,36420.2925,跌破,,,,
2021-06-23,33678.07,36141.8565,跌破,,,,
2021-06-24,34663.09,36033.561,跌破,,,,
2021-06-25,31584.45,35837.1235,跌破,,,,
2021-06-26,32283.65,35661.4905,跌破,,,,
2021-06-27,34700.34,35718.868,跌破,,,,
2021-06-28,34494.89,35774.572,跌破,,,,
2021-06-29,35911.73,35700.756,站上,,,,
2021-06-30,35045.0,35619.22,跌破,,,,
2021-07-01,33504.69,35427.8555,跌破,,,,
2021-07-02,33786.55,35339.8775,跌破,,,,
2021-07-03,34669.13,35122.3055,跌破,,,,
2021-07-04,35286.51,34860.8165,站上,,,,
2021-07-05,33690.14,34538.1215,跌破,,,,
2021-07-06,34220.01,34331.6715,跌破,,,,
2021-07-07,33862.12,34120.129,跌破,,,,
2021-07-08,32875.71,33972.9225,跌破,,,,
2021-07-09,33815.81,33889.527,跌破,,,,
2021-07-10,33502.87,33784.6625,跌破,,,,
2021-07-11,34258.99,33917.1655,站上,,,,
2021-07-12,33086.63,33946.019,跌破,,,,
2021-07-13,32729.77,33898.604,跌破,,,,
2021-07-14,32820.02,33806.4505,跌破,,,,
2021-07-15,31880.0,33821.228,跌破,,,,
2021-07-16,31383.87,33776.239,跌破,,,,
2021-07-17,31520.07,33617.2255,跌破,,,,
2021-07-18,31778.56,33481.409,跌破,,,,
2021-07-19,30839.65,33227.805,跌破,,,,
2021-07-20,29790.35,32965.0725,跌破,,,,
2021-07-21,32144.51,32897.0635,跌破,,,,
2021-07-22,32287.83,32822.1275,跌破,,,,
2021-07-23,33634.09,32770.3755,站上,,,,
2021-07-24,34258.14,32718.957,站上,,,,
2021-07-25,35381.02,32803.501,站上,,,,
2021-07-26,37237.6,32954.3805,站上,,,,
2021-07-27,39457.87,33234.168,站上,,,,
2021-07-28,40019.56,33591.3605,站上,,,,
2021-07-29,40016.48,33901.394,站上,,,,
2021-07-30,42206.37,34336.569,站上,35016.2293,站上,,
2021-07-31,41461.83,34696.711,站上,35095.7083,站上,,
2021-08-01,39845.44,35034.6515,站上,35133.6543,站上,,
2021-08-02,39147.82,35355.554,站上,35132.0048,站上,,
2021-08-03,38207.05,35624.9055,站上,35154.9723,站上,,
2021-08-04,39723.18,36017.0645,站上,35225.1387,站上,,
2021-08-05,40862.46,36490.994,站上,35309.5745,站上,,
2021-08-06,42836.87,37056.834,站上,35464.3092,站上,,
2021-08-07,44572.54,37696.533,站上,35650.838,站上,,
2021-08-08,43794.37,38344.269,站上,35757.61,站上,,
2021-08-09,46253.4,39167.4215,站上,35917.238,站上,,
2021-08-10,45584.99,39839.4455,站上,36054.7882,站上,,
2021-08-11,45511.0,40500.604,站上,36220.8697,站上,,
2021-08-12,44399.0,41038.8495,站上,36310.5102,站上,,
2021-08-13,47800.0,41715.9425,站上,36431.9053,站上,,
2021-08-14,47068.51,42300.317,站上,36547.3132,站上,,
2021-08-15,46973.82,42787.128,站上,36691.06,站上,,
2021-08-16,45901.29,43109.299,站上,36821.1987,站上,,
2021-08-17,44695.95,43343.1185,站上,36969.1338,站上,,
2021-08-18,44705.29,43577.559,站上,37122.8267,站上,,
2021-08-19,46760.62,43805.2715,站上,37308.8343,站上,,
2021-08-20,49322.47,44198.3035,站上,37604.06,站上,,
2021-08-21,48821.87,44647.125,站上,37875.9318,站上,,
2021-08-22,49239.22,45151.695,站上,38135.2843,站上,,
2021-08-23,49488.85,45715.785,站上,38382.3803,站上,,
2021-08-24,47674.01,46113.3265,站上,38650.5397,站上,,
2021-08-25,48973.32,46518.8695,站上,38928.7008,站上,,
2021-08-26,46843.87,46719.2195,站上,39131.093,站上,,
2021-08-27,49069.9,46944.0875,站上,39374.0098,站上,,
2021-08-28,48895.35,47199.1365,站上,39590.4035,站上,,
2021-08-29,48767.83,47324.858,站上,39819.1173,站上,,
2021-08-30,46982.91,47394.754,跌破,40043.7543,站上,,
2021-08-31,47100.89,47474.2485,跌破,40265.66,站上,,
2021-09-01,48810.52,47694.8245,站上,40501.3498,站上,,
2021-09-02,49246.64,47767.1565,站上,40734.0187,站上,,
2021-09-03,49999.14,47913.688,站上,41005.8353,站上,,
2021-09-04,49915.64,48060.779,站上,41267.4292,站上,,
2021-09-05,51756.88,48353.5585,站上,41565.6752,站上,,
2021-09-06,52663.9,48751.956,站上,41895.4783,站上,,
2021-09-07,46863.73,48859.878,跌破,42112.9437,站上,,
2021-09-08,46048.31,48824.2625,跌破,42322.0343,站上,,
2021-09-09,46395.14,48677.896,跌破,42524.3035,站上,,
2021-09-10,44850.91,48479.348,跌破,42720.3748,站上,,
2021-09-11,45173.69,48276.0715,跌破,42927.7735,站上,,
2021-09-12,46025.24,48102.891,跌破,43147.8605,站上,,
2021-09-13,44940.73,47966.227,跌破,43365.5393,站上,,
2021-09-14,47111.52,47873.137,跌破,43627.6668,站上,,
2021-09-15,48121.41,47937.014,站上,43904.3558,站上,,
2021-09-16,47737.82,47870.41,跌破,44170.3435,站上,,
2021-09-17,47299.98,47790.6415,跌破,44444.6823,站上,,
2021-09-18,48292.74,47766.887,站上,44753.0555,站上,,
2021-09-19,47241.75,47779.829,跌破,45004.6762,站上,,
2021-09-20,43015.62,47575.5655,跌破,45183.4727,跌破,,
2021-09-21,40734.38,47171.7585,跌破,45301.8108,跌破,,
2021-09-22,43543.61,46886.607,跌破,45456.5687,跌破,,
2021-09-23,44865.26,46629.913,跌破,45614.6393,跌破,,
2021-09-24,42810.57,46274.6595,跌破,45707.5222,跌破,,
2021-09-25,42670.64,45820.3475,跌破,45761.0683,跌破,,
2021-09-26,43160.9,45345.1975,跌破,45813.424,跌破,,
2021-09-27,42147.35,45109.3785,跌破,45848.9385,跌破,,
2021-09-28,41026.54,44858.29,跌破,45829.2747,跌破,40422.752,站上
2021-09-29,41524.28,44614.747,跌破,45830.3155,跌破,40463.0119,站上
2021-09-30,43824.1,44563.4065,跌破,45896.6265,跌破,40515.1404,站上
2021-10-01,48141.61,44711.8025,站上,46046.523,站上,40589.2639,站上
2021-10-02,47634.9,44792.2855,站上,46203.6538,站上,40679.3131,站上
2021-10-03,48200.01,44955.2495,站上,46344.9343,站上,40785.0365,站上
2021-10-04,49224.94,45060.9205,站上,46484.309,站上,40896.9417,站上
2021-10-05,51471.99,45228.4495,站上,46628.2277,站上,41046.2684,站上
2021-10-06,55315.0,45607.3085,站上,46807.2687,站上,41229.0533,站上
2021-10-07,53785.22,45931.5705,站上,46973.7828,站上,41365.6964,站上
2021-10-08,53951.43,46214.505,站上,47102.0833,站上,41509.6607,站上
2021-10-09,54949.72,46599.9035,站上,47258.1622,站上,41656.4752,站上
2021-10-10,54659.0,47182.0725,站上,47410.6288,站上,41815.7493,站上
2021-10-11,57471.35,48018.921,站上,47628.5013,站上,41969.5058,站上
2021-10-12,55996.93,48641.587,站上,47765.1168,站上,42098.5111,站上
2021-10-13,57367.0,49266.674,站上,47936.7583,站上,42242.0358,站上
2021-10-14,57347.94,49993.5425,站上,48109.6603,站上,42400.3602,站上
2021-10-15,61672.42,50943.6315,站上,48372.5125,站上,42596.8556,站上
2021-10-16,60875.57,51829.365,站上,48642.1728,站上,42805.6533,站上
2021-10-17,61528.33,52798.414,站上,48922.5568,站上,43022.6917,站上
2021-10-18,62009.84,53847.579,站上,49176.7105,站上,43242.7724,站上
2021-10-19,64280.59,54985.3945,站上,49426.0125,站上,43515.0362,站上
2021-10-20,66001.41,56094.26,站上,49712.3382,站上,43794.135,站上
2021-10-21,62193.15,56796.837,站上,49928.237,站上,44031.7607,站上
2021-10-22,60688.22,57449.503,站上,50114.8932,站上,44248.6367,站上
2021-10-23,61286.75,58103.84,站上,50341.7722,站上,44496.1559,站上
2021-10-24,60852.22,58685.204,站上,50539.7538,站上,44734.2273,站上
2021-10-25,63078.78,59265.5435,站上,50810.3357,站上,44970.7143,站上
2021-10-26,60328.81,59516.234,站上,50997.9842,站上,45185.997,站上
2021-10-27,58413.44,59747.645,跌破,51156.619,站上,45373.5112,站上
2021-10-28,60575.89,60078.868,站上,51353.42,站上,45586.2687,站上
2021-10-29,62253.71,60444.0675,站上,51607.9333,站上,45825.8438,站上
2021-10-30,61859.19,60804.077,站上,51853.905,站上,46059.7825,站上
2021-10-31,61299.8,60995.4995,站上,52062.0597,站上,46281.7048,站上
2021-11-01,60911.11,61241.2085,跌破,52256.4675,站上,46495.2431,站上
2021-11-02,63219.99,61533.858,站上,52476.815,站上,46741.3252,站上
2021-11-03,62896.48,61811.285,站上,52693.1623,站上,46980.2958,站上
2021-11-04,61395.01,61797.4145,跌破,52853.7978,站上,47209.7365,站上
2021-11-05,60937.12,61800.492,跌破,52991.6848,站上,47443.5816,站上
2021-11-06,61470.61,61797.606,跌破,53235.1328,站上,47674.0382,站上
