date,close,tr,atr_14,atr_14_pct
2021-06-01,2634.57,216.26,,
2021-06-02,2706.22,252.99,,
2021-06-03,2857.25,229.55,,
2021-06-04,2689.51,308.0,,
2021-06-05,2627.73,264.64,,
2021-06-06,2711.92,131.0,,
2021-06-07,2592.05,277.55,,
2021-06-08,2507.23,316.08,,
2021-06-09,2610.18,221.35,,
2021-06-10,2471.09,199.35,,
2021-06-11,2354.01,176.62,,
2021-06-12,2370.74,198.31,,
2021-06-13,2509.33,240.0,,
2021-06-14,2580.77,148.17,227.1336,8.801
2021-06-15,2543.54,132.3,221.1364,8.694
2021-06-16,2367.89,205.01,217.7093,9.1942
2021-06-17,2373.28,154.5,212.3486,8.9475
2021-06-18,2234.09,239.0,207.42,9.2843
2021-06-19,2164.67,117.15,196.885,9.0954
2021-06-20,2243.47,239.33,204.6229,9.1208
2021-06-21,1885.49,394.62,212.985,11.296
2021-06-22,1879.28,297.52,211.6593,11.2628
2021-06-23,1968.14,223.05,211.7807,10.7604
2021-06-24,1989.52,151.82,208.3857,10.4742
2021-06-25,1808.82,228.77,212.1107,11.7265
2021-06-26,1829.64,135.48,207.6229,11.3477
2021-06-27,1982.28,180.24,203.3543,10.2586
2021-06-28,2084.41,184.48,205.9479,9.8804
2021-06-29,2165.33,171.43,208.7429,9.6402
2021-06-30,2275.68,199.79,208.37,9.1564
2021-07-01,2106.41,202.81,211.8207,10.056
2021-07-02,2154.13,141.5,204.8564,9.5099
2021-07-03,2226.99,127.99,205.6307,9.2336
2021-07-04,2322.69,200.35,202.8464,8.7333
2021-07-05,2196.53,167.32,186.6107,8.4957
2021-07-06,2322.5,157.0,176.5736,7.6027
2021-07-07,2316.57,117.1,169.0057,7.2955
2021-07-08,2116.33,240.81,175.3621,8.2861
2021-07-09,2146.99,142.89,169.2279,7.8821
2021-07-10,2110.69,120.66,168.1693,7.9675
2021-07-11,2140.45,92.98,161.9364,7.5655
2021-07-12,2031.58,161.15,160.27,7.8889
2021-07-13,1940.15,129.35,157.2643,8.1058
2021-07-14,1994.58,154.18,154.0064,7.7212
2021-07-15,1919.51,161.88,151.0829,7.8709
2021-07-16,1876.26,115.0,149.19,7.9515
2021-07-17,1899.59,74.74,145.3864,7.6536
2021-07-18,1891.64,116.69,139.4107,7.3698
2021-07-19,1818.73,114.0,135.6021,7.4559
2021-07-20,1786.03,135.34,134.055,7.5058
2021-07-21,1995.5,287.68,146.2393,7.3285
2021-07-22,2024.56,98.38,136.0657,6.7208
2021-07-23,2124.25,137.68,135.6936,6.3878
2021-07-24,2184.75,93.92,133.7836,6.1235
2021-07-25,2189.79,91.48,133.6764,6.1045
2021-07-26,2228.08,262.08,140.8857,6.3232
2021-07-27,2299.49,168.76,143.7007,6.2492
2021-07-28,2300.9,101.85,139.9629,6.083
2021-07-29,2382.92,133.88,137.9629,5.7897
2021-07-30,2461.81,155.78,140.8757,5.7224
2021-07-31,2531.05,133.18,145.05,5.7308
2021-08-01,2555.69,186.37,150.0271,5.8703
2021-08-02,2606.93,159.0,153.2414,5.8782
2021-08-03,2509.04,190.12,157.1543,6.2635
2021-08-04,2724.78,315.03,159.1079,5.8393
2021-08-05,2826.99,314.07,174.5143,6.1731
2021-08-06,2891.58,226.69,180.8721,6.2551
2021-08-07,3160.31,305.5,195.985,6.2014
2021-08-08,3011.85,240.96,206.6621,6.8616
2021-08-09,3160.52,292.77,208.8543,6.6082
2021-08-10,3141.66,181.78,209.7843,6.6775
2021-08-11,3160.5,153.73,213.49,6.7549
2021-08-12,3045.96,259.71,222.4779,7.304
2021-08-13,3322.32,294.03,232.3529,6.9937
2021-08-14,3263.16,130.98,232.1957,7.1157
2021-08-15,3307.09,208.87,233.8029,7.0697
2021-08-16,3146.53,199.78,236.7157,7.5231
2021-08-17,3011.72,298.11,244.4293,8.1159
2021-08-18,3014.55,175.81,234.485,7.7784
2021-08-19,3184.12,229.67,228.4564,7.1749
2021-08-20,3284.82,122.84,221.0386,6.7291
2021-08-21,3223.43,102.16,206.5143,6.4067
2021-08-22,3238.0,145.58,199.7014,6.1674
2021-08-23,3321.28,147.87,189.3514,5.7012
2021-08-24,3170.62,210.54,191.4057,6.0369
2021-08-25,3226.87,168.0,192.425,5.9632
2021-08-26,3093.2,196.7,187.9243,6.0754
2021-08-27,3273.45,219.82,182.6236,5.5789
2021-08-28,3244.48,76.69,178.7457,5.5092
2021-08-29,3223.47,132.66,173.3021,5.3763
2021-08-30,3229.64,204.95,173.6714,5.3774
2021-08-31,3429.2,287.23,172.8943,5.0418
2021-09-01,3826.82,459.78,193.1779,5.048
2021-09-02,3785.82,119.76,185.3271,4.8953
2021-09-03,3938.11,322.83,199.6121,5.0687
2021-09-04,3885.52,137.5,202.1364,5.2023
2021-09-05,3950.29,150.0,202.4521,5.125
2021-09-06,3926.77,105.7,199.44,5.079
2021-09-07,3434.57,942.15,251.6979,7.3284
2021-09-08,3499.0,344.84,264.3293,7.5544
2021-09-09,3424.93,176.66,262.8979,7.676
2021-09-10,3208.86,364.11,273.2043,8.5141
2021-09-11,3267.21,148.37,278.3243,8.5187
2021-09-12,3404.21,243.06,286.21,8.4075
2021-09-13,3285.35,321.81,294.5571,8.9658
2021-09-14,3434.37,167.1,285.9764,8.3269
2021-09-15,3613.55,258.38,271.5907,7.5159
2021-09-16,3567.98,195.14,276.975,7.7628
2021-09-17,3399.81,244.1,271.3514,7.9814
2021-09-18,3435.64,173.08,273.8929,7.9721
2021-09-19,3328.62,178.79,275.9493,8.2902
2021-09-20,2977.28,434.43,299.43,10.0572
2021-09-21,2765.9,453.83,264.55,9.5647
2021-09-22,3076.92,351.34,265.0143,8.613
2021-09-23,3152.5,140.65,262.4421,8.3249
2021-09-24,2928.53,425.52,266.8286,9.1113
2021-09-25,2921.73,165.95,268.0843,9.1755
2021-09-26,3059.37,377.34,277.6757,9.0762
2021-09-27,2925.59,242.23,271.9914,9.297
2021-09-28,2804.91,181.82,273.0429,9.7345
2021-09-29,2850.45,168.0,266.5871,9.3525
2021-09-30,3000.61,211.23,267.7364,8.9227
2021-10-01,3309.91,360.93,276.0814,8.3411
2021-10-02,3387.76,212.0,278.8614,8.2314
2021-10-03,3417.73,145.49,276.4829,8.0897
2021-10-04,3386.31,167.19,257.3943,7.601
2021-10-05,3515.27,181.22,237.9221,6.7682
2021-10-06,3574.89,290.11,233.5486,6.533
2021-10-07,3587.47,183.18,236.5864,6.5948
2021-10-08,3563.13,163.0,217.835,6.1136
2021-10-09,3574.82,96.93,212.905,5.9557
2021-10-10,3414.22,199.0,200.1664,5.8627
2021-10-11,3542.12,252.8,200.9214,5.6723
2021-10-12,3491.46,143.9,198.2129,5.6771
2021-10-13,3607.42,200.3,200.52,5.5585
2021-10-14,3790.82,237.96,202.4293,5.34
2021-10-15,3868.99,173.67,189.0536,4.8864
2021-10-16,3829.96,167.44,185.8707,4.8531
2021-10-17,3846.85,279.19,195.4207,5.08
2021-10-18,3744.96,217.14,198.9886,5.3135
2021-10-19,3877.03,154.89,197.1079,5.084
2021-10-20,4161.15,340.95,200.7393,4.8241
2021-10-21,4052.99,361.87,213.5029,5.2678
2021-10-22,3972.2,279.41,221.8179,5.5843
2021-10-23,4167.12,234.49,231.6436,5.5588
2021-10-24,4082.33,225.07,233.5057,5.7199
2021-10-25,4220.37,168.29,227.4693,5.3898
2021-10-26,4131.52,206.79,231.9614,5.6144
2021-10-27,3922.0,398.0,246.0829,6.2744
2021-10-28,4286.02,404.83,258.0021,6.0196
2021-10-29,4418.89,194.5,259.49,5.8723
2021-10-30,4322.68,201.86,261.9486,6.0599
2021-10-31,4287.21,234.79,258.7771,6.036
2021-11-01,4319.43,240.28,260.43,6.0293
2021-11-02,4589.89,315.17,271.8786,5.9234
2021-11-03,4603.35,210.87,262.5871,5.7043
2021-11-04,4532.32,186.57,250.0657,5.5174
2021-11-05,4474.24,131.25,239.4829,5.3525
2021-11-06,4518.0,203.83,237.2929,5.2522
2021-11-07,4612.59,135.61,230.9029,5.0059
2021-11-08,4807.98,210.97,233.9514,4.8659
2021-11-09,4732.33,124.39,228.0657,4.8193
2021-11-10,4628.78,406.07,228.6421,4.9396
2021-11-11,4719.0,202.53,214.1921,4.5389
2021-11-12,4665.46,301.86,221.8607,4.7554
2021-11-13,4644.28,123.52,216.265,4.6566
2021-11-14,4626.5,181.93,212.4893,4.5929
2021-11-15,4563.78,232.01,211.8986,4.643
2021-11-16,4209.76,460.78,222.2993,5.2806
2021-11-17,4287.8,236.43,224.125,5.227
2021-11-18,3996.9,388.37,238.5393,5.9681
2021-11-19,4294.76,335.96,253.1614,5.8947
2021-11-20,4412.17,236.02,255.4607,5.7899
2021-11-21,4258.31,208.59,260.6736,6.1215
2021-11-22,4085.97,297.26,266.8371,6.5306
2021-11-23,4339.44,325.97,281.2357,6.4809
2021-11-24,4269.36,206.29,266.9657,6.2531
2021-11-25,4524.85,301.73,274.0514,6.0566
2021-11-26,4041.2,638.0,298.0614,7.3756
2021-11-27,4095.29,155.32,300.3329,7.3336
2021-11-28,4294.78,334.51,311.2314,7.2467
2021-11-29,4444.53,182.03,307.6614,6.9222
2021-11-30,4630.26,406.64,303.7943,6.5611
2021-12-01,4582.95,254.76,305.1036,6.6574
2021-12-02,4511.21,201.83,291.7793,6.4679
2021-12-03,4215.73,622.38,312.2379,7.4065
2021-12-04,4117.25,734.91,347.8729,8.4492
2021-12-05,4196.44,216.8,348.4593,8.3037
2021-12-06,4347.59,455.15,359.7371,8.2744
2021-12-07,4306.4,169.08,348.5307,8.0933
2021-12-08,4436.91,227.54,350.0486,7.8895
2021-12-09,4105.64,411.84,357.9136,8.7176
2021-12-10,3897.94,343.71,336.8929,8.6428
2021-12-11,4089.37,268.86,345.0029,8.4366
2021-12-12,4130.0,187.38,334.4936,8.0991
2021-12-13,3781.93,471.3,355.1557,9.3909
2021-12-14,3858.99,197.74,340.2343,8.8167
2021-12-15,4019.08,448.49,354.0721,8.8098
2021-12-16,3958.11,171.32,351.8929,8.8904
2021-12-17,3875.42,294.1,328.4443,8.4751
2021-12-18,3959.93,229.92,292.3736,7.3833
2021-12-19,3924.14,148.43,287.49,7.3262
2021-12-20,3944.73,230.37,271.4343,6.8809
2021-12-21,4014.15,149.79,270.0564,6.7276
2021-12-22,3979.51,141.47,263.9086,6.6317
2021-12-23,4111.41,256.77,252.8321,6.1495
2021-12-24,4046.36,117.67,236.6864,5.8494
2021-12-25,4094.83,119.29,226.0029,5.5192
2021-12-26,4063.56,105.0,220.1186,5.4169
2021-12-27,4037.23,96.46,193.3443,4.789
2021-12-28,3792.75,277.87,199.0679,5.2486
2021-12-29,3630.19,223.58,183.0029,5.0411
2021-12-30,3709.27,184.1,183.9157,4.9583
2021-12-31,3676.23,192.71,176.6736,4.8058
2022-01-01,3765.54,102.99,167.6071,4.4511
2022-01-02,3828.27,140.14,167.015,4.3627
2022-01-03,3765.89,173.09,162.9236,4.3263
2022-01-04,3785.11,187.62,165.6257,4.3757
2022-01-05,3540.63,433.0,186.4493,5.266
2022-01-06,3406.81,250.43,185.9964,5.4595
2022-01-07,3199.24,352.34,202.7586,6.3377
2022-01-08,3080.95,250.0,212.095,6.8841
2022-01-09,3151.97,154.37,215.6214,6.8408
2022-01-10,3082.68,256.17,227.0293,7.3647
2022-01-11,3239.72,211.74,222.3057,6.8619
2022-01-12,3371.26,205.23,220.995,6.5553
2022-01-13,3240.61,176.57,220.4571,6.803
2022-01-14,3307.42,154.79,217.7486,6.5836
2022-01-15,3326.04,110.64,218.295,6.5632
2022-01-16,3346.88,123.98,217.1407,6.4879
2022-01-17,3209.67,216.47,220.2393,6.8617
2022-01-18,3159.85,161.87,218.4,6.9117
2022-01-19,3084.02,174.87,199.9621,6.4838
2022-01-20,3001.48,286.22,202.5186,6.7473
2022-01-21,2568.15,631.12,222.4314,8.6612
2022-01-22,2412.18,326.0,227.86,9.4462
2022-01-23,2539.01,185.98,230.1179,9.0633
2022-01-24,2439.29,380.75,239.0164,9.7986
2022-01-25,2458.83,157.59,235.1486,9.5634
2022-01-26,2462.99,319.97,243.3443,9.88
2022-01-27,2424.25,204.57,245.3443,10.1204
2022-01-28,2544.99,201.1,248.6521,9.7703
2022-01-29,2601.43,116.65,249.0814,9.5748
2022-01-30,2601.68,97.5,247.19,9.5012
2022-01-31,2686.94,230.7,248.2064,9.2375
2022-02-01,2787.23,139.48,246.6071,8.8478
2022-02-02,2680.67,198.16,248.2707,9.2615
2022-02-03,2695.46,150.59,238.5829,8.8513
2022-02-04,2994.99,323.6,216.6171,7.2326
2022-02-05,3012.65,102.46,200.65,6.6602
2022-02-06,3054.99,124.35,196.2479,6.4238
2022-02-07,3139.77,194.2,182.9229,5.826
2022-02-08,3116.69,207.66,186.4993,5.9839
2022-02-09,3243.94,214.7,178.98,5.5174
2022-02-10,3072.49,226.92,180.5764,5.8772
2022-02-11,2927.54,259.62,184.7564,6.311
2022-02-12,2918.88,127.68,185.5443,6.3567
2022-02-13,2871.13,117.7,186.9871,6.5127
2022-02-14,2929.75,135.96,180.22,6.1514
2022-02-15,3183.52,284.13,190.5521,5.9856
2022-02-16,3122.3,142.74,186.5936,5.9762
2022-02-17,2891.87,308.45,197.8693,6.8423
2022-02-18,2779.48,193.97,188.61,6.7858
2022-02-19,2763.63,136.51,191.0421,6.9127
2022-02-20,2621.99,188.64,195.6343,7.4613
2022-02-21,2568.02,201.51,196.1564,7.6384
2022-02-22,2636.29,165.74,193.1621,7.327
2022-02-23,2579.71,177.72,190.5207,7.3854
2022-02-24,2596.2,440.0,205.7407,7.9247
2022-02-25,2768.49,263.25,206.0,7.4409
2022-02-26,2779.47,150.5,207.63,7.4701
2022-02-27,2616.79,278.35,219.105,8.373
2022-02-28,2920.95,382.98,236.7493,8.1052
2022-03-01,2976.33,183.85,229.5864,7.7137
2022-03-02,2947.3,129.7,228.655,7.7581
2022-03-03,2833.99,185.97,219.9064,7.7596
2022-03-04,2622.1,263.17,224.8493,8.5752
2022-03-05,2665.15,95.74,221.9371,8.3274
2022-03-06,2551.29,141.29,218.555,8.5665
2022-03-07,2491.12,204.0,218.7329,8.7805
2022-03-08,2575.97,143.85,217.1693,8.4306
2022-03-09,2726.98,208.15,219.3429,8.0434
2022-03-10,2606.7,182.98,200.9843,7.7103
2022-03-11,2556.86,154.21,193.1957,7.556
2022-03-12,2568.8,63.4,186.9743,7.2787
2022-03-13,2515.65,110.32,174.9721,6.9553
2022-03-14,2589.41,110.93,155.54,6.0068
2022-03-15,2617.73,162.0,153.9793,5.8822
2022-03-16,2773.81,184.62,157.9021,5.6926
2022-03-17,2811.92,89.58,151.0171,5.3706
2022-03-18,2938.92,218.41,147.82,5.0297
2022-03-19,2950.84,96.84,147.8986,5.0121
2022-03-20,2861.38,146.96,148.3036,5.1829
2022-03-21,2890.03,130.76,143.0721,4.9505
2022-03-22,2969.64,166.42,144.6843,4.8721
2022-03-23,3036.0,124.55,138.7129,4.5689
2022-03-24,3110.76,130.0,134.9286,4.3375
2022-03-25,3102.14,117.28,132.2907,4.2645
2022-03-26,3145.0,68.3,132.6407,4.2175
2022-03-27,3295.65,173.35,137.1429,4.1613
2022-03-28,3332.92,156.14,140.3721,4.2117
2022-03-29,3400.51,152.19,139.6714,4.1074
2022-03-30,3385.79,115.06,134.7029,3.9785
2022-03-31,3281.51,183.48,141.41,4.3093
2022-04-01,3455.21,270.61,145.1386,4.2006
2022-04-02,3443.77,99.06,145.2971,4.2191
2022-04-03,3521.91,168.23,146.8164,4.1687
2022-04-04,3519.5,141.03,147.55,4.1924
2022-04-05,3406.99,155.0,146.7343,4.3069
2022-04-06,3168.51,245.11,155.3457,4.9028
2022-04-07,3227.19,125.83,155.0479,4.8044
2022-04-08,3192.39,140.5,156.7064,4.9087
2022-04-09,3258.57,87.12,158.0507,4.8503
2022-04-10,3203.04,114.22,153.8271,4.8025
2022-04-11,2979.74,263.63,161.505,5.4201
2022-04-12,3027.66,135.0,160.2771,5.2938
2022-04-13,3118.28,132.11,161.495,5.179
2022-04-14,3021.98,168.7,160.4393,5.3091
2022-04-15,3040.56,67.79,145.9521,4.8002
2022-04-16,3059.3,76.07,144.31,4.7171
2022-04-17,2988.06,101.3,139.5293,4.6696
2022-04-18,3055.56,186.38,142.7686,4.6724
2022-04-19,3101.77,100.66,138.8871,4.4777
2022-04-20,3076.04,130.05,130.6686,4.2479
2022-04-21,2983.58,237.69,138.6586,4.6474
2022-04-22,2962.39,103.97,136.0493,4.5926
2022-04-23,2933.03,64.14,134.4079,4.5826
2022-04-24,2921.0,54.97,130.1757,4.4565
2022-04-25,3006.62,228.64,127.6764,4.2465
2022-04-26,2809.67,272.54,137.5007,4.8938
2022-04-27,2888.96,125.41,137.0221,4.743
2022-04-28,2936.93,126.17,133.9843,4.5621
2022-04-29,2817.13,169.83,141.2729,5.0148
2022-04-30,2726.66,132.37,145.2943,5.3287
2022-05-01,2824.81,133.77,147.6136,5.2256
2022-05-02,2856.54,115.44,142.5464,4.9902
2022-05-03,2781.7,106.28,142.9479,5.1389
2022-05-04,2940.64,194.11,147.5236,5.0167
2022-05-05,2747.97,271.65,149.9493,5.4567
2022-05-06,2692.85,125.23,151.4679,5.6248
2022-05-07,2635.34,119.61,155.43,5.8979
2022-05-08,2519.71,158.0,162.7893,6.4606
2022-05-09,2228.55,305.78,168.2993,7.552
2022-05-10,2342.05,257.34,167.2136,7.1396
