date,close,ma20,ma20_position,ma60,ma60_position,ma120,ma120_position
2021-06-01,2634.57,,,,,,
2021-06-02,2706.22,,,,,,
2021-06-03,2857.25,,,,,,
2021-06-04,2689.51,,,,,,
2021-06-05,2627.73,,,,,,
2021-06-06,2711.92,,,,,,
2021-06-07,2592.05,,,,,,
2021-06-08,2507.23,,,,,,
2021-06-09,2610.18,,,,,,
2021-06-10,2471.09,,,,,,
2021-06-11,2354.01,,,,,,
2021-06-12,2370.74,,,,,,
2021-06-13,2509.33,,,,,,
2021-06-14,2580.77,,,,,,
2021-06-15,2543.54,,,,,,
2021-06-16,2367.89,,,,,,
2021-06-17,2373.28,,,,,,
2021-06-18,2234.09,,,,,,
2021-06-19,2164.67,,,,,,
2021-06-20,2243.47,2507.477,跌破,,,,
2021-06-21,1885.49,2470.023,跌破,,,,
2021-06-22,1879.28,2428.676,跌破,,,,
2021-06-23,1968.14,2384.2205,跌破,,,,
2021-06-24,1989.52,2349.221,跌破,,,,
2021-06-25,1808.82,2308.2755,跌破,,,,
2021-06-26,1829.64,2264.1615,跌破,,,,
2021-06-27,1982.28,2233.673,跌破,,,,
2021-06-28,2084.41,2212.532,跌破,,,,
2021-06-29,2165.33,2190.2895,跌破,,,,
2021-06-30,2275.68,2180.519,站上,,,,
2021-07-01,2106.41,2168.139,跌破,,,,
2021-07-02,2154.13,2157.3085,跌破,,,,
2021-07-03,2226.99,2143.1915,站上,,,,
2021-07-04,2322.69,2130.2875,站上,,,,
2021-07-05,2196.53,2112.937,站上,,,,
2021-07-06,2322.5,2110.6675,站上,,,,
2021-07-07,2316.57,2107.832,站上,,,,
2021-07-08,2116.33,2101.944,站上,,,,
2021-07-09,2146.99,2101.06,站上,,,,
2021-07-10,2110.69,2094.421,站上,,,,
2021-07-11,2140.45,2107.169,站上,,,,
2021-07-12,2031.58,2114.784,跌破,,,,
2021-07-13,1940.15,2113.3845,跌破,,,,
2021-07-14,1994.58,2113.6375,跌破,,,,
2021-07-15,1919.51,2119.172,跌破,,,,
2021-07-16,1876.26,2121.503,跌破,,,,
2021-07-17,1899.59,2117.3685,跌破,,,,
2021-07-18,1891.64,2107.73,跌破,,,,
2021-07-19,1818.73,2090.4,跌破,,,,
2021-07-20,1786.03,2065.9175,跌破,,,,
2021-07-21,1995.5,2060.372,跌破,,,,
2021-07-22,2024.56,2053.8935,跌破,,,,
2021-07-23,2124.25,2048.7565,站上,,,,
2021-07-24,2184.75,2041.8595,站上,,,,
2021-07-25,2189.79,2041.5225,站上,,,,
2021-07-26,2228.08,2036.8015,站上,,,,
2021-07-27,2299.49,2035.9475,站上,,,,
2021-07-28,2300.9,2045.176,站上,,,,
2021-07-29,2382.92,2056.9725,站上,,,,
2021-07-30,2461.81,2074.5285,站上,2225.4755,站上,,
2021-07-31,2531.05,2094.0585,站上,2223.7502,站上,,
2021-08-01,2555.69,2120.264,站上,2221.2413,站上,,
2021-08-02,2606.93,2153.603,站上,2217.0693,站上,,
2021-08-03,2509.04,2179.326,站上,2214.0615,站上,,
2021-08-04,2724.78,2219.5895,站上,2215.679,站上,,
2021-08-05,2826.99,2267.126,站上,2217.5968,站上,,
2021-08-06,2891.58,2316.7255,站上,2222.589,站上,,
2021-08-07,3160.31,2380.159,站上,2233.4737,站上,,
2021-08-08,3011.85,2439.815,站上,2240.1682,站上,,
2021-08-09,3160.52,2508.5395,站上,2251.6587,站上,,
2021-08-10,3141.66,2565.8475,站上,2264.7862,站上,,
2021-08-11,3160.5,2622.6445,站上,2277.9488,站上,,
2021-08-12,3045.96,2668.73,站上,2286.8927,站上,,
2021-08-13,3322.32,2725.6085,站上,2299.2518,站上,,
2021-08-14,3263.16,2779.277,站上,2311.2455,站上,,
