date,close,tr,atr_14,atr_14_pct
2021-06-01,30.938,3.433,,
2021-06-02,33.994,4.727,,
2021-06-03,39.602,7.787,,
2021-06-04,37.338,5.55,,
2021-06-05,39.633,5.805,,
2021-06-06,42.205,4.488,,
2021-06-07,38.235,6.4,,
2021-06-08,41.245,8.996,,
2021-06-09,42.032,4.709,,
2021-06-10,41.105,3.638,,
2021-06-11,36.157,6.302,,
2021-06-12,36.476,3.54,,
2021-06-13,38.706,4.722,,
2021-06-14,39.694,3.934,5.2879,13.3217
2021-06-15,39.536,2.587,5.2275,13.2221
2021-06-16,39.728,4.295,5.1966,13.0806
2021-06-17,39.265,3.053,4.8585,12.3736
2021-06-18,36.82,4.604,4.7909,13.0118
2021-06-19,35.19,2.417,4.5489,12.9268
2021-06-20,35.257,4.649,4.5604,12.9348
2021-06-21,26.59,9.574,4.7871,18.0035
2021-06-22,26.958,8.626,4.7607,17.6597
2021-06-23,30.837,7.274,4.9439,16.0325
2021-06-24,31.141,4.519,5.0069,16.078
2021-06-25,28.641,5.04,4.9167,17.1667
2021-06-26,29.698,3.522,4.9154,16.5514
2021-06-27,31.897,2.764,4.7756,14.9719
2021-06-28,33.001,3.379,4.7359,14.3509
2021-06-29,33.97,3.172,4.7777,14.0645
2021-06-30,35.51,4.445,4.7884,13.4847
2021-07-01,33.271,3.397,4.813,14.4661
2021-07-02,34.0,2.85,4.6877,13.7874
2021-07-03,34.498,2.189,4.6714,13.5412
2021-07-04,34.28,1.998,4.4821,13.0749
2021-07-05,32.908,2.12,3.9496,12.0021
2021-07-06,34.226,2.158,3.4876,10.19
2021-07-07,36.673,4.28,3.2738,8.927
2021-07-08,33.142,4.28,3.2567,9.8265
2021-07-09,33.315,2.484,3.0741,9.2275
2021-07-10,31.693,3.19,3.0504,9.6249
2021-07-11,32.182,1.268,2.9436,9.1466
2021-07-12,30.77,2.685,2.894,9.4053
2021-07-13,29.136,2.286,2.8307,9.7155
2021-07-14,31.365,4.137,2.8087,8.9549
2021-07-15,28.545,3.51,2.8168,9.8679
2021-07-16,26.271,3.282,2.8476,10.8395
2021-07-17,26.802,1.857,2.8239,10.5363
2021-07-18,26.673,1.523,2.79,10.46
2021-07-19,24.509,2.735,2.8339,11.5628
2021-07-20,23.474,2.882,2.8856,12.2929
2021-07-21,26.7,4.661,2.9129,10.9096
2021-07-22,27.699,2.26,2.7686,9.9952
2021-07-23,28.516,2.328,2.7574,9.6698
2021-07-24,28.616,1.535,2.6392,9.2229
2021-07-25,28.248,2.398,2.7199,9.6287
2021-07-26,28.184,3.285,2.7628,9.8027
2021-07-27,28.103,2.057,2.7464,9.7727
2021-07-28,27.875,1.406,2.5514,9.1529
2021-07-29,31.235,4.569,2.627,8.4104
2021-07-30,32.354,3.174,2.6193,8.0957
2021-07-31,36.744,5.351,2.8689,7.8077
2021-08-01,34.165,3.657,3.0213,8.8432
2021-08-02,33.167,2.95,3.0366,9.1556
2021-08-03,34.105,3.573,3.086,9.0485
2021-08-04,35.76,3.422,2.9975,8.3823
2021-08-05,37.353,2.767,3.0337,8.1217
2021-08-06,39.525,4.789,3.2095,8.1202
2021-08-07,39.469,2.998,3.314,8.3965
2021-08-08,37.65,2.653,3.3322,8.8505
2021-08-09,38.646,3.648,3.3581,8.6895
2021-08-10,40.64,3.495,3.4609,8.5159
2021-08-11,41.621,3.124,3.5836,8.61
2021-08-12,41.102,4.085,3.549,8.6346
2021-08-13,44.83,4.243,3.6254,8.0869
2021-08-14,44.14,2.147,3.3965,7.6948
2021-08-15,53.531,11.439,3.9524,7.3833
2021-08-16,62.016,16.863,4.9461,7.9756
2021-08-17,64.123,16.333,5.8576,9.1349
2021-08-18,72.663,20.778,7.0973,9.7674
2021-08-19,72.764,7.196,7.4136,10.1886
2021-08-20,78.643,9.127,7.7235,9.821
2021-08-21,73.801,9.4,8.1808,11.0849
2021-08-22,72.775,6.356,8.4453,11.6047
2021-08-23,75.623,5.265,8.5608,11.3203
2021-08-24,70.527,10.95,9.0933,12.8933
2021-08-25,71.973,6.8,9.3559,12.9991
2021-08-26,74.92,12.1,9.9284,13.2519
2021-08-27,87.98,16.37,10.7946,12.2693
2021-08-28,96.22,12.23,11.5148,11.9671
2021-08-29,94.23,7.52,11.2349,11.9228
2021-08-30,110.25,23.26,11.6918,10.6048
2021-08-31,108.27,27.05,12.4573,11.5058
2021-09-01,110.71,13.83,11.961,10.8039
2021-09-02,128.23,22.78,13.0741,10.1959
2021-09-03,146.4,20.87,13.9129,9.5034
2021-09-04,138.88,14.87,14.3036,10.2993
2021-09-05,142.0,10.25,14.5818,10.2689
2021-09-06,164.22,29.21,16.2921,9.9209
2021-09-07,173.46,67.47,20.3293,11.7199
2021-09-08,191.02,51.5,23.5221,12.314
2021-09-09,187.9,35.3,25.1793,13.4004
2021-09-10,179.6,29.59,26.1236,14.5454
2021-09-11,179.04,18.37,26.5621,14.8359
2021-09-12,174.29,11.6,26.8536,15.4074
2021-09-13,169.53,24.7,26.9564,15.9007
2021-09-14,158.88,29.23,27.1121,17.0645
2021-09-15,158.79,12.81,27.0393,17.0283
2021-09-16,152.29,16.15,26.5657,17.4442
2021-09-17,147.58,19.55,26.4714,17.937
2021-09-18,169.22,27.37,27.3643,16.1708
2021-09-19,152.76,20.36,28.0864,18.386
2021-09-20,132.77,23.17,27.655,20.8293
2021-09-21,124.29,28.64,24.8814,20.0188
2021-09-22,148.02,29.26,23.2929,15.7363
2021-09-23,149.91,9.58,21.4557,14.3124
2021-09-24,139.13,23.05,20.9886,15.0856
2021-09-25,136.06,10.64,20.4364,15.0202
2021-09-26,135.64,16.01,20.7514,15.2989
2021-09-27,136.35,15.2,20.0729,14.7216
2021-09-28,132.2,11.23,18.7871,14.2112
2021-09-29,135.25,9.05,18.5186,13.6921
2021-09-30,141.37,8.93,18.0029,12.7346
2021-10-01,161.56,26.7,18.5136,11.4593
2021-10-02,168.98,18.94,17.9114,10.5997
2021-10-03,172.98,12.21,17.3293,10.0181
2021-10-04,167.13,11.34,16.4843,9.8632
2021-10-05,164.62,10.5,15.1886,9.2264
2021-10-06,153.87,15.32,14.1929,9.2239
2021-10-07,154.26,11.08,14.3,9.2701
2021-10-08,158.86,16.58,13.8379,8.7107
2021-10-09,156.84,7.36,13.6036,8.6735
2021-10-10,147.55,12.95,13.385,9.0715
2021-10-11,144.77,13.76,13.2821,9.1747
2021-10-12,152.32,15.89,13.615,8.9384
2021-10-13,148.04,11.28,13.7743,9.3044
2021-10-14,150.02,8.38,13.735,9.1554
2021-10-15,163.18,19.07,13.19,8.0831
2021-10-16,157.54,8.44,12.44,7.8964
2021-10-17,160.12,14.52,12.605,7.8722
2021-10-18,157.12,8.07,12.3714,7.8739
2021-10-19,155.78,6.39,12.0779,7.7532
2021-10-20,176.72,21.87,12.5457,7.0992
2021-10-21,190.5,17.51,13.005,6.8268
2021-10-22,196.29,27.14,13.7593,7.0097
2021-10-23,197.75,13.92,14.2279,7.1949
2021-10-24,202.14,19.64,14.7057,7.275
2021-10-25,209.7,20.93,15.2179,7.257
2021-10-26,199.85,17.84,15.3571,7.6843
