date,close,ma20,ma20_position,ma60,ma60_position,ma120,ma120_position
2021-06-01,30.938,,,,,,
2021-06-02,33.994,,,,,,
2021-06-03,39.602,,,,,,
2021-06-04,37.338,,,,,,
2021-06-05,39.633,,,,,,
2021-06-06,42.205,,,,,,
2021-06-07,38.235,,,,,,
2021-06-08,41.245,,,,,,
2021-06-09,42.032,,,,,,
2021-06-10,41.105,,,,,,
2021-06-11,36.157,,,,,,
2021-06-12,36.476,,,,,,
2021-06-13,38.706,,,,,,
2021-06-14,39.694,,,,,,
2021-06-15,39.536,,,,,,
2021-06-16,39.728,,,,,,
2021-06-17,39.265,,,,,,
2021-06-18,36.82,,,,,,
2021-06-19,35.19,,,,,,
2021-06-20,35.257,38.1578,跌破,,,,
2021-06-21,26.59,37.9404,跌破,,,,
2021-06-22,26.958,37.5886,跌破,,,,
2021-06-23,30.837,37.1503,跌破,,,,
2021-06-24,31.141,36.8405,跌破,,,,
2021-06-25,28.641,36.2909,跌破,,,,
2021-06-26,29.698,35.6656,跌破,,,,
2021-06-27,31.897,35.3486,跌破,,,,
2021-06-28,33.001,34.9365,跌破,,,,
2021-06-29,33.97,34.5333,跌破,,,,
2021-06-30,35.51,34.2536,站上,,,,
2021-07-01,33.271,34.1093,跌破,,,,
2021-07-02,34.0,33.9855,站上,,,,
2021-07-03,34.498,33.7751,站上,,,,
2021-07-04,34.28,33.5044,站上,,,,
2021-07-05,32.908,33.173,跌破,,,,
2021-07-06,34.226,32.8979,站上,,,,
2021-07-07,36.673,32.7683,站上,,,,
2021-07-08,33.142,32.5844,站上,,,,
2021-07-09,33.315,32.4907,站上,,,,
2021-07-10,31.693,32.3124,跌破,,,,
2021-07-11,32.182,32.5921,跌破,,,,
2021-07-12,30.77,32.7827,跌破,,,,
2021-07-13,29.136,32.6976,跌破,,,,
2021-07-14,31.365,32.7088,跌破,,,,
2021-07-15,28.545,32.704,跌破,,,,
2021-07-16,26.271,32.5327,跌破,,,,
2021-07-17,26.802,32.2779,跌破,,,,
2021-07-18,26.673,31.9615,跌破,,,,
2021-07-19,24.509,31.4885,跌破,,,,
2021-07-20,23.474,30.8866,跌破,,,,
2021-07-21,26.7,30.5581,跌破,,,,
2021-07-22,27.699,30.2431,跌破,,,,
2021-07-23,28.516,29.944,跌破,,,,
2021-07-24,28.616,29.6608,跌破,,,,
2021-07-25,28.248,29.4277,跌破,,,,
2021-07-26,28.184,29.1257,跌破,,,,
2021-07-27,28.103,28.6972,跌破,,,,
2021-07-28,27.875,28.4338,跌破,,,,
2021-07-29,31.235,28.3298,站上,,,,
2021-07-30,32.354,28.3628,站上,32.9444,跌破,,
2021-07-31,36.744,28.5909,站上,33.0411,站上,,
2021-08-01,34.165,28.7607,站上,33.044,站上,,
2021-08-02,33.167,28.9623,站上,32.9367,站上,,
2021-08-03,34.105,29.0993,站上,32.8828,站上,,
2021-08-04,35.76,29.46,站上,32.8183,站上,,
2021-08-05,37.353,30.0141,站上,32.7374,站上,,
2021-08-06,39.525,30.6502,站上,32.7589,站上,,
2021-08-07,39.469,31.2901,站上,32.7293,站上,,
2021-08-08,37.65,31.9471,站上,32.6563,站上,,
2021-08-09,38.646,32.7057,站上,32.6153,站上,,
