date,close,daily_return_pct,vol_20d_pct,percentile_90d
2021-06-01,30.938,0.0,,
2021-06-02,33.994,9.8778,,
2021-06-03,39.602,16.497,,
2021-06-04,37.338,-5.7169,,
2021-06-05,39.633,6.1466,,
2021-06-06,42.205,6.4895,,
2021-06-07,38.235,-9.4065,,
2021-06-08,41.245,7.8724,,
2021-06-09,42.032,1.9081,,
2021-06-10,41.105,-2.2055,,
2021-06-11,36.157,-12.0375,,
2021-06-12,36.476,0.8823,,
2021-06-13,38.706,6.1136,,
2021-06-14,39.694,2.5526,,
2021-06-15,39.536,-0.398,,
2021-06-16,39.728,0.4856,,
2021-06-17,39.265,-1.1654,,
2021-06-18,36.82,-6.2269,,
2021-06-19,35.19,-4.4269,,
2021-06-20,35.257,0.1904,6.6174,
2021-06-21,26.59,-24.5824,8.6392,
2021-06-22,26.958,1.384,8.3288,
2021-06-23,30.837,14.389,8.1202,
2021-06-24,31.141,0.9858,8.052,
2021-06-25,28.641,-8.028,8.055,
2021-06-26,29.698,3.6905,7.9427,
2021-06-27,31.897,7.4045,7.9405,
2021-06-28,33.001,3.4611,7.7625,
2021-06-29,33.97,2.9363,7.7835,
2021-06-30,35.51,4.5334,7.8579,
2021-07-01,33.271,-6.3053,7.5254,
2021-07-02,34.0,2.1911,7.5394,
2021-07-03,34.498,1.4647,7.4167,
2021-07-04,34.28,-0.6319,7.3885,
2021-07-05,32.908,-4.0023,7.4293,
2021-07-06,34.226,4.0051,7.4946,
2021-07-07,36.673,7.1495,7.6712,
2021-07-08,33.142,-9.6283,7.8427,
2021-07-09,33.315,0.522,7.783,
2021-07-10,31.693,-4.8687,7.8564,
2021-07-11,32.182,1.5429,5.5167,
2021-07-12,30.77,-4.3875,5.6443,
2021-07-13,29.136,-5.3104,4.8542,
2021-07-14,31.365,7.6503,5.1419,
2021-07-15,28.545,-8.9909,5.2224,
2021-07-16,26.271,-7.9664,5.4375,
2021-07-17,26.802,2.0212,5.1681,
2021-07-18,26.673,-0.4813,5.0788,
2021-07-19,24.509,-8.1131,5.2272,
2021-07-20,23.474,-4.2229,5.0695,
2021-07-21,26.7,13.7429,5.9997,
2021-07-22,27.699,3.7416,6.0492,
2021-07-23,28.516,2.9496,6.086,
2021-07-24,28.616,0.3507,6.0908,
2021-07-25,28.248,-1.286,6.0461,
2021-07-26,28.184,-0.2266,5.9553,
2021-07-27,28.103,-0.2874,5.6735,
2021-07-28,27.875,-0.8113,5.3307,
2021-07-29,31.235,12.0538,6.0139,
2021-07-30,32.354,3.5825,5.9639,
2021-07-31,36.744,13.5686,6.6301,
2021-08-01,34.165,-7.0188,6.7582,
2021-08-02,33.167,-2.9211,6.6706,
2021-08-03,34.105,2.8281,6.5062,
2021-08-04,35.76,4.8527,6.1742,
2021-08-05,37.353,4.4547,5.8239,
2021-08-06,39.525,5.8148,5.8849,
2021-08-07,39.469,-0.1417,5.8778,
2021-08-08,37.65,-4.6087,5.6158,
2021-08-09,38.646,2.6454,5.4114,
2021-08-10,40.64,5.1597,4.8243,
2021-08-11,41.621,2.4139,4.8122,
2021-08-12,41.102,-1.247,4.8648,
2021-08-13,44.83,9.0701,5.0868,
2021-08-14,44.14,-1.5391,5.0963,
2021-08-15,53.531,21.2755,6.5057,
2021-08-16,62.016,15.8506,6.975,
2021-08-17,64.123,3.3975,6.8816,
2021-08-18,72.663,13.3182,6.9563,
2021-08-19,72.764,0.139,7.0202,
2021-08-20,78.643,8.0795,6.7574,
2021-08-21,73.801,-6.1569,6.6888,
2021-08-22,72.775,-1.3902,6.616,
2021-08-23,75.623,3.9134,6.6089,
2021-08-24,70.527,-6.7387,7.027,
2021-08-25,71.973,2.0503,7.0333,
2021-08-26,74.92,4.0946,7.0158,
2021-08-27,87.98,17.4319,7.5847,
2021-08-28,96.22,9.3658,7.367,
2021-08-29,94.23,-2.0682,7.5143,
2021-08-30,110.25,17.001,7.9704,
2021-08-31,108.27,-1.7959,8.1013,
2021-09-01,110.71,2.2536,7.9972,
2021-09-02,128.23,15.8251,8.2835,
2021-09-03,146.4,14.1699,8.3032,
2021-09-04,138.88,-5.1366,7.9408,
2021-09-05,142.0,2.2465,7.5717,
2021-09-06,164.22,15.6479,7.9441,
2021-09-07,173.46,5.6266,7.7205,
2021-09-08,191.02,10.1234,7.7305,
2021-09-09,187.9,-1.6333,7.8403,
2021-09-10,179.6,-4.4172,7.7278,
2021-09-11,179.04,-0.3118,7.6879,
2021-09-12,174.29,-2.653,7.8605,
2021-09-13,169.53,-2.7311,7.6174,
2021-09-14,158.88,-6.2821,7.9735,
2021-09-15,158.79,-0.0566,8.0309,
2021-09-16,152.29,-4.0935,7.6074,
2021-09-17,147.58,-3.0928,7.575,64.44
2021-09-18,169.22,14.6632,7.9467,86.67
2021-09-19,152.76,-9.727,7.7703,74.44
2021-09-20,132.77,-13.0859,8.4047,100.0
2021-09-21,124.29,-6.387,8.5685,100.0
2021-09-22,148.02,19.0924,8.8765,100.0
2021-09-23,149.91,1.2769,8.3567,96.67
2021-09-24,139.13,-7.191,8.437,97.78
2021-09-25,136.06,-2.2066,8.4428,97.78
2021-09-26,135.64,-0.3087,7.6558,67.78
2021-09-27,136.35,0.5234,7.5256,61.11
2021-09-28,132.2,-3.0436,7.0938,53.33
2021-09-29,135.25,2.3071,7.1443,54.44
2021-09-30,141.37,4.525,7.22,55.56
2021-10-01,161.56,14.2817,7.9473,85.56
2021-10-02,168.98,4.5927,7.9927,87.78
2021-10-03,172.98,2.3671,7.9779,86.67
2021-10-04,167.13,-3.3819,7.8808,78.89
2021-10-05,164.62,-1.5018,7.8927,78.89
2021-10-06,153.87,-6.5302,7.9806,86.67
2021-10-07,154.26,0.2535,7.9415,78.89
2021-10-08,158.86,2.982,7.2825,56.67
2021-10-09,156.84,-1.2716,6.9466,45.56
2021-10-10,147.55,-5.9232,6.4077,33.33
2021-10-11,144.77,-1.8841,6.2306,32.22
2021-10-12,152.32,5.2152,4.7736,1.11
2021-10-13,148.04,-2.8099,4.8128,3.33
2021-10-14,150.02,1.3375,4.5214,1.11
2021-10-15,163.18,8.7722,4.819,5.56
2021-10-16,157.54,-3.4563,4.9105,8.89
2021-10-17,160.12,1.6377,4.9126,10.0
2021-10-18,157.12,-1.8736,4.8718,8.89
2021-10-19,155.78,-0.8529,4.8775,10.0
2021-10-20,176.72,13.442,5.5558,17.78
2021-10-21,190.5,7.7976,4.9424,13.33
2021-10-22,196.29,3.0394,4.8965,11.11
2021-10-23,197.75,0.7438,4.8844,11.11
2021-10-24,202.14,2.22,4.7971,3.33
2021-10-25,209.7,3.74,4.7928,3.33
2021-10-26,199.85,-4.6972,4.6573,2.22
2021-10-27,184.49,-7.6858,5.0607,20.0
2021-10-28,195.42,5.9244,5.1574,23.33
2021-10-29,200.41,2.5535,5.1341,23.33
2021-10-30,195.7,-2.3502,4.9358,18.89
2021-10-31,202.49,3.4696,4.8878,15.56
2021-11-01,203.9,0.6963,4.8292,11.11
2021-11-02,220.82,8.2982,4.9298,21.11
2021-11-03,243.37,10.2119,5.2282,30.0
