date,close,tr,atr_14,atr_14_pct
2021-06-01,1.0108,0.1258,,
2021-06-02,1.0241,0.0705,,
2021-06-03,1.045,0.072,,
2021-06-04,0.9683,0.131,,
2021-06-05,0.923,0.1052,,
2021-06-06,0.947,0.0323,,
2021-06-07,0.8618,0.138,,
2021-06-08,0.8731,0.1023,,
2021-06-09,0.9218,0.0918,,
2021-06-10,0.8686,0.0776,,
2021-06-11,0.8471,0.0465,,
2021-06-12,0.8326,0.0425,,
2021-06-13,0.8832,0.0713,,
2021-06-14,0.8906,0.0672,0.0839,9.4158
2021-06-15,0.8663,0.0466,0.0782,9.0269
2021-06-16,0.832,0.0474,0.0765,9.2007
2021-06-17,0.8419,0.0378,0.0741,8.8024
2021-06-18,0.7972,0.0763,0.0702,8.8058
2021-06-19,0.7582,0.0498,0.0662,8.7369
2021-06-20,0.7741,0.0882,0.0702,9.0732
2021-06-21,0.6067,0.1766,0.073,12.0311
2021-06-22,0.5468,0.141,0.0758,13.8546
2021-06-23,0.6383,0.1452,0.0796,12.4661
2021-06-24,0.6731,0.0765,0.0795,11.81
2021-06-25,0.6111,0.087,0.0824,13.4815
2021-06-26,0.6162,0.0515,0.083,13.4743
2021-06-27,0.6484,0.056,0.0819,12.6366
2021-06-28,0.6444,0.0345,0.0796,12.3526
2021-06-29,0.7063,0.0923,0.0829,11.7322
2021-06-30,0.7063,0.0668,0.0842,11.9284
2021-07-01,0.6591,0.0624,0.086,13.0492
2021-07-02,0.6556,0.0347,0.083,12.6656
2021-07-03,0.6732,0.0416,0.0824,12.2475
2021-07-04,0.696,0.0436,0.0793,11.3885
2021-07-05,0.6526,0.0526,0.0704,10.7887
2021-07-06,0.6648,0.0289,0.0624,9.3863
2021-07-07,0.6522,0.024,0.0537,8.2402
2021-07-08,0.6215,0.0437,0.0514,8.2703
2021-07-09,0.6369,0.054,0.049,7.7002
2021-07-10,0.6246,0.0369,0.048,7.6849
2021-07-11,0.6364,0.028,0.046,7.2282
2021-07-12,0.6288,0.0403,0.0464,7.3814
2021-07-13,0.6192,0.034,0.0422,6.8233
2021-07-14,0.6197,0.0399,0.0403,6.5078
2021-07-15,0.5979,0.0395,0.0387,6.4715
2021-07-16,0.5893,0.0337,0.0386,6.5538
2021-07-17,0.5821,0.0377,0.0383,6.587
2021-07-18,0.5866,0.0306,0.0374,6.3782
2021-07-19,0.557,0.0356,0.0362,6.4991
2021-07-20,0.5284,0.0542,0.038,7.1929
2021-07-21,0.5719,0.0647,0.0409,7.1541
2021-07-22,0.592,0.0424,0.0408,6.8955
2021-07-23,0.6091,0.0348,0.0394,6.4768
2021-07-24,0.6085,0.0209,0.0383,6.2953
2021-07-25,0.6069,0.0212,0.0378,6.2319
2021-07-26,0.6234,0.0745,0.0403,6.4588
2021-07-27,0.6451,0.0407,0.0407,6.3157
2021-07-28,0.7327,0.1241,0.0468,6.3815
2021-07-29,0.7488,0.0695,0.0489,6.5304
2021-07-30,0.7521,0.0582,0.0506,6.7345
2021-07-31,0.746,0.0224,0.0496,6.643
2021-08-01,0.7242,0.0736,0.0526,7.2671
2021-08-02,0.738,0.059,0.0543,7.3577
2021-08-03,0.7136,0.0442,0.0536,7.5092
2021-08-04,0.731,0.0446,0.0522,7.1341
2021-08-05,0.7327,0.0379,0.0518,7.0736
2021-08-06,0.7474,0.0311,0.0516,6.8992
2021-08-07,0.8162,0.0778,0.0556,6.8156
2021-08-08,0.7788,0.0696,0.0591,7.5868
2021-08-09,0.817,0.0683,0.0586,7.1778
2021-08-10,0.8511,0.0622,0.0602,7.0707
2021-08-11,1.0105,0.2426,0.0686,6.793
2021-08-12,0.966,0.1228,0.0725,7.5
2021-08-13,1.0901,0.1467,0.0788,7.2261
2021-08-14,1.2791,0.2409,0.0944,7.3785
2021-08-15,1.2839,0.1248,0.098,7.6358
2021-08-16,1.1855,0.1856,0.1071,9.0324
2021-08-17,1.0978,0.1629,0.1156,10.5262
2021-08-18,1.1431,0.1462,0.1228,10.744
2021-08-19,1.2347,0.146,0.1305,10.5723
2021-08-20,1.2629,0.0905,0.1348,10.6721
2021-08-21,1.2158,0.0835,0.1352,11.1191
2021-08-22,1.226,0.0781,0.1358,11.0761
2021-08-23,1.2457,0.1022,0.1382,11.0953
2021-08-24,1.1353,0.1446,0.1441,12.6927
2021-08-25,1.1735,0.0706,0.1318,11.2326
2021-08-26,1.0712,0.123,0.1318,12.3066
2021-08-27,1.1918,0.1425,0.1315,11.0361
2021-08-28,1.1459,0.0651,0.119,10.3824
2021-08-29,1.1408,0.0563,0.1141,9.9999
2021-08-30,1.1002,0.0542,0.1047,9.5158
2021-08-31,1.1856,0.1534,0.104,8.7731
2021-09-01,1.2362,0.0804,0.0993,8.0338
2021-09-02,1.2533,0.0734,0.0941,7.5105
2021-09-03,1.2907,0.1046,0.0951,7.3709
2021-09-04,1.2548,0.062,0.0936,7.4594
2021-09-05,1.3076,0.0764,0.0935,7.1489
2021-09-06,1.3894,0.1086,0.0939,6.7609
2021-09-07,1.1292,0.4398,0.115,10.1861
2021-09-08,1.0998,0.1347,0.1196,10.8747
2021-09-09,1.0868,0.0758,0.1162,10.6946
2021-09-10,1.0552,0.215,0.1214,11.5056
2021-09-11,1.0787,0.0697,0.1217,11.2854
2021-09-12,1.1181,0.07,0.1227,10.9753
2021-09-13,1.0643,0.1016,0.1261,11.8482
2021-09-14,1.0963,0.0412,0.1181,10.7713
2021-09-15,1.1207,0.0516,0.116,10.3532
2021-09-16,1.0902,0.0638,0.1153,10.58
2021-09-17,1.0661,0.0516,0.1116,10.464
2021-09-18,1.0751,0.039,0.1099,10.2236
2021-09-19,1.0483,0.0454,0.1077,10.2738
2021-09-20,0.9216,0.1759,0.1125,12.2078
2021-09-21,0.8743,0.1011,0.0883,10.1011
2021-09-22,1.0033,0.1415,0.0888,8.8508
2021-09-23,1.0016,0.0494,0.0869,8.6775
2021-09-24,0.944,0.1169,0.0799,8.4647
2021-09-25,0.94,0.0414,0.0779,8.2857
2021-09-26,0.9436,0.0652,0.0775,8.2178
2021-09-27,0.9218,0.0624,0.0747,8.1084
2021-09-28,0.8928,0.0528,0.0756,8.4645
2021-09-29,0.9268,0.108,0.0796,8.5887
2021-09-30,0.9533,0.0423,0.0781,8.1888
2021-10-01,1.0422,0.1252,0.0833,7.9948
