date,close,ma20,ma20_position,ma60,ma60_position,ma120,ma120_position
2021-06-01,1.0108,,,,,,
2021-06-02,1.0241,,,,,,
2021-06-03,1.045,,,,,,
2021-06-04,0.9683,,,,,,
2021-06-05,0.923,,,,,,
2021-06-06,0.947,,,,,,
2021-06-07,0.8618,,,,,,
2021-06-08,0.8731,,,,,,
2021-06-09,0.9218,,,,,,
2021-06-10,0.8686,,,,,,
2021-06-11,0.8471,,,,,,
2021-06-12,0.8326,,,,,,
2021-06-13,0.8832,,,,,,
2021-06-14,0.8906,,,,,,
2021-06-15,0.8663,,,,,,
2021-06-16,0.832,,,,,,
2021-06-17,0.8419,,,,,,
2021-06-18,0.7972,,,,,,
2021-06-19,0.7582,,,,,,
2021-06-20,0.7741,0.8883,跌破,,,,
2021-06-21,0.6067,0.8681,跌破,,,,
2021-06-22,0.5468,0.8443,跌破,,,,
2021-06-23,0.6383,0.8239,跌破,,,,
2021-06-24,0.6731,0.8092,跌破,,,,
2021-06-25,0.6111,0.7936,跌破,,,,
2021-06-26,0.6162,0.777,跌破,,,,
2021-06-27,0.6484,0.7664,跌破,,,,
2021-06-28,0.6444,0.7549,跌破,,,,
2021-06-29,0.7063,0.7442,跌破,,,,
2021-06-30,0.7063,0.736,跌破,,,,
2021-07-01,0.6591,0.7266,跌破,,,,
2021-07-02,0.6556,0.7178,跌破,,,,
2021-07-03,0.6732,0.7073,跌破,,,,
2021-07-04,0.696,0.6976,跌破,,,,
2021-07-05,0.6526,0.6869,跌破,,,,
2021-07-06,0.6648,0.6785,跌破,,,,
2021-07-07,0.6522,0.669,跌破,,,,
2021-07-08,0.6215,0.6602,跌破,,,,
2021-07-09,0.6369,0.6542,跌破,,,,
2021-07-10,0.6246,0.6467,跌破,,,,
2021-07-11,0.6364,0.6482,跌破,,,,
2021-07-12,0.6288,0.6523,跌破,,,,
2021-07-13,0.6192,0.6513,跌破,,,,
2021-07-14,0.6197,0.6487,跌破,,,,
2021-07-15,0.5979,0.648,跌破,,,,
2021-07-16,0.5893,0.6467,跌破,,,,
2021-07-17,0.5821,0.6433,跌破,,,,
2021-07-18,0.5866,0.6405,跌破,,,,
2021-07-19,0.557,0.633,跌破,,,,
2021-07-20,0.5284,0.6241,跌破,,,,
2021-07-21,0.5719,0.6197,跌破,,,,
2021-07-22,0.592,0.6166,跌破,,,,
2021-07-23,0.6091,0.6133,跌破,,,,
2021-07-24,0.6085,0.609,跌破,,,,
2021-07-25,0.6069,0.6067,站上,,,,
2021-07-26,0.6234,0.6046,站上,,,,
2021-07-27,0.6451,0.6043,站上,,,,
2021-07-28,0.7327,0.6098,站上,,,,
2021-07-29,0.7488,0.6154,站上,,,,
2021-07-30,0.7521,0.6218,站上,0.7189,站上,,
