date,ratio,percentile_90d
2021-06-01,0.00987625,
2021-06-02,0.01068816,
2021-06-03,0.01091758,
2021-06-04,0.01060849,
2021-06-05,0.01098408,
2021-06-06,0.01099918,
2021-06-07,0.01066856,
2021-06-08,0.01055996,
2021-06-09,0.01004439,
2021-06-10,0.00959599,
2021-06-11,0.0092615,
2021-06-12,0.00966913,
2021-06-13,0.00937454,
2021-06-14,0.00913682,
2021-06-15,0.00912913,
2021-06-16,0.00905421,
2021-06-17,0.00926286,
2021-06-18,0.00941266,
2021-06-19,0.00941305,
2021-06-20,0.00952468,
2021-06-21,0.00856593,
2021-06-22,0.00806224,
2021-06-23,0.00879653,
2021-06-24,0.00890342,
2021-06-25,0.00889077,
2021-06-26,0.00866228,
2021-06-27,0.00838234,
2021-06-28,0.00840704,
2021-06-29,0.00837581,
2021-06-30,0.00866629,
2021-07-01,0.0085788,
2021-07-02,0.00849954,
2021-07-03,0.00859929,
2021-07-04,0.00871778,
2021-07-05,0.00896464,
2021-07-06,0.00934892,
2021-07-07,0.00967187,
2021-07-08,0.00943371,
2021-07-09,0.00937697,
2021-07-10,0.00943561,
2021-07-11,0.00940366,
2021-07-12,0.00955431,
2021-07-13,0.00943911,
2021-07-14,0.00942717,
2021-07-15,0.00991562,
2021-07-16,0.00965082,
2021-07-17,0.00953424,
2021-07-18,0.00950641,
2021-07-19,0.00909673,
2021-07-20,0.0088767,
2021-07-21,0.00912318,
2021-07-22,0.00908578,
2021-07-23,0.00889782,
2021-07-24,0.00880258,
2021-07-25,0.00855148,
2021-07-26,0.00816379,
2021-07-27,0.00794468,
2021-07-28,0.00784117,
2021-07-29,0.00792249,
2021-07-30,0.00764292,
2021-07-31,0.00801653,
2021-08-01,0.008347,
2021-08-02,0.00844364,
2021-08-03,0.00846519,
2021-08-04,0.00842757,
2021-08-05,0.00826945,
2021-08-06,0.00799288,
2021-08-07,0.00799102,
2021-08-08,0.00780443,
2021-08-09,0.00766041,
2021-08-10,0.00815883,
2021-08-11,0.00859045,
2021-08-12,0.00868623,
2021-08-13,0.00859331,
2021-08-14,0.00868245,
2021-08-15,0.00881448,
2021-08-16,0.00905683,
2021-08-17,0.00898963,
2021-08-18,0.00886137,
2021-08-19,0.00922293,
2021-08-20,0.00922359,
2021-08-21,0.00919137,
2021-08-22,0.00911225,
2021-08-23,0.01008429,
2021-08-24,0.0098926,
2021-08-25,0.01027478,
2021-08-26,0.01020624,
2021-08-27,0.01007746,
2021-08-28,0.00994369,
2021-08-29,0.0098364,82.22
2021-08-30,0.00979718,82.22
2021-08-31,0.00984907,84.44
2021-09-01,0.01002653,88.89
2021-09-02,0.00982199,83.33
2021-09-03,0.00977017,82.22
2021-09-04,0.00997082,91.11
2021-09-05,0.00975329,82.22
2021-09-06,0.00942012,68.89
2021-09-07,0.00893441,45.56
2021-09-08,0.00901227,48.89
2021-09-09,0.00908069,52.22
2021-09-10,0.00894965,46.67
2021-09-11,0.00896761,48.89
2021-09-12,0.00904504,52.22
2021-09-13,0.00888059,42.22
2021-09-14,0.00879403,36.67
2021-09-15,0.00896275,50.0
2021-09-16,0.00888813,44.44
2021-09-17,0.0085962,30.0
2021-09-18,0.00850438,24.44
2021-09-19,0.00864913,32.22
2021-09-20,0.00846437,21.11
2021-09-21,0.00845477,21.11
2021-09-22,0.00870392,38.89
2021-09-23,0.00854782,26.67
2021-09-24,0.00829234,14.44
2021-09-25,0.00819299,13.33
2021-09-26,0.00797018,7.78
2021-09-27,0.00796017,7.78
2021-09-28,0.0081167,13.33
2021-09-29,0.00885506,44.44
2021-09-30,0.00884217,43.33
2021-10-01,0.00875542,38.89
2021-10-02,0.00896612,54.44
2021-10-03,0.00893153,50.0
2021-10-04,0.00866024,34.44
2021-10-05,0.00858914,30.0
2021-10-06,0.00786224,5.56
2021-10-07,0.0081528,15.56
2021-10-08,0.00776995,3.33
2021-10-09,0.00767793,3.33
2021-10-10,0.00739311,1.11
2021-10-11,0.00718793,1.11
2021-10-12,0.00793258,12.22
2021-10-13,0.00820681,25.56
2021-10-14,0.00824267,26.67
2021-10-15,0.00769388,6.67
2021-10-16,0.00765167,4.44
2021-10-17,0.00765339,5.56
2021-10-18,0.00781973,12.22
2021-10-19,0.00759327,3.33
2021-10-20,0.00759529,4.44
2021-10-21,0.00757157,3.33
2021-10-22,0.00789774,18.89
2021-10-23,0.00792178,20.0
2021-10-24,0.00781894,15.56
2021-10-25,0.00769038,12.22
2021-10-26,0.0079249,23.33
2021-10-27,0.00768145,12.22
2021-10-28,0.00812039,31.11
2021-10-29,0.00851837,46.67
2021-10-30,0.00854036,46.67
2021-10-31,0.00855794,47.78
2021-11-01,0.00905089,76.67
2021-11-02,0.00876938,57.78
2021-11-03,0.00903707,74.44
2021-11-04,0.00910009,78.89
2021-11-05,0.00996601,93.33
2021-11-06,0.01037406,100.0
2021-11-07,0.01026653,97.78
2021-11-08,0.00967778,81.11
2021-11-09,0.00948502,80.0
2021-11-10,0.00946481,78.89
2021-11-11,0.00970138,81.11
2021-11-12,0.00977664,83.33
2021-11-13,0.01008854,95.56
2021-11-14,0.00993298,87.78
2021-11-15,0.00996435,88.89
2021-11-16,0.00980205,81.11
2021-11-17,0.00957828,73.33
2021-11-18,0.0093476,68.89
2021-11-19,0.01000823,91.11
2021-11-20,0.010121,95.56
2021-11-21,0.00996213,86.67
2021-11-22,0.00994361,84.44
2021-11-23,0.01027263,98.89
2021-11-24,0.01033108,98.89
2021-11-25,0.01083949,100.0
2021-11-26,0.01093128,100.0
2021-11-27,0.01096288,100.0
2021-11-28,0.01067309,96.67
2021-11-29,0.0107899,96.67
2021-11-30,0.01093053,97.78
2021-12-01,0.01097334,100.0
2021-12-02,0.0109755,100.0
2021-12-03,0.01110053,100.0
2021-12-04,0.01156809,100.0
2021-12-05,0.01129234,98.89
2021-12-06,0.01164706,100.0
2021-12-07,0.01143926,97.78
2021-12-08,0.01203063,100.0
2021-12-09,0.0119927,98.89
2021-12-10,0.01171815,97.78
2021-12-11,0.01142944,93.33
2021-12-12,0.01139372,92.22
2021-12-13,0.01115566,90.0
2021-12-14,0.01092396,82.22
2021-12-15,0.01107337,87.78
2021-12-16,0.01104711,86.67
2021-12-17,0.01139142,91.11
2021-12-18,0.01139972,92.22
2021-12-19,0.01134932,88.89
2021-12-20,0.01116934,86.67
2021-12-21,0.01080592,73.33
2021-12-22,0.0109821,81.11
2021-12-23,0.01079884,71.11
2021-12-24,0.01066706,67.78
2021-12-25,0.01086118,73.33
2021-12-26,0.0107611,67.78
2021-12-27,0.01111803,84.44
2021-12-28,0.01123597,86.67
2021-12-29,0.01107293,80.0
2021-12-30,0.01100362,77.78
2021-12-31,0.01106521,78.89
2022-01-01,0.01104926,77.78
2022-01-02,0.0112295,85.56
2022-01-03,0.01102138,74.44
2022-01-04,0.01105996,76.67
2022-01-05,0.01091111,63.33
2022-01-06,0.0109697,67.78
2022-01-07,0.01078032,55.56
2022-01-08,0.01031436,48.89
2022-01-09,0.01047902,51.11
2022-01-10,0.01015482,44.44
2022-01-11,0.0108497,60.0
2022-01-12,0.01111094,81.11
2022-01-13,0.01116538,83.33
2022-01-14,0.01137948,88.89
2022-01-15,0.0114775,94.44
2022-01-16,0.01157606,95.56
2022-01-17,0.01126023,83.33
2022-01-18,0.01113049,76.67
2022-01-19,0.01108737,72.22
2022-01-20,0.0108208,48.89
2022-01-21,0.01053359,40.0
2022-01-22,0.0102163,32.22
2022-01-23,0.01059194,40.0
2022-01-24,0.01012811,28.89
2022-01-25,0.01041985,36.67
2022-01-26,0.01019035,28.89
2022-01-27,0.01049244,37.78
2022-01-28,0.01023158,28.89
2022-01-29,0.01019995,26.67
2022-01-30,0.0099573,15.56
2022-01-31,0.00973044,10.0
2022-02-01,0.00992904,12.22
2022-02-02,0.00994407,14.44
2022-02-03,0.00997813,18.89
2022-02-04,0.00960931,5.56
2022-02-05,0.00999696,21.11
2022-02-06,0.00990777,11.11
2022-02-07,0.00988823,10.0
2022-02-08,0.00925914,1.11
2022-02-09,0.00953063,3.33
2022-02-10,0.00953433,4.44
2022-02-11,0.00943981,3.33
2022-02-12,0.00955993,6.67
2022-02-13,0.00946172,4.44
2022-02-14,0.00948374,5.56
2022-02-15,0.00970707,11.11
2022-02-16,0.00973935,12.22
2022-02-17,0.00993195,16.67
2022-02-18,0.00998638,23.33
2022-02-19,0.00997526,21.11
2022-02-20,0.00991484,15.56
2022-02-21,0.00963571,10.0
2022-02-22,0.00979066,14.44
2022-02-23,0.00981476,15.56
2022-02-24,0.00942411,2.22
2022-02-25,0.00956165,10.0
2022-02-26,0.00955346,8.89
2022-02-27,0.00955196,8.89
2022-02-28,0.00916589,1.11
2022-03-01,0.00920056,2.22
2022-03-02,0.00932495,4.44
2022-03-03,0.00948321,8.89
2022-03-04,0.00955844,15.56
2022-03-05,0.00976446,24.44
2022-03-06,0.00976034,24.44
2022-03-07,0.01001895,41.11
2022-03-08,0.0098475,28.89
2022-03-09,0.00937492,5.56
2022-03-10,0.00943636,7.78
2022-03-11,0.00960248,21.11
2022-03-12,0.00959612,21.11
2022-03-13,0.00956658,21.11
2022-03-14,0.00941233,6.67
2022-03-15,0.00946275,12.22
2022-03-16,0.00937394,5.56
2022-03-17,0.00957527,25.56
2022-03-18,0.00951206,16.67
2022-03-19,0.00947605,14.44
2022-03-20,0.00947116,14.44
2022-03-21,0.00965801,34.44
2022-03-22,0.00954345,22.22
2022-03-23,0.00952364,20.0
2022-03-24,0.00941546,8.89
2022-03-25,0.0092591,3.33
2022-03-26,0.00934145,6.67
2022-03-27,0.00919326,2.22
2022-03-28,0.00912945,1.11
2022-03-29,0.00915362,2.22
2022-03-30,0.0093928,13.33
2022-03-31,0.00942423,17.78
2022-04-01,0.009673,46.67
2022-04-02,0.00954356,33.33
2022-04-03,0.00970536,48.89
2022-04-04,0.00960917,44.44
2022-04-05,0.00977415,56.67
2022-04-06,0.00973119,53.33
2022-04-07,0.01003586,75.56
2022-04-08,0.00997586,71.11
2022-04-09,0.00997802,72.22
2022-04-10,0.00991725,65.56
2022-04-11,0.00998218,75.56
2022-04-12,0.01032066,86.67
2022-04-13,0.01028974,86.67
2022-04-14,0.01038246,88.89
2022-04-15,0.01029052,87.78
2022-04-16,0.01033465,90.0
2022-04-17,0.01024746,86.67
2022-04-18,0.0102154,84.44
2022-04-19,0.01017758,82.22
2022-04-20,0.0101165,81.11
2022-04-21,0.01000247,78.89
2022-04-22,0.01023945,90.0
2022-04-23,0.01016947,84.44
2022-04-24,0.01010897,82.22
2022-04-25,0.01000097,78.89
2022-04-26,0.01012525,85.56
2022-04-27,0.00997306,71.11
