date,ratio,percentile_90d
2021-06-01,0.13755186,
2021-06-02,0.1483767,
2021-06-03,0.14996238,
2021-06-04,0.1452681,
2021-06-05,0.14844752,
2021-06-06,0.14518496,
2021-06-07,0.13809919,
2021-06-08,0.1405934,
2021-06-09,0.14387514,
2021-06-10,0.14242298,
2021-06-11,0.14687703,
2021-06-12,0.14497583,
2021-06-13,0.14577596,
2021-06-14,0.14344169,
2021-06-15,0.14408266,
2021-06-16,0.14663688,
2021-06-17,0.14867609,
2021-06-18,0.15091603,
2021-06-19,0.15430066,
2021-06-20,0.15114087,
2021-06-21,0.14360193,
2021-06-22,0.13946831,
2021-06-23,0.15052283,
2021-06-24,0.15512284,
2021-06-25,0.15524486,
2021-06-26,0.15284428,
2021-06-27,0.14673507,
2021-06-28,0.1391281,
2021-06-29,0.13891185,
2021-06-30,0.13345901,
2021-07-01,0.13645492,
2021-07-02,0.13331136,
2021-07-03,0.13387128,
2021-07-04,0.13244126,
2021-07-05,0.13749869,
2021-07-06,0.13774812,
2021-07-07,0.14137712,
2021-07-08,0.14654614,
2021-07-09,0.14769049,
2021-07-10,0.14977093,
2021-07-11,0.15051041,
2021-07-12,0.15560303,
2021-07-13,0.15923511,
2021-07-14,0.15512038,
2021-07-15,0.16468265,
2021-07-16,0.16142752,
2021-07-17,0.15820256,
2021-07-18,0.15970269,
2021-07-19,0.15425049,
2021-07-20,0.14806022,
2021-07-21,0.14696066,
2021-07-22,0.14490062,
2021-07-23,0.14088266,
2021-07-24,0.13802952,
2021-07-25,0.1381685,
2021-07-26,0.13644034,
2021-07-27,0.13632588,
2021-07-28,0.13638142,
2021-07-29,0.13304265,
2021-07-30,0.13103367,
2021-07-31,0.13132099,
2021-08-01,0.13013707,
2021-08-02,0.12679665,
2021-08-03,0.12890588,
2021-08-04,0.1228613,
2021-08-05,0.11952996,
2021-08-06,0.11840931,
2021-08-07,0.11270413,
2021-08-08,0.11348175,
2021-08-09,0.11210813,
2021-08-10,0.11838328,
2021-08-11,0.12370195,
2021-08-12,0.12661361,
2021-08-13,0.12363649,
2021-08-14,0.1252375,
2021-08-15,0.12520071,
2021-08-16,0.13212015,
2021-08-17,0.13341214,
2021-08-18,0.13141265,
2021-08-19,0.13544402,
2021-08-20,0.13849465,
2021-08-21,0.13921196,
2021-08-22,0.13856702,
2021-08-23,0.15026135,
2021-08-24,0.14874693,
2021-08-25,0.15593749,
2021-08-26,0.15456485,
2021-08-27,0.15106386,
2021-08-28,0.14985452,
2021-08-29,0.14881479,74.44
2021-08-30,0.14252362,51.11
2021-08-31,0.13527937,28.89
2021-09-01,0.12788686,15.56
2021-09-02,0.12776624,15.56
2021-09-03,0.12404428,11.11
2021-09-04,0.12809096,18.89
2021-09-05,0.12778809,17.78
2021-09-06,0.12633793,14.44
2021-09-07,0.12190755,7.78
2021-09-08,0.11860532,6.67
2021-09-09,0.12300981,11.11
2021-09-10,0.12509115,15.56
2021-09-11,0.12398958,14.44
2021-09-12,0.12228975,10.0
2021-09-13,0.12147869,8.89
2021-09-14,0.12063348,8.89
2021-09-15,0.11935631,7.78
2021-09-16,0.11891883,7.78
2021-09-17,0.11959492,11.11
2021-09-18,0.11954105,11.11
2021-09-19,0.12275357,17.78
2021-09-20,0.12229283,17.78
2021-09-21,0.12451643,26.67
2021-09-22,0.12317512,22.22
2021-09-23,0.12164948,15.56
2021-09-24,0.12122123,14.44
2021-09-25,0.11965514,13.33
2021-09-26,0.11244145,2.22
2021-09-27,0.11467772,5.56
2021-09-28,0.11872039,10.0
2021-09-29,0.12899718,47.78
2021-09-30,0.12914041,48.89
2021-10-01,0.12734485,42.22
2021-10-02,0.1260715,38.89
2021-10-03,0.1259608,38.89
2021-10-04,0.12588924,38.89
2021-10-05,0.12576559,38.89
2021-10-06,0.12165409,22.22
2021-10-07,0.12223099,24.44
2021-10-08,0.11764937,6.67
2021-10-09,0.11801993,7.78
2021-10-10,0.11835793,8.89
2021-10-11,0.11662507,6.67
2021-10-12,0.12722471,53.33
2021-10-13,0.13050878,64.44
2021-10-14,0.12469598,42.22
2021-10-15,0.12264183,32.22
2021-10-16,0.12162007,25.56
2021-10-17,0.12241184,33.33
2021-10-18,0.12948069,67.78
2021-10-19,0.12589534,52.22
2021-10-20,0.1204715,22.22
2021-10-21,0.11618583,6.67
2021-10-22,0.12066361,25.56
2021-10-23,0.11650732,7.78
2021-10-24,0.11655109,8.89
2021-10-25,0.11494253,6.67
2021-10-26,0.11572012,7.78
2021-10-27,0.11440592,5.56
2021-10-28,0.11476848,7.78
2021-10-29,0.12000751,30.0
2021-10-30,0.12221585,41.11
2021-10-31,0.12236396,45.56
2021-11-01,0.12763258,73.33
2021-11-02,0.12078721,34.44
2021-11-03,0.1234753,52.22
2021-11-04,0.1232702,51.11
2021-11-05,0.13573255,87.78
2021-11-06,0.14114653,91.11
2021-11-07,0.14083194,90.0
2021-11-08,0.13591987,85.56
2021-11-09,0.13418337,81.11
2021-11-10,0.13266995,78.89
2021-11-11,0.13316381,78.89
2021-11-12,0.13437046,81.11
2021-11-13,0.13984945,88.89
2021-11-14,0.14066789,88.89
2021-11-15,0.13887611,85.56
2021-11-16,0.1398417,86.67
2021-11-17,0.13480106,77.78
2021-11-18,0.13305312,74.44
2021-11-19,0.13528113,81.11
2021-11-20,0.13696208,84.44
2021-11-21,0.13714361,85.56
2021-11-22,0.13688304,84.44
2021-11-23,0.13621573,84.44
2021-11-24,0.13826428,88.89
2021-11-25,0.14124225,96.67
2021-11-26,0.14532812,98.89
2021-11-27,0.14648535,100.0
2021-11-28,0.14233558,97.78
2021-11-29,0.1402623,92.22
2021-11-30,0.13444169,77.78
2021-12-01,0.13692054,84.44
2021-12-02,0.13741324,86.67
2021-12-03,0.14113807,94.44
2021-12-04,0.13810189,85.56
2021-12-05,0.13292219,67.78
2021-12-06,0.13513234,74.44
2021-12-07,0.13438139,71.11
2021-12-08,0.136852,78.89
2021-12-09,0.13888212,87.78
2021-12-10,0.14171588,96.67
2021-12-11,0.13804082,82.22
2021-12-12,0.13808717,82.22
2021-12-13,0.13776035,80.0
2021-12-14,0.13684928,72.22
2021-12-15,0.1346328,64.44
2021-12-16,0.13294224,56.67
2021-12-17,0.13559821,67.78
2021-12-18,0.13482562,64.44
2021-12-19,0.13501047,64.44
2021-12-20,0.13283545,51.11
2021-12-21,0.13160943,48.89
2021-12-22,0.13408686,55.56
2021-12-23,0.13353083,54.44
2021-12-24,0.13397226,54.44
2021-12-25,0.13368076,53.33
2021-12-26,0.13446338,60.0
2021-12-27,0.13962544,86.67
2021-12-28,0.14084767,92.22
2021-12-29,0.14172812,96.67
2021-12-30,0.13978492,84.44
2021-12-31,0.1391099,82.22
2022-01-01,0.14003304,86.67
2022-01-02,0.13870495,77.78
2022-01-03,0.13593068,62.22
2022-01-04,0.13391949,43.33
2022-01-05,0.13390272,42.22
2022-01-06,0.13872215,77.78
2022-01-07,0.14006452,86.67
2022-01-08,0.13953488,80.0
2022-01-09,0.1391828,78.89
2022-01-10,0.13776973,67.78
2022-01-11,0.14309879,97.78
2022-01-12,0.14469368,97.78
2022-01-13,0.14663906,100.0
2022-01-14,0.14815173,100.0
2022-01-15,0.1486753,100.0
2022-01-16,0.14897457,100.0
2022-01-17,0.1480526,96.67
2022-01-18,0.1491843,100.0
2022-01-19,0.14977205,100.0
2022-01-20,0.14666098,93.33
2022-01-21,0.14948504,98.89
2022-01-22,0.14853784,94.44
2022-01-23,0.15120066,100.0
2022-01-24,0.15221642,100.0
2022-01-25,0.15661921,100.0
2022-01-26,0.15229457,98.89
2022-01-27,0.16083325,100.0
2022-01-28,0.15163124,95.56
2022-01-29,0.14964846,92.22
2022-01-30,0.14498324,78.89
2022-01-31,0.13930345,56.67
2022-02-01,0.13784295,44.44
2022-02-02,0.13686877,35.56
2022-02-03,0.13812114,47.78
2022-02-04,0.13338943,8.89
2022-02-05,0.13732096,41.11
2022-02-06,0.13744726,42.22
2022-02-07,0.13806744,46.67
2022-02-08,0.13084394,1.11
2022-02-09,0.13036616,1.11
2022-02-10,0.13497196,23.33
2022-02-11,0.13663349,31.11
2022-02-12,0.13827221,53.33
2022-02-13,0.13858655,54.44
2022-02-14,0.13769093,43.33
2022-02-15,0.1358245,27.78
2022-02-16,0.13685424,33.33
2022-02-17,0.13914872,60.0
2022-02-18,0.14362399,76.67
2022-02-19,0.14466481,76.67
