date,ratio,percentile_90d
2021-06-01,11.71342685,
2021-06-02,11.81208449,
2021-06-03,10.81965557,
2021-06-04,10.46387059,
2021-06-05,9.84230313,
2021-06-06,9.32898946,
2021-06-07,9.36210279,
2021-06-08,8.54649048,
2021-06-09,8.93462124,
2021-06-10,8.56197543,
2021-06-11,9.5624637,
2021-06-12,9.42263406,
2021-06-13,9.45073115,
2021-06-14,9.32609462,
2021-06-15,9.26952651,
2021-06-16,8.73993153,
2021-06-17,8.98637463,
2021-06-18,9.1569799,
2021-06-19,9.49161694,
2021-06-20,9.61738095,
2021-06-21,10.18277548,
2021-06-22,9.72253135,
2021-06-23,9.60696566,
2021-06-24,9.9104075,
2021-06-25,9.8044761,
2021-06-26,9.41645902,
2021-06-27,9.11903941,
2021-06-28,8.7876125,
2021-06-29,8.85457757,
2021-06-30,8.55280203,
2021-07-01,8.63905503,
2021-07-02,8.44617647,
2021-07-03,8.64195026,
2021-07-04,8.97374562,
2021-07-05,9.17770755,
2021-07-06,9.34727985,
2021-07-07,8.93054836,
2021-07-08,9.35791443,
2021-07-09,9.51793486,
2021-07-10,9.97444231,
2021-07-11,10.01056491,
2021-07-12,10.27364316,
2021-07-13,10.60337727,
2021-07-14,9.86449864,
2021-07-15,11.07409354,
2021-07-16,11.52906246,
2021-07-17,11.21259607,
2021-07-18,11.32606006,
2021-07-19,11.44640744,
2021-07-20,11.26522962,
2021-07-21,10.9835206,
2021-07-22,10.59099606,
2021-07-23,10.49480993,
2021-07-24,10.53816047,
2021-07-25,10.71084679,
2021-07-26,10.78626171,
2021-07-27,11.15468099,
2021-07-28,11.2573991,
2021-07-29,10.14983192,
2021-07-30,9.97032824,
2021-07-31,9.04583061,
2021-08-01,9.73481633,
2021-08-02,9.9662315,
2021-08-03,9.48336021,
2021-08-04,9.36157718,
2021-08-05,9.0463952,
2021-08-06,8.6626186,
2021-08-07,9.02429755,
2021-08-08,9.07808765,
2021-08-09,9.1683486,
2021-08-10,9.1515748,
2021-08-11,9.3933351,
2021-08-12,9.38299839,
2021-08-13,9.16261432,
2021-08-14,9.2584957,
2021-08-15,7.73477051,
2021-08-16,6.70343137,
