date,ratio,percentile_90d
2021-06-01,101.2530423,
2021-06-02,93.56148827,
2021-06-03,91.59538368,
2021-06-04,94.26414128,
2021-06-05,91.04081214,
2021-06-06,90.91588144,
2021-06-07,93.73335009,
2021-06-08,94.69733333,
2021-06-09,99.558103,
2021-06-10,104.21014946,
2021-06-11,107.97391179,
2021-06-12,103.42190864,
2021-06-13,106.67186987,
2021-06-14,109.44728383,
2021-06-15,109.53951102,
2021-06-16,110.44585565,
2021-06-17,107.95797081,
2021-06-18,106.23988611,
2021-06-19,106.23550193,
2021-06-20,104.99044473,
2021-06-21,116.74150539,
2021-06-22,124.03494849,
2021-06-23,113.68124895,
2021-06-24,112.31640853,
2021-06-25,112.47622948,
2021-06-26,115.44305382,
2021-06-27,119.29844948,
2021-06-28,118.94789655,
2021-06-29,119.39136939,
2021-06-30,115.38968095,
2021-07-01,116.56643357,
2021-07-02,117.65348052,
2021-07-03,116.28863248,
2021-07-04,114.70811391,
2021-07-05,111.54936759,
2021-07-06,106.96427232,
2021-07-07,103.39262923,
2021-07-08,106.00280518,
2021-07-09,106.64420196,
2021-07-10,105.98149437,
2021-07-11,106.34153837,
2021-07-12,104.6647792,
2021-07-13,105.94215705,
2021-07-14,106.07634131,
2021-07-15,100.8509696,
2021-07-16,103.61816561,
2021-07-17,104.88509916,
2021-07-18,105.19218802,
2021-07-19,109.92960006,
2021-07-20,112.65447739,
2021-07-21,109.61095956,
2021-07-22,110.06214208,
2021-07-23,112.38710863,
2021-07-24,113.60306407,
2021-07-25,116.9388551,
2021-07-26,122.49210526,
2021-07-27,125.87045426,
2021-07-28,127.53205864,
2021-07-29,126.22300729,
2021-07-30,130.84000868,
2021-07-31,124.74225284,
2021-08-01,119.80348176,
2021-08-02,118.43237029,
2021-08-03,118.13081656,
2021-08-04,118.65812349,
2021-08-05,120.92705158,
2021-08-06,125.11133503,
2021-08-07,125.14049076,
2021-08-08,128.13239123,
2021-08-09,130.54131858,
2021-08-10,122.56665412,
2021-08-11,116.40832822,
2021-08-12,115.12472126,
2021-08-13,116.36965625,
2021-08-14,115.17485991,
2021-08-15,113.44963169,
2021-08-16,110.41395651,
2021-08-17,111.23929816,
2021-08-18,112.84940048,
2021-08-19,108.42539476,
2021-08-20,108.41771262,
2021-08-21,108.79767794,
2021-08-22,109.74239993,
2021-08-23,99.16412856,
2021-08-24,101.08564098,
2021-08-25,97.32570202,
2021-08-26,97.97923029,
2021-08-27,99.23134479,
2021-08-28,100.56633073,
2021-08-29,101.66318532,18.89
2021-08-30,102.07019335,18.89
2021-08-31,101.53242078,16.67
2021-09-01,99.73543114,12.22
2021-09-02,101.81236303,17.78
2021-09-03,102.35238485,18.89
2021-09-04,100.29262608,10.0
2021-09-05,102.52947702,18.89
2021-09-06,106.15581536,32.22
2021-09-07,111.92674946,55.56
2021-09-08,110.95978313,52.22
2021-09-09,110.12375979,48.89
2021-09-10,111.73619831,54.44
2021-09-11,111.51244137,52.22
