date,ratio,percentile_90d
2021-06-01,1186.02010473,
2021-06-02,1105.15620404,
2021-06-03,991.03050351,
2021-06-04,986.36777546,
2021-06-05,896.05127041,
2021-06-06,848.15329937,
2021-06-07,877.54125801,
2021-06-08,809.32985816,
2021-06-09,889.51394176,
2021-06-10,892.24473908,
2021-06-11,1032.496612,
2021-06-12,974.50679899,
2021-06-13,1008.12716375,
2021-06-14,1020.7157253,
2021-06-15,1015.37940105,
2021-06-16,965.28921667,
2021-06-17,970.15077041,
2021-06-18,972.8365019,
2021-06-19,1008.3466894,
2021-06-20,1009.73310265,
2021-06-21,1188.75253855,
2021-06-22,1205.9336746,
2021-06-23,1092.13185459,
2021-06-24,1113.10137761,
2021-06-25,1102.77050382,
2021-06-26,1087.06478551,
2021-06-27,1087.88726212,
2021-06-28,1045.26802218,
2021-06-29,1057.1601413,
2021-06-30,986.90509716,
2021-07-01,1007.02383457,
2021-07-02,993.72205882,
2021-07-03,1004.96057742,
2021-07-04,1029.36143524,
2021-07-05,1023.76747295,
2021-07-06,999.82498685,
2021-07-07,923.35287541,
2021-07-08,991.96518013,
2021-07-09,1015.03256791,
2021-07-10,1057.10630108,
2021-07-11,1064.53887266,
2021-07-12,1075.28859279,
2021-07-13,1123.34465953,
2021-07-14,1046.38992508,
2021-07-15,1116.83307059,
2021-07-16,1194.62030376,
2021-07-17,1176.03425118,
2021-07-18,1191.4130394,
2021-07-19,1258.29899221,
2021-07-20,1269.078555,
2021-07-21,1203.91423221,
2021-07-22,1165.66771364,
2021-07-23,1179.48134381,
2021-07-24,1197.16731898,
2021-07-25,1252.51416029,
2021-07-26,1321.23190463,
2021-07-27,1404.0447639,
2021-07-28,1435.67928251,
2021-07-29,1281.14230831,
2021-07-30,1304.51783396,
2021-07-31,1128.39728935,
2021-08-01,1166.26489097,
2021-08-02,1180.32441885,
2021-08-03,1120.27708547,
2021-08-04,1110.82718121,
2021-08-05,1093.95389929,
2021-08-06,1083.79177736,
2021-08-07,1129.3050242,
2021-08-08,1163.19707835,
2021-08-09,1196.84831548,
2021-08-10,1121.67790354,
2021-08-11,1093.46243483,
2021-08-12,1080.21507469,
2021-08-13,1066.25027883,
2021-08-14,1066.34594472,
2021-08-15,877.50686518,
2021-08-16,740.15238003,
