date,ratio,percentile_90d
2021-06-01,36301.03878116,
2021-06-02,36684.58158383,
2021-06-03,37556.73684211,
2021-06-04,38034.69998967,
2021-06-05,38475.8396533,
2021-06-06,37799.6937698,
2021-06-07,38933.38361569,
2021-06-08,38232.51632115,
2021-06-09,40559.82859622,
2021-06-10,42223.9465807,
2021-06-11,44070.33408098,
2021-06-12,42692.90175354,
2021-06-13,44180.89900362,
2021-06-14,45493.2517404,
2021-06-15,46339.65139097,
2021-06-16,46092.56009615,
2021-06-17,45246.43069248,
2021-06-18,44932.06221776,
2021-06-19,46799.94724347,
2021-06-20,45989.09701589,
2021-06-21,52099.76924345,
2021-06-22,59454.20629115,
2021-06-23,52762.13379289,
2021-06-24,51497.68236518,
2021-06-25,51684.58517428,
2021-06-26,52391.51249594,
2021-06-27,53516.87230105,
2021-06-28,53530.24518932,
2021-06-29,50844.86761999,
2021-06-30,49617.72617868,
2021-07-01,50834.00091033,
2021-07-02,51535.31116534,
2021-07-03,51499.00475342,
2021-07-04,50699.00862069,
2021-07-05,51624.48666871,
2021-07-06,51474.14259928,
2021-07-07,51919.84053971,
2021-07-08,52897.36122285,
2021-07-09,53094.37902339,
2021-07-10,53638.92090938,
2021-07-11,53832.4795726,
2021-07-12,52618.68638677,
2021-07-13,52858.15568475,
2021-07-14,52961.1424883,
2021-07-15,53319.95316943,
2021-07-16,53256.1853046,
2021-07-17,54148.89194297,
2021-07-18,54174.15615411,
2021-07-19,55367.41472172,
2021-07-20,56378.40651022,
2021-07-21,56206.52211925,
2021-07-22,54540.25337838,
2021-07-23,55219.32359219,
2021-07-24,56299.326212,
2021-07-25,58297.94035261,
2021-07-26,59733.07667629,
2021-07-27,61165.50922338,
2021-07-28,54619.29848506,
2021-07-29,53440.81196581,
2021-07-30,56118.02951735,
2021-07-31,55578.86058981,
2021-08-01,55019.9392433,
2021-08-02,53045.82655827,
2021-08-03,53541.26961883,
2021-08-04,54340.875513,
2021-08-05,55769.7011055,
2021-08-06,57314.51699224,
2021-08-07,54609.82602303,
2021-08-08,56233.14072933,
2021-08-09,56613.70869033,
2021-08-10,53560.0869463,
2021-08-11,45038.09995052,
2021-08-12,45961.69772257,
2021-08-13,43849.18814788,
2021-08-14,36798.1471347,
2021-08-15,36586.82140354,
2021-08-16,38718.92872206,
2021-08-17,40714.11003826,
2021-08-18,39108.81812615,
2021-08-19,37872.04989066,
2021-08-20,39054.92913136,
2021-08-21,40156.16877776,
2021-08-22,40162.4959217,
2021-08-23,39727.74343742,
2021-08-24,41992.43371796,
2021-08-25,41732.69706008,
2021-08-26,43730.27445855,
2021-08-27,41172.93169995,
2021-08-28,42669.82284667,
2021-08-29,42748.79908836,28.89
2021-08-30,42703.97200509,27.78
2021-08-31,39727.47132254,14.44
2021-09-01,39484.32292509,13.33
2021-09-02,39293.57695683,12.22
2021-09-03,38738.00263423,7.78
2021-09-04,39779.75773032,15.56
2021-09-05,39581.58458244,12.22
2021-09-06,37904.05930618,4.44
2021-09-07,41501.70917464,21.11
2021-09-08,41869.71267503,23.33
2021-09-09,42689.67611336,26.67
2021-09-10,42504.65314632,25.56
2021-09-11,41877.89932326,24.44
2021-09-12,41163.79572489,20.0
2021-09-13,42225.62247487,27.78
2021-09-14,42973.20076621,34.44
2021-09-15,42938.70795039,34.44
2021-09-16,43788.13061824,37.78
2021-09-17,44367.30137886,40.0
2021-09-18,44919.30053018,41.11
2021-09-19,45065.10540876,43.33
2021-09-20,46674.93489583,45.56
2021-09-21,46590.84982272,45.56
2021-09-22,43400.38871723,36.67
2021-09-23,44793.59025559,42.22
2021-09-24,45350.18008475,46.67
2021-09-25,45394.29787234,47.78
2021-09-26,45740.67401441,48.89
2021-09-27,45722.87914949,48.89
2021-09-28,45952.66577061,51.11
2021-09-29,44803.92749245,43.33
2021-09-30,45970.94303997,54.44
2021-10-01,46192.29514489,55.56
2021-10-02,45984.0718216,55.56
2021-10-03,45678.55382866,50.0
2021-10-04,47218.16786571,61.11
2021-10-05,47487.76639911,62.22
2021-10-06,51384.11518811,63.33
2021-10-07,50370.12549167,63.33
2021-10-08,50725.30086499,64.44
2021-10-09,47354.11926922,62.22
2021-10-10,48149.2248062,64.44
2021-10-11,50573.16965857,66.67
2021-10-12,50823.13487021,68.89
2021-10-13,50879.82261641,70.0
2021-10-14,50589.22018349,67.78
2021-10-15,54036.99290283,77.78
2021-10-16,53667.96262012,77.78
2021-10-17,56221.06176901,91.11
2021-10-18,57273.33518057,95.56
2021-10-19,58913.56429292,97.78
2021-10-20,57617.99214317,95.56
2021-10-21,57131.31545104,92.22
2021-10-22,55753.99173174,85.56
2021-10-23,56051.53649168,87.78
2021-10-24,56235.30172812,92.22
