date,ratio,percentile_90d
2021-06-01,7.26998537,
2021-06-02,6.73960253,
2021-06-03,6.66833925,
2021-06-04,6.88382391,
2021-06-05,6.73638741,
2021-06-06,6.88776573,
2021-06-07,7.2411722,
2021-06-08,7.11270922,
2021-06-09,6.95047132,
2021-06-10,7.02133886,
2021-06-11,6.80841649,
2021-06-12,6.89770148,
2021-06-13,6.85984144,
2021-06-14,6.97147411,
2021-06-15,6.9404606,
2021-06-16,6.81956685,
2021-06-17,6.72603089,
2021-06-18,6.62620121,
2021-06-19,6.48085387,
2021-06-20,6.61634423,
2021-06-21,6.96369479,
2021-06-22,7.17008775,
2021-06-23,6.64351055,
2021-06-24,6.44650379,
2021-06-25,6.44143727,
2021-06-26,6.54260683,
2021-06-27,6.81500327,
2021-06-28,7.18762069,
2021-06-29,7.1988098,
2021-06-30,7.49293734,
2021-07-01,7.32842779,
2021-07-02,7.5012362,
2021-07-03,7.46986214,
2021-07-04,7.55051687,
2021-07-05,7.2727965,
2021-07-06,7.25962741,
2021-07-07,7.07328021,
2021-07-08,6.82378926,
2021-07-09,6.77091677,
2021-07-10,6.67686322,
2021-07-11,6.64405885,
2021-07-12,6.42661015,
2021-07-13,6.28002201,
2021-07-14,6.44660633,
2021-07-15,6.07228496,
2021-07-16,6.19473059,
2021-07-17,6.32101025,
2021-07-18,6.26163522,
2021-07-19,6.48296143,
2021-07-20,6.75400847,
2021-07-21,6.80454204,
2021-07-22,6.9012817,
2021-07-23,7.09810539,
2021-07-24,7.2448269,
2021-07-25,7.23753966,
2021-07-26,7.32921053,
2021-07-27,7.3353643,
2021-07-28,7.33237731,
2021-07-29,7.51638646,
2021-07-30,7.63162626,
2021-07-31,7.6149287,
2021-08-01,7.68420578,
2021-08-02,7.88664347,
2021-08-03,7.75759824,
2021-08-04,8.13925979,
2021-08-05,8.3661034,
2021-08-06,8.4452817,
2021-08-07,8.87278904,
2021-08-08,8.81198982,
2021-08-09,8.91995936,
2021-08-10,8.44713917,
2021-08-11,8.08394721,
2021-08-12,7.89804491,
2021-08-13,8.0882267,
2021-08-14,7.98482884,
2021-08-15,7.98717546,
2021-08-16,7.56886847,
2021-08-17,7.49556994,
2021-08-18,7.60961757,
2021-08-19,7.38312426,
2021-08-20,7.22049546,
2021-08-21,7.18329099,
2021-08-22,7.21672461,
2021-08-23,6.65507153,
2021-08-24,6.7228277,
2021-08-25,6.41282617,
2021-08-26,6.4697762,
2021-08-27,6.61971689,
2021-08-28,6.67313863,
2021-08-29,6.71976235,26.67
2021-08-30,7.01638062,50.0
2021-08-31,7.39211037,72.22
2021-09-01,7.81941152,85.56
2021-09-02,7.82679347,85.56
2021-09-03,8.06163767,90.0
2021-09-04,7.80695198,82.22
2021-09-05,7.82545563,83.33
2021-09-06,7.91527918,86.67
2021-09-07,8.20293766,93.33
2021-09-08,8.4313253,94.44
2021-09-09,8.12943271,90.0
2021-09-10,7.9941704,85.56
2021-09-11,8.06519378,86.67
2021-09-12,8.17730002,91.11
2021-09-13,8.23189677,92.22
2021-09-14,8.28957277,92.22
2021-09-15,8.37827498,93.33
2021-09-16,8.40909734,93.33
2021-09-17,8.36155927,90.0
2021-09-18,8.36532749,90.0
2021-09-19,8.14640235,83.33
