date,ratio,percentile_90d
2021-06-01,0.07180017,
2021-06-02,0.07203394,
2021-06-03,0.07280213,
2021-06-04,0.07302696,
2021-06-05,0.07399305,
2021-06-06,0.07575976,
2021-06-07,0.07725289,
2021-06-08,0.07510992,
2021-06-09,0.06981322,
2021-06-10,0.06737673,
2021-06-11,0.06305613,
2021-06-12,0.06669478,
2021-06-13,0.06430788,
2021-06-14,0.0636971,
2021-06-15,0.06336034,
2021-06-16,0.06174579,
2021-06-17,0.06230231,
2021-06-18,0.06237018,
2021-06-19,0.0610046,
2021-06-20,0.06301854,
2021-06-21,0.05965055,
2021-06-22,0.057807,
2021-06-23,0.05843981,
2021-06-24,0.05739592,
2021-06-25,0.05726932,
2021-06-26,0.05667389,
2021-06-27,0.05712567,
2021-06-28,0.06042663,
2021-06-29,0.0602959,
2021-06-30,0.06493594,
2021-07-01,0.06286911,
2021-07-02,0.06375703,
2021-07-03,0.06423553,
2021-07-04,0.06582374,
2021-07-05,0.06519801,
2021-07-06,0.06786965,
2021-07-07,0.06841184,
2021-07-08,0.06437367,
2021-07-09,0.06349072,
2021-07-10,0.06300027,
2021-07-11,0.06247849,
2021-07-12,0.06140184,
2021-07-13,0.05927784,
2021-07-14,0.06077327,
2021-07-15,0.06021048,
2021-07-16,0.05978421,
2021-07-17,0.06026605,
2021-07-18,0.05952567,
2021-07-19,0.05897376,
2021-07-20,0.05995331,
2021-07-21,0.06207903,
2021-07-22,0.0627035,
2021-07-23,0.06315765,
2021-07-24,0.06377316,
2021-07-25,0.06189166,
2021-07-26,0.05983415,
2021-07-27,0.05827709,
2021-07-28,0.05749439,
2021-07-29,0.05954847,
2021-07-30,0.05832793,
2021-07-31,0.0610453,
2021-08-01,0.06414009,
2021-08-02,0.06659196,
2021-08-03,0.06566956,
2021-08-04,0.06859421,
2021-08-05,0.06918306,
2021-08-06,0.06750213,
2021-08-07,0.07090262,
2021-08-08,0.06877254,
2021-08-09,0.06833054,
2021-08-10,0.06891874,
2021-08-11,0.06944475,
2021-08-12,0.06860425,
2021-08-13,0.0695046,
2021-08-14,0.06932788,
2021-08-15,0.07040283,
2021-08-16,0.06854993,
2021-08-17,0.06738239,
2021-08-18,0.06743162,
2021-08-19,0.06809405,
2021-08-20,0.06659885,
2021-08-21,0.0660243,
2021-08-22,0.06576059,
2021-08-23,0.06711168,
2021-08-24,0.06650626,
2021-08-25,0.06589037,
2021-08-26,0.06603212,
2021-08-27,0.06670994,
2021-08-28,0.06635559,
2021-08-29,0.06609829,61.11
2021-08-30,0.06874074,82.22
2021-08-31,0.07280542,94.44
2021-09-01,0.07840154,100.0
2021-09-02,0.07687469,97.78
2021-09-03,0.07876355,100.0
2021-09-04,0.07784173,97.78
2021-09-05,0.07632396,95.56
2021-09-06,0.07456284,94.44
2021-09-07,0.07328845,93.33
2021-09-08,0.07598542,94.44
2021-09-09,0.07382088,92.22
2021-09-10,0.07154504,88.89
2021-09-11,0.07232551,88.89
2021-09-12,0.07396398,92.22
2021-09-13,0.07310406,88.89
2021-09-14,0.07289873,87.78
2021-09-15,0.07509235,93.33
2021-09-16,0.07474116,92.22
2021-09-17,0.07187762,82.22
2021-09-18,0.07114196,80.0
2021-09-19,0.07045929,77.78
2021-09-20,0.06921393,72.22
2021-09-21,0.06790087,60.0
2021-09-22,0.07066295,77.78
2021-09-23,0.07026595,74.44
2021-09-24,0.0684067,60.0
2021-09-25,0.06847167,61.11
2021-09-26,0.07088291,77.78
2021-09-27,0.06941338,70.0
2021-09-28,0.06836818,55.56
2021-09-29,0.06864538,62.22
2021-09-30,0.0684694,56.67
2021-10-01,0.06875362,63.33
2021-10-02,0.07111928,78.89
2021-10-03,0.07090725,77.78
2021-10-04,0.06879257,62.22
2021-10-05,0.06829481,47.78
2021-10-06,0.06462786,27.78
2021-10-07,0.06669992,38.89
2021-10-08,0.06604329,32.22
2021-10-09,0.0650562,25.56
2021-10-10,0.062464,18.89
2021-10-11,0.0616328,15.56
2021-10-12,0.06235092,17.78
2021-10-13,0.06288319,20.0
2021-10-14,0.06610211,33.33
2021-10-15,0.06273453,17.78
2021-10-16,0.06291456,18.89
2021-10-17,0.06252161,14.44
2021-10-18,0.060393,6.67
2021-10-19,0.06031416,6.67
2021-10-20,0.06304638,18.89
2021-10-21,0.06516779,24.44
2021-10-22,0.06545257,24.44
2021-10-23,0.06799382,45.56
2021-10-24,0.06708597,38.89
2021-10-25,0.06690634,37.78
2021-10-26,0.06848337,53.33
2021-10-27,0.06714208,38.89
2021-10-28,0.07075455,74.44
2021-10-29,0.07098195,77.78
2021-10-30,0.06987935,67.78
2021-10-31,0.0699384,67.78
2021-11-01,0.07091366,76.67
2021-11-02,0.07260188,83.33
2021-11-03,0.07318931,86.67
2021-11-04,0.07382229,88.89
2021-11-05,0.07342388,86.67
2021-11-06,0.07349854,86.67
2021-11-07,0.07289914,81.11
2021-11-08,0.07120209,73.33
2021-11-09,0.07068701,64.44
2021-11-10,0.07134104,73.33
2021-11-11,0.07285301,78.89
2021-11-12,0.07275885,76.67
2021-11-13,0.07213855,73.33
2021-11-14,0.070613,57.78
2021-11-15,0.07174994,71.11
2021-11-16,0.07009389,53.33
2021-11-17,0.07105492,64.44
2021-11-18,0.07025464,52.22
2021-11-19,0.07398095,90.0
2021-11-20,0.0738964,87.78
2021-11-21,0.07264011,73.33
2021-11-22,0.07264311,73.33
2021-11-23,0.07541439,93.33
2021-11-24,0.07471977,90.0
2021-11-25,0.07674393,95.56
2021-11-26,0.07521796,91.11
2021-11-27,0.07483942,88.89
2021-11-28,0.0749854,88.89
2021-11-29,0.07692659,96.67
2021-11-30,0.08130315,100.0
2021-12-01,0.08014382,98.89
2021-12-02,0.07987222,97.78
2021-12-03,0.07865014,96.67
2021-12-04,0.08376486,100.0
2021-12-05,0.08495449,100.0
2021-12-06,0.08619002,100.0
2021-12-07,0.08512531,98.89
2021-12-08,0.08790976,100.0
2021-12-09,0.08635165,98.89
2021-12-10,0.08268764,93.33
2021-12-11,0.08279755,93.33
2021-12-12,0.08251105,91.11
2021-12-13,0.08097874,88.89
2021-12-14,0.07982475,85.56
2021-12-15,0.08224868,90.0
2021-12-16,0.08309704,93.33
2021-12-17,0.08400865,94.44
2021-12-18,0.0845516,94.44
2021-12-19,0.08406248,93.33
2021-12-20,0.084084,93.33
2021-12-21,0.08210595,83.33
2021-12-22,0.08190288,82.22
2021-12-23,0.08087148,78.89
2021-12-24,0.07962141,74.44
2021-12-25,0.08124718,80.0
2021-12-26,0.08002995,75.56
2021-12-27,0.07962752,72.22
2021-12-28,0.07977391,72.22
2021-12-29,0.07812798,67.78
2021-12-30,0.0787182,68.89
2021-12-31,0.07954293,68.89
2022-01-01,0.07890467,67.78
2022-01-02,0.0809596,77.78
2022-01-03,0.08108087,78.89
2022-01-04,0.0825866,85.56
2022-01-05,0.08148534,80.0
2022-01-06,0.07907677,63.33
2022-01-07,0.07696683,57.78
2022-01-08,0.07391961,47.78
2022-01-09,0.07528959,53.33
2022-01-10,0.07370867,43.33
2022-01-11,0.07581965,54.44
2022-01-12,0.07678942,55.56
2022-01-13,0.07614196,53.33
2022-01-14,0.07680964,55.56
2022-01-15,0.07719844,57.78
2022-01-16,0.07770492,57.78
2022-01-17,0.07605561,48.89
2022-01-18,0.07460902,40.0
2022-01-19,0.07402831,38.89
2022-01-20,0.07378104,33.33
2022-01-21,0.07046586,10.0
2022-01-22,0.06877908,4.44
2022-01-23,0.07005219,6.67
2022-01-24,0.06653755,1.11
