date,ratio,percentile_90d
2021-06-01,85.15644192,
2021-06-02,79.60875449,
2021-06-03,72.14913388,
2021-06-04,72.0314425,
2021-06-05,66.30156688,
2021-06-06,64.25589385,
2021-06-07,67.7925984,
2021-06-08,60.78870166,
2021-06-09,62.0998287,
2021-06-10,60.11653084,
2021-06-11,65.1052355,
2021-06-12,64.99451694,
2021-06-13,64.83051723,
2021-06-14,65.0166272,
2021-06-15,64.33478349,
2021-06-16,59.60254732,
2021-06-17,60.44263339,
2021-06-18,60.67599131,
2021-06-19,61.51378232,
2021-06-20,63.63190288,
2021-06-21,70.9097405,
2021-06-22,69.71140292,
2021-06-23,63.82397769,
2021-06-24,63.88747953,
2021-06-25,63.15491778,
2021-06-26,61.6081891,
2021-06-27,62.14628335,
2021-06-28,63.16202539,
2021-06-29,63.74241978,
2021-06-30,64.08560969,
2021-07-01,63.31069099,
2021-07-02,63.35676471,
2021-07-03,64.55417705,
2021-07-04,67.75641774,
2021-07-05,66.74759937,
2021-07-06,67.85776895,
2021-07-07,63.16827094,
2021-07-08,63.85643594,
2021-07-09,64.44514483,
2021-07-10,66.59798694,
2021-07-11,66.51078242,
2021-07-12,66.02469938,
2021-07-13,66.58944261,
2021-07-14,63.59253945,
2021-07-15,67.24505167,
2021-07-16,71.41943588,
2021-07-17,70.87493471,
2021-07-18,70.91965658,
2021-07-19,74.20661798,
2021-07-20,76.08545625,
2021-07-21,74.73782772,
2021-07-22,73.09144734,
2021-07-23,74.49326694,
2021-07-24,76.34714845,
2021-07-25,77.52017842,
2021-07-26,79.05478286,
2021-07-27,81.82364872,
2021-07-28,82.54349776,
2021-07-29,76.29005923,
2021-07-30,76.08981888,
2021-07-31,68.88335511,
2021-08-01,74.80433192,
2021-08-02,78.60011457,
2021-08-03,73.56809852,
2021-08-04,76.19630872,
2021-08-05,75.68307766,
2021-08-06,73.15825427,
2021-08-07,80.07068839,
2021-08-08,79.99601594,
2021-08-09,81.7812969,
2021-08-10,77.30462598,
2021-08-11,75.93522501,
2021-08-12,74.10734271,
2021-08-13,74.10930181,
2021-08-14,73.9275034,
2021-08-15,61.7789692,
2021-08-16,50.73739035,
2021-08-17,46.96785865,
2021-08-18,41.48672639,
2021-08-19,43.75955143,
2021-08-20,41.76875246,
2021-08-21,43.67732145,
2021-08-22,44.49330127,
2021-08-23,43.91891356,
2021-08-24,44.9561161,
2021-08-25,44.83445181,
2021-08-26,41.28670582,
2021-08-27,37.20675153,
2021-08-28,33.71939306,
2021-08-29,34.20853231,2.22
2021-08-30,29.29378685,1.11
2021-08-31,31.67267018,2.22
2021-09-01,34.56616385,5.56
2021-09-02,29.52366841,2.22
2021-09-03,26.89965847,1.11
2021-09-04,27.97753456,2.22
2021-09-05,27.81894366,2.22
2021-09-06,23.91164292,1.11
2021-09-07,19.80035743,1.11
2021-09-08,18.31745367,1.11
2021-09-09,18.2274082,1.11
2021-09-10,17.86670379,1.11
2021-09-11,18.24849196,3.33
2021-09-12,19.53187217,5.56
2021-09-13,19.37916593,5.56
2021-09-14,21.61612538,8.89
2021-09-15,22.75678569,10.0
2021-09-16,23.42885285,11.11
2021-09-17,23.03706464,11.11
2021-09-18,20.30280109,8.89
2021-09-19,21.78986646,11.11
2021-09-20,22.42434285,12.22
2021-09-21,22.25360045,12.22
2021-09-22,20.78719092,10.0
2021-09-23,21.02928424,11.11
2021-09-24,21.04887515,12.22
2021-09-25,21.47383507,13.33
2021-09-26,22.55507225,18.89
2021-09-27,21.45647231,13.33
2021-09-28,21.21717095,13.33
2021-09-29,21.0754159,13.33
2021-09-30,21.22522459,15.56
2021-10-01,20.48718742,10.0
2021-10-02,20.04828974,8.89
2021-10-03,19.7579489,7.78
2021-10-04,20.26153294,11.11
2021-10-05,21.35384522,21.11
2021-10-06,23.23318386,32.22
2021-10-07,23.25599637,33.33
