date,ratio,percentile_90d
2021-06-01,2606.42065691,
2021-06-02,2642.5349087,
2021-06-03,2734.21052632,
2021-06-04,2777.55860787,
2021-06-05,2846.9447454,
2021-06-06,2863.69588173,
2021-06-07,3007.71640752,
2021-06-08,2871.6412782,
2021-06-09,2831.61206335,
2021-06-10,2844.9113516,
2021-06-11,2778.9044977,
2021-06-12,2847.39370646,
2021-06-13,2841.17980072,
2021-06-14,2897.78800808,
2021-06-15,2936.09604063,
2021-06-16,2846.02163462,
2021-06-17,2818.9571208,
2021-06-18,2802.42097341,
2021-06-19,2855.01187022,
2021-06-20,2898.16561168,
2021-06-21,3107.77979232,
2021-06-22,3436.86905633,
2021-06-23,3083.4090553,
2021-06-24,2955.75694548,
2021-06-25,2959.94108984,
2021-06-26,2969.23076923,
2021-06-27,3057.18692165,
2021-06-28,3234.65238982,
2021-06-29,3065.73693898,
2021-06-30,3221.97366558,
2021-07-01,3195.88833257,
2021-07-02,3285.73825503,
2021-07-03,3308.06595365,
2021-07-04,3337.19827586,
2021-07-05,3365.8136684,
2021-07-06,3493.53188929,
2021-07-07,3551.93192272,
2021-07-08,3405.19710378,
2021-07-09,3371.00015701,
2021-07-10,3379.26673071,
2021-07-11,3363.37209302,
2021-07-12,3230.88422392,
2021-07-13,3133.31718346,
2021-07-14,3218.62191383,
2021-07-15,3210.41980264,
2021-07-16,3183.87917869,
2021-07-17,3263.33963237,
2021-07-18,3224.75281282,
2021-07-19,3265.22441652,
2021-07-20,3380.07191522,
2021-07-21,3489.24637174,
2021-07-22,3419.86486486,
2021-07-23,3487.52257429,
2021-07-24,3590.38619556,
2021-07-25,3608.15620366,
2021-07-26,3574.07763876,
2021-07-27,3564.54813207,
2021-07-28,3140.30298894,
2021-07-29,3182.31837607,
2021-07-30,3273.24823827,
2021-07-31,3392.82841823,
2021-08-01,3528.98370616,
2021-08-02,3532.42547425,
2021-08-03,3516.03139013,
2021-08-04,3727.46922025,
2021-08-05,3858.31854784,
2021-08-06,3868.85202034,
2021-08-07,3871.97990689,
2021-08-08,3867.29583975,
2021-08-09,3868.44553244,
2021-08-10,3691.29362002,
2021-08-11,3127.65957447,
2021-08-12,3153.16770186,
2021-08-13,3047.72039262,
2021-08-14,2551.13751857,
2021-08-15,2575.81587351,
2021-08-16,2654.17967102,
2021-08-17,2743.41410093,
2021-08-18,2637.17085119,
2021-08-19,2578.86126184,
2021-08-20,2601.01354026,
2021-08-21,2651.28310577,
2021-08-22,2641.10929853,
2021-08-23,2666.19571325,
2021-08-24,2792.75962301,
2021-08-25,2749.78270132,
2021-08-26,2887.60268857,
2021-08-27,2746.64373217,
2021-08-28,2831.3814469,
2021-08-29,2825.62237027,23.33
2021-08-30,2935.50263588,37.78
2021-08-31,2892.37516869,34.44
2021-09-01,3095.63177479,47.78
2021-09-02,3020.6814011,42.22
2021-09-03,3051.14279073,43.33
2021-09-04,3096.52534268,47.78
2021-09-05,3021.0232487,40.0
2021-09-06,2826.23434576,20.0
2021-09-07,3041.59582005,40.0
2021-09-08,3181.48754319,53.33
2021-09-09,3151.38940007,51.11
2021-09-10,3040.9969674,36.67
2021-09-11,3028.8402707,35.56
2021-09-12,3044.63822556,37.78
2021-09-13,3086.86460584,43.33
2021-09-14,3132.69178145,47.78
2021-09-15,3224.36869814,60.0
2021-09-16,3272.7756375,65.56
2021-09-17,3189.01603977,53.33
2021-09-18,3195.64691657,53.33
2021-09-19,3175.25517505,47.78
2021-09-20,3230.55555556,61.11
2021-09-21,3163.55941896,46.67
2021-09-22,3066.79956145,35.56
2021-09-23,3147.46405751,43.33
2021-09-24,3102.25635593,37.78
2021-09-25,3108.22340426,37.78
2021-09-26,3242.23187791,63.33
2021-09-27,3173.77956173,46.67
2021-09-28,3141.70026882,42.22
2021-09-29,3075.58264998,32.22
2021-09-30,3147.60306304,45.56
2021-10-01,3175.88754558,52.22
2021-10-02,3270.3542813,68.89
2021-10-03,3238.94048522,65.56
2021-10-04,3248.25899281,67.78
2021-10-05,3243.16818895,67.78
2021-10-06,3320.84533209,75.56
2021-10-07,3359.68346132,76.67
2021-10-08,3350.06581422,76.67
2021-10-09,3080.67907618,33.33
2021-10-10,3007.59337562,22.22
2021-10-11,3116.96585709,41.11
2021-10-12,3168.86912325,52.22
2021-10-13,3199.48558758,62.22
2021-10-14,3344.05434016,76.67
2021-10-15,3389.98510471,80.0
2021-10-16,3376.49651768,77.78
2021-10-17,3515.03106725,84.44
2021-10-18,3458.90828484,81.11
2021-10-19,3553.32233526,87.78
2021-10-20,3632.60584897,92.22
2021-10-21,3723.12144038,93.33
2021-10-22,3649.24207625,91.11
2021-10-23,3811.15785623,94.44
2021-10-24,3772.5995749,93.33
2021-10-25,3853.86722674,94.44
2021-10-26,3730.49209932,91.11
2021-10-27,3941.70854271,100.0
2021-10-28,4051.44153512,100.0
2021-10-29,4082.11547344,100.0
2021-10-30,3985.50617739,97.78
2021-10-31,3852.63299784,88.89
2021-11-01,3957.33394411,96.67
2021-11-02,4044.31227421,97.78
2021-11-03,3804.10709859,85.56
2021-11-04,3775.67477507,85.56
2021-11-05,3863.4314826,91.11
2021-11-06,3925.28236316,93.33
2021-11-07,3781.43138219,86.67
2021-11-08,3751.83769021,83.33
2021-11-09,3764.4817437,83.33
2021-11-10,3889.07746597,92.22
2021-11-11,3886.50963597,91.11
2021-11-12,3926.16342674,93.33
2021-11-13,3905.38176926,91.11
2021-11-14,3894.68810506,90.0
2021-11-15,3894.01023891,88.89
2021-11-16,3870.33189299,85.56
2021-11-17,3914.72655893,91.11
2021-11-18,3840.95714011,80.0
2021-11-19,3943.04076386,94.44
2021-11-20,4023.86684907,96.67
2021-11-21,4029.05667518,96.67
2021-11-22,3946.27197218,92.22
2021-11-23,4070.3873933,98.89
2021-11-24,4134.57292272,100.0
2021-11-25,4334.97796513,100.0
2021-11-26,4301.89482648,98.89
2021-11-27,4332.72323318,98.89
2021-11-28,4433.55011872,100.0
2021-11-29,4490.33138008,100.0
2021-11-30,4638.14484624,100.0
2021-12-01,4629.71007172,98.89
2021-12-02,4643.07328119,100.0
2021-12-03,4576.84290522,96.67
2021-12-04,4873.06190082,100.0
2021-12-05,5216.20882536,100.0
2021-12-06,5266.61417323,100.0
2021-12-07,5281.33431445,100.0
2021-12-08,5146.03340292,96.67
2021-12-09,4783.45566818,94.44
2021-12-10,4877.3023023,95.56
2021-12-11,4872.93851287,93.33
2021-12-12,4920.76730609,95.56
2021-12-13,4837.46482476,91.11
2021-12-14,4762.42132544,88.89
2021-12-15,4864.53643186,91.11
2021-12-16,4916.29611228,94.44
2021-12-17,4864.95104193,90.0
2021-12-18,4792.94359719,86.67
2021-12-19,4699.56886228,83.33
2021-12-20,4483.66674244,76.67
2021-12-21,4240.14999472,71.11
2021-12-22,4172.70630177,70.0
2021-12-23,4135.81128659,68.89
2021-12-24,4439.23203511,75.56
2021-12-25,4425.88629486,73.33
2021-12-26,4416.91304348,72.22
2021-12-27,4355.62628115,71.11
2021-12-28,4454.19847328,75.56
2021-12-29,4442.77322237,74.44
2021-12-30,4423.16956833,70.0
2021-12-31,4430.79426299,71.11
2022-01-01,4426.40178676,70.0
2022-01-02,4458.73515024,75.56
2022-01-03,4524.13503123,77.78
2022-01-04,4600.2795333,78.89
2022-01-05,4582.74657002,77.78
2022-01-06,4372.75060968,61.11
2022-01-07,4190.77809798,54.44
2022-01-08,4134.39345142,50.0
2022-01-09,4185.88313413,53.33
2022-01-10,4166.34680362,51.11
2022-01-11,4205.78995197,54.44
2022-01-12,4220.93401778,54.44
2022-01-13,4219.54427083,53.33
2022-01-14,4277.57371961,55.56
2022-01-15,4269.07970735,54.44
2022-01-16,4299.69167523,55.56
2022-01-17,4213.82434029,48.89
2022-01-18,4208.08363297,47.78
2022-01-19,4178.3227205,43.33
2022-01-20,4169.30129185,41.11
2022-01-21,4032.89886935,31.11
2022-01-22,4043.21153201,31.11
2022-01-23,4041.07910234,30.0
2022-01-24,3987.07093822,25.56
2022-01-25,3978.68932039,23.33
2022-01-26,3977.05473922,23.33
