date,ratio,percentile_90d
2021-06-01,0.00084316,
2021-06-02,0.00090485,
2021-06-03,0.00100905,
2021-06-04,0.00101382,
2021-06-05,0.00111601,
2021-06-06,0.00117903,
2021-06-07,0.00113955,
2021-06-08,0.00123559,
2021-06-09,0.00112421,
2021-06-10,0.00112077,
2021-06-11,0.00096853,
2021-06-12,0.00102616,
2021-06-13,0.00099194,
2021-06-14,0.0009797,
2021-06-15,0.00098485,
2021-06-16,0.00103596,
2021-06-17,0.00103077,
2021-06-18,0.00102792,
2021-06-19,0.00099172,
2021-06-20,0.00099036,
2021-06-21,0.00084122,
2021-06-22,0.00082923,
2021-06-23,0.00091564,
2021-06-24,0.00089839,
2021-06-25,0.00090681,
2021-06-26,0.00091991,
2021-06-27,0.00091921,
2021-06-28,0.00095669,
2021-06-29,0.00094593,
2021-06-30,0.00101327,
2021-07-01,0.00099303,
2021-07-02,0.00100632,
2021-07-03,0.00099506,
2021-07-04,0.00097148,
2021-07-05,0.00097678,
2021-07-06,0.00100018,
2021-07-07,0.00108301,
2021-07-08,0.0010081,
2021-07-09,0.00098519,
2021-07-10,0.00094598,
2021-07-11,0.00093937,
2021-07-12,0.00092998,
2021-07-13,0.0008902,
2021-07-14,0.00095567,
2021-07-15,0.00089539,
2021-07-16,0.00083709,
2021-07-17,0.00085032,
2021-07-18,0.00083934,
2021-07-19,0.00079472,
2021-07-20,0.00078797,
2021-07-21,0.00083062,
2021-07-22,0.00085788,
2021-07-23,0.00084783,
2021-07-24,0.00083531,
2021-07-25,0.00079839,
2021-07-26,0.00075687,
2021-07-27,0.00071223,
2021-07-28,0.00069653,
2021-07-29,0.00078055,
2021-07-30,0.00076657,
2021-07-31,0.00088621,
2021-08-01,0.00085744,
2021-08-02,0.00084722,
2021-08-03,0.00089264,
2021-08-04,0.00090023,
2021-08-05,0.00091412,
2021-08-06,0.00092269,
2021-08-07,0.0008855,
2021-08-08,0.0008597,
2021-08-09,0.00083553,
2021-08-10,0.00089152,
2021-08-11,0.00091453,
2021-08-12,0.00092574,
2021-08-13,0.00093787,
2021-08-14,0.00093778,
2021-08-15,0.00113959,
2021-08-16,0.00135107,
2021-08-17,0.00143465,
2021-08-18,0.00162538,
2021-08-19,0.0015561,
2021-08-20,0.00159447,
2021-08-21,0.00151164,
2021-08-22,0.00147799,
2021-08-23,0.00152808,
2021-08-24,0.00147936,
2021-08-25,0.00146964,
2021-08-26,0.00159936,
2021-08-27,0.00179295,
2021-08-28,0.00196788,
2021-08-29,0.00193222,98.89
2021-08-30,0.0023466,100.0
2021-08-31,0.00229868,98.89
2021-09-01,0.00226816,97.78
2021-09-02,0.00260383,100.0
2021-09-03,0.00292805,100.0
2021-09-04,0.00278229,98.89
2021-09-05,0.0027436,97.78
2021-09-06,0.00311827,100.0
2021-09-07,0.00370137,100.0
2021-09-08,0.00414825,100.0
2021-09-09,0.00404999,98.89
2021-09-10,0.00400438,97.78
2021-09-11,0.00396337,96.67
2021-09-12,0.00378684,95.56
2021-09-13,0.0037723,94.44
2021-09-14,0.00337242,92.22
2021-09-15,0.00329978,91.11
2021-09-16,0.00319013,90.0
2021-09-17,0.00312009,88.89
2021-09-18,0.00350405,92.22
2021-09-19,0.00323358,88.89
2021-09-20,0.00308655,84.44
2021-09-21,0.00305123,83.33
2021-09-22,0.00339935,91.11
2021-09-23,0.00334134,88.89
2021-09-24,0.0032499,86.67
2021-09-25,0.00318861,83.33
2021-09-26,0.00314266,82.22
2021-09-27,0.00323508,85.56
2021-09-28,0.0032223,83.33
2021-09-29,0.00325713,86.67
2021-09-30,0.00322585,82.22
2021-10-01,0.00335593,88.89
2021-10-02,0.0035474,92.22
2021-10-03,0.0035888,92.22
2021-10-04,0.00339523,87.78
2021-10-05,0.00319824,75.56
2021-10-06,0.0027817,64.44
2021-10-07,0.00286807,65.56
2021-10-08,0.0029445,66.67
2021-10-09,0.00285425,63.33
2021-10-10,0.00269946,58.89
