date,ratio,percentile_90d
2021-06-01,30.60743965,
2021-06-02,33.19402402,
2021-06-03,37.89665072,
2021-06-04,38.56036352,
2021-06-05,42.93932828,
2021-06-06,44.56705385,
2021-06-07,44.36644233,
2021-06-08,47.23972054,
2021-06-09,45.59774355,
2021-06-10,47.32327884,
2021-06-11,42.68327234,
2021-06-12,43.80975258,
2021-06-13,43.82472826,
2021-06-14,44.56995284,
2021-06-15,45.63776983,
2021-06-16,47.75,
2021-06-17,46.63855565,
2021-06-18,46.18665329,
2021-06-19,46.41255605,
2021-06-20,45.54579512,
2021-06-21,43.82726224,
2021-06-22,49.3013899,
2021-06-23,48.31113896,
2021-06-24,46.26504234,
2021-06-25,46.86794305,
2021-06-26,48.19539111,
2021-06-27,49.19339914,
2021-06-28,51.21198014,
2021-06-29,48.09571004,
2021-06-30,50.27608665,
2021-07-01,50.47944166,
2021-07-02,51.86089079,
2021-07-03,51.24480095,
2021-07-04,49.25287356,
2021-07-05,50.42598835,
2021-07-06,51.48315283,
2021-07-07,56.22968415,
2021-07-08,53.32582462,
2021-07-09,52.30805464,
2021-07-10,50.74127442,
2021-07-11,50.56882464,
2021-07-12,48.93447837,
2021-07-13,47.05426357,
2021-07-14,50.61319994,
2021-07-15,47.74209734,
2021-07-16,44.58001018,
2021-07-17,46.04363511,
2021-07-18,45.47050801,
2021-07-19,44.00179533,
2021-07-20,44.42467827,
2021-07-21,46.68648365,
2021-07-22,46.78885135,
2021-07-23,46.81661468,
2021-07-24,47.02711586,
2021-07-25,46.54473554,
2021-07-26,45.21013795,
2021-07-27,43.56378856,
2021-07-28,38.04422001,
2021-07-29,41.71340812,
2021-07-30,43.01821566,
2021-07-31,49.25469169,
2021-08-01,47.17619442,
2021-08-02,44.94173442,
2021-08-03,47.79288117,
2021-08-04,48.91928865,
2021-08-05,50.97993722,
2021-08-06,52.88332887,
2021-08-07,48.35702034,
2021-08-08,48.34360555,
2021-08-09,47.30232558,
2021-08-10,47.74997063,
2021-08-11,41.18852053,
2021-08-12,42.54865424,
2021-08-13,41.12466746,
2021-08-14,34.50863889,
2021-08-15,41.69405717,
2021-08-16,52.3121046,
2021-08-17,58.41045728,
2021-08-18,63.56661709,
2021-08-19,58.93253422,
2021-08-20,62.27175548,
2021-08-21,60.70159566,
2021-08-22,59.35970636,
2021-08-23,60.70723288,
2021-08-24,62.1219061,
2021-08-25,61.33191308,
2021-08-26,69.94025392,
2021-08-27,73.82111092,
2021-08-28,83.96893272,
2021-08-29,82.59992987,98.89
2021-08-30,100.2090529,100.0
2021-08-31,91.3208502,98.89
2021-09-01,89.55670603,97.78
2021-09-02,102.31389133,100.0
2021-09-03,113.42682265,100.0
2021-09-04,110.67899267,98.89
2021-09-05,108.59590089,97.78
2021-09-06,118.19490428,100.0
2021-09-07,153.61317747,100.0
2021-09-08,173.68612475,100.0
2021-09-09,172.89289658,98.89
2021-09-10,170.20470053,97.78
2021-09-11,165.97756559,96.67
2021-09-12,155.88051158,95.56
2021-09-13,159.28779479,95.56
2021-09-14,144.92383472,92.22
2021-09-15,141.68823057,91.11
2021-09-16,139.68996514,90.0
2021-09-17,138.42979083,88.89
2021-09-18,157.39931169,94.44
2021-09-19,145.72164457,91.11
2021-09-20,144.06467014,88.89
2021-09-21,142.15944184,87.78
2021-09-22,147.53314064,91.11
2021-09-23,149.67052716,91.11
2021-09-24,147.38347458,88.89
2021-09-25,144.74468085,85.56
2021-09-26,143.74735057,83.33
2021-09-27,147.91711868,90.0
2021-09-28,148.0734767,90.0
2021-09-29,145.93223997,85.56
2021-09-30,148.29539494,90.0
2021-10-01,155.01823067,92.22
2021-10-02,163.12385365,95.56
2021-10-03,163.93100834,95.56
2021-10-04,160.31654676,93.33
2021-10-05,151.87747947,86.67
2021-10-06,142.93543892,72.22
2021-10-07,144.46525567,74.44
2021-10-08,149.3606619,84.44
2021-10-09,135.16028956,64.44
2021-10-10,129.97709655,63.33
2021-10-11,127.39352341,62.22
2021-10-12,138.24650572,64.44
2021-10-13,131.29933481,62.22
2021-10-14,132.33944954,62.22
2021-10-15,142.97730658,70.0
2021-10-16,138.88741955,64.44
2021-10-17,146.30847953,77.78
2021-10-18,145.11868477,74.44
2021-10-19,142.773348,65.56
2021-10-20,154.27324313,87.78
2021-10-21,174.99540694,100.0
2021-10-22,180.33073036,100.0
2021-10-23,180.85787452,100.0
2021-10-24,186.80343776,100.0
2021-10-25,191.4893617,100.0
2021-10-26,180.45146727,96.67
2021-10-27,185.41708543,97.78
2021-10-28,184.72445411,96.67
2021-10-29,185.13625866,96.67
2021-10-30,180.43518348,92.22
2021-10-31,181.96441409,94.44
2021-11-01,186.80714613,98.89
2021-11-02,194.57220901,100.0
2021-11-03,201.11561028,100.0
2021-11-04,205.82305898,100.0
2021-11-05,203.83386581,98.89
2021-11-06,224.53518679,100.0
2021-11-07,204.68929333,97.78
2021-11-08,193.72610222,93.33
2021-11-09,190.151937,91.11
2021-11-10,195.84103512,94.44
2021-11-11,192.20062593,91.11
2021-11-12,192.27467811,91.11
2021-11-13,203.15338042,95.56
2021-11-14,200.892331,93.33
2021-11-15,203.24232082,95.56
2021-11-16,201.37905673,93.33
2021-11-17,199.89044098,90.0
2021-11-18,187.40149914,81.11
2021-11-19,197.62210797,88.89
2021-11-20,198.47697218,88.89
2021-11-21,218.10010408,98.89
2021-11-22,208.21904578,97.78
2021-11-23,208.0011256,96.67
2021-11-24,199.20588805,85.56
2021-11-25,201.15922591,88.89
2021-11-26,204.83287205,94.44
2021-11-27,203.91451545,92.22
2021-11-28,207.17456385,95.56
2021-11-29,206.19317034,94.44
2021-11-30,208.88510468,97.78
2021-12-01,232.15476311,100.0
2021-12-02,240.42815974,100.0
2021-12-03,229.77961133,97.78
2021-12-04,237.50739733,98.89
2021-12-05,244.16407707,100.0
2021-12-06,234.47607511,96.67
2021-12-07,233.2474859,95.56
2021-12-08,225.71329158,92.22
2021-12-09,211.01013632,88.89
2021-12-10,209.44694695,87.78
2021-12-11,205.13584366,80.0
2021-12-12,205.88585726,81.11
2021-12-13,198.52903556,64.44
2021-12-14,199.01271134,64.44
2021-12-15,216.07358993,88.89
2021-12-16,219.67457459,90.0
2021-12-17,220.32387648,90.0
2021-12-18,221.22972646,90.0
2021-12-19,215.48502994,84.44
2021-12-20,197.65855876,55.56
2021-12-21,189.7433189,45.56
2021-12-22,187.06092062,43.33
2021-12-23,191.1578312,46.67
2021-12-24,208.8425672,80.0
2021-12-25,208.71162992,78.89
2021-12-26,215.01086957,83.33
2021-12-27,211.1015212,82.22
2021-12-28,208.24427481,75.56
2021-12-29,208.82388936,76.67
2021-12-30,205.72382542,66.67
2021-12-31,204.88128239,64.44
2022-01-01,210.48548254,80.0
2022-01-02,205.39249942,64.44
2022-01-03,204.40893801,58.89
2022-01-04,203.84054448,56.67
2022-01-05,200.0,47.78
2022-01-06,192.86356052,35.56
2022-01-07,178.73984805,14.44
2022-01-08,190.74074074,30.0
2022-01-09,187.01195219,24.44
2022-01-10,183.61940803,17.78
2022-01-11,182.00701026,16.67
2022-01-12,189.6957556,26.67
2022-01-13,190.28645833,28.89
2022-01-14,189.04552509,24.44
2022-01-15,189.50070594,24.44
2022-01-16,190.10791367,26.67
2022-01-17,183.53682552,11.11
2022-01-18,188.06765215,21.11
2022-01-19,183.24075329,8.89
2022-01-20,177.16349493,1.11
2022-01-21,176.30339196,1.11
2022-01-22,158.46463292,1.11
2022-01-23,158.80948591,2.22
2022-01-24,150.26152337,1.11
2022-01-25,153.18770227,2.22
2022-01-26,148.74858711,1.11
2022-01-27,147.02693824,1.11
2022-01-28,149.46817215,3.33
2022-01-29,155.70132815,6.67
2022-01-30,155.14718111,6.67
2022-01-31,161.14350502,11.11
2022-02-01,175.07956715,12.22
2022-02-02,169.63036963,12.22
2022-02-03,166.78138315,12.22
2022-02-04,171.80778032,14.44
2022-02-05,170.8984375,14.44
2022-02-06,168.90842491,13.33
2022-02-07,141.38802021,1.11
2022-02-08,129.46479516,1.11
2022-02-09,130.99919512,2.22
2022-02-10,128.64412941,1.11
2022-02-11,127.16374654,1.11
2022-02-12,116.6970692,1.11
2022-02-13,115.24140499,1.11
2022-02-14,120.28207688,3.33
2022-02-15,123.92248972,4.44
2022-02-16,121.75472149,4.44
2022-02-17,121.61248375,4.44
2022-02-18,114.61734694,1.11
2022-02-19,111.10164334,1.11
2022-02-20,116.7717853,5.56
2022-02-21,118.21031633,6.67
2022-02-22,119.82244417,7.78
2022-02-23,121.41524329,10.0
2022-02-24,128.33548758,15.56
2022-02-25,120.41823613,10.0
2022-02-26,120.17847629,8.89
2022-02-27,118.68329868,7.78
2022-02-28,127.64758612,18.89
2022-03-01,125.85789004,17.78
2022-03-02,130.97437232,24.44
2022-03-03,127.23885562,20.0
2022-03-04,123.9231093,17.78
2022-03-05,118.87267905,8.89
2022-03-06,116.63218866,4.44
2022-03-07,113.46394331,2.22
2022-03-08,114.22228389,3.33
2022-03-09,114.99085923,5.56
2022-03-10,112.57981253,2.22
2022-03-11,100.47328434,1.11
2022-03-12,103.57642866,2.22
2022-03-13,103.56485135,2.22
2022-03-14,104.82705214,4.44
2022-03-15,108.18858561,5.56
2022-03-16,110.83470135,6.67
2022-03-17,110.64902331,6.67
2022-03-18,112.74325173,11.11
2022-03-19,112.65560166,11.11
2022-03-20,109.9913119,6.67
2022-03-21,105.80437119,5.56
2022-03-22,108.09227827,6.67
2022-03-23,113.28796562,16.67
2022-03-24,121.40484101,34.44
2022-03-25,119.67471781,30.0
2022-03-26,122.16884832,40.0
2022-03-27,124.75524476,43.33
2022-03-28,122.38166879,41.11
2022-03-29,130.13874315,53.33
2022-03-30,140.27632648,56.67
2022-03-31,150.67501227,63.33
2022-04-01,162.52265314,71.11
2022-04-02,160.78883495,70.0
2022-04-03,162.35768501,72.22
2022-04-04,159.97578692,70.0
2022-04-05,155.40176384,66.67
2022-04-06,148.7162607,60.0
