date,ratio,percentile_90d
2021-06-01,0.00278926,
2021-06-02,0.00255043,
2021-06-03,0.00243885,
2021-06-04,0.00247837,
2021-06-05,0.00236618,
2021-06-06,0.0024052,
2021-06-07,0.00240753,
2021-06-08,0.00247688,
2021-06-09,0.0024546,
2021-06-10,0.00246803,
2021-06-11,0.00245004,
2021-06-12,0.00242246,
2021-06-13,0.00241443,
2021-06-14,0.00240579,
2021-06-15,0.00236384,
2021-06-16,0.00239618,
2021-06-17,0.002386,
2021-06-18,0.00236446,
2021-06-19,0.00226999,
2021-06-20,0.00228294,
2021-06-21,0.00224073,
2021-06-22,0.00208623,
2021-06-23,0.0021546,
2021-06-24,0.002181,
2021-06-25,0.0021762,
2021-06-26,0.00220347,
2021-06-27,0.00222917,
2021-06-28,0.00222207,
2021-06-29,0.00234815,
2021-06-30,0.00232557,
2021-07-01,0.00229308,
2021-07-02,0.00228297,
2021-07-03,0.00225808,
2021-07-04,0.00226253,
2021-07-05,0.00216078,
2021-07-06,0.00207802,
2021-07-07,0.00199139,
2021-07-08,0.00200393,
2021-07-09,0.00200858,
2021-07-10,0.00197583,
2021-07-11,0.00197542,
2021-07-12,0.00198912,
2021-07-13,0.00200427,
2021-07-14,0.00200291,
2021-07-15,0.00189143,
2021-07-16,0.00194566,
2021-07-17,0.00193698,
2021-07-18,0.00194174,
2021-07-19,0.00198546,
2021-07-20,0.00199818,
2021-07-21,0.00195015,
2021-07-22,0.002018,
2021-07-23,0.00203529,
2021-07-24,0.00201784,
2021-07-25,0.00200588,
2021-07-26,0.00205066,
2021-07-27,0.00205787,
2021-07-28,0.00233493,
2021-07-29,0.00236192,
2021-07-30,0.00233151,
2021-07-31,0.00224442,
2021-08-01,0.00217746,
2021-08-02,0.00223264,
2021-08-03,0.00220635,
2021-08-04,0.00218359,
2021-08-05,0.00216833,
2021-08-06,0.00218289,
2021-08-07,0.00229154,
2021-08-08,0.00227859,
2021-08-09,0.00230583,
2021-08-10,0.0022884,
2021-08-11,0.00258466,
2021-08-12,0.0025048,
2021-08-13,0.00265386,
2021-08-14,0.00312991,
2021-08-15,0.00310083,
2021-08-16,0.00285168,
2021-08-17,0.00273221,
2021-08-18,0.00288552,
2021-08-19,0.00286294,
2021-08-20,0.00277603,
2021-08-21,0.00270936,
2021-08-22,0.00273246,
2021-08-23,0.00249609,
2021-08-24,0.00240723,
2021-08-25,0.00233212,
2021-08-26,0.00224054,
2021-08-27,0.00241011,
2021-08-28,0.00235685,
2021-08-29,0.00237815,66.67
2021-08-30,0.00239018,68.89
2021-08-31,0.00255572,87.78
2021-09-01,0.00252595,86.67
2021-09-02,0.00259107,88.89
2021-09-03,0.00264217,88.89
2021-09-04,0.0025212,83.33
2021-09-05,0.00259033,86.67
2021-09-06,0.00280065,94.44
2021-09-07,0.00269692,88.89
2021-09-08,0.00265012,86.67
2021-09-09,0.00257963,81.11
2021-09-10,0.0026288,84.44
2021-09-11,0.0026628,87.78
