date,ratio,percentile_90d
2021-06-01,2.755e-05,
2021-06-02,2.726e-05,
2021-06-03,2.663e-05,
2021-06-04,2.629e-05,
2021-06-05,2.599e-05,
2021-06-06,2.646e-05,
2021-06-07,2.568e-05,
2021-06-08,2.616e-05,
2021-06-09,2.465e-05,
2021-06-10,2.368e-05,
2021-06-11,2.269e-05,
2021-06-12,2.342e-05,
2021-06-13,2.263e-05,
2021-06-14,2.198e-05,
2021-06-15,2.158e-05,
2021-06-16,2.17e-05,
2021-06-17,2.21e-05,
2021-06-18,2.226e-05,
2021-06-19,2.137e-05,
2021-06-20,2.174e-05,
2021-06-21,1.919e-05,
2021-06-22,1.682e-05,
2021-06-23,1.895e-05,
2021-06-24,1.942e-05,
2021-06-25,1.935e-05,
2021-06-26,1.909e-05,
2021-06-27,1.869e-05,
2021-06-28,1.868e-05,
2021-06-29,1.967e-05,
2021-06-30,2.015e-05,
2021-07-01,1.967e-05,
2021-07-02,1.94e-05,
2021-07-03,1.942e-05,
2021-07-04,1.972e-05,
2021-07-05,1.937e-05,
2021-07-06,1.943e-05,
2021-07-07,1.926e-05,
2021-07-08,1.89e-05,
2021-07-09,1.883e-05,
2021-07-10,1.864e-05,
2021-07-11,1.858e-05,
2021-07-12,1.9e-05,
2021-07-13,1.892e-05,
2021-07-14,1.888e-05,
2021-07-15,1.875e-05,
2021-07-16,1.878e-05,
2021-07-17,1.847e-05,
2021-07-18,1.846e-05,
2021-07-19,1.806e-05,
2021-07-20,1.774e-05,
2021-07-21,1.779e-05,
2021-07-22,1.834e-05,
2021-07-23,1.811e-05,
2021-07-24,1.776e-05,
2021-07-25,1.715e-05,
2021-07-26,1.674e-05,
2021-07-27,1.635e-05,
2021-07-28,1.831e-05,
2021-07-29,1.871e-05,
2021-07-30,1.782e-05,
2021-07-31,1.799e-05,
2021-08-01,1.818e-05,
2021-08-02,1.885e-05,
2021-08-03,1.868e-05,
2021-08-04,1.84e-05,
2021-08-05,1.793e-05,
2021-08-06,1.745e-05,
2021-08-07,1.831e-05,
2021-08-08,1.778e-05,
2021-08-09,1.766e-05,
2021-08-10,1.867e-05,
2021-08-11,2.22e-05,
2021-08-12,2.176e-05,
2021-08-13,2.281e-05,
2021-08-14,2.718e-05,
2021-08-15,2.733e-05,
2021-08-16,2.583e-05,
2021-08-17,2.456e-05,
2021-08-18,2.557e-05,
2021-08-19,2.64e-05,
2021-08-20,2.56e-05,
2021-08-21,2.49e-05,
2021-08-22,2.49e-05,
2021-08-23,2.517e-05,
2021-08-24,2.381e-05,
2021-08-25,2.396e-05,
2021-08-26,2.287e-05,
2021-08-27,2.429e-05,
2021-08-28,2.344e-05,
2021-08-29,2.339e-05,72.22
2021-08-30,2.342e-05,73.33
2021-08-31,2.517e-05,86.67
2021-09-01,2.533e-05,87.78
2021-09-02,2.545e-05,88.89
2021-09-03,2.581e-05,93.33
2021-09-04,2.514e-05,85.56
2021-09-05,2.526e-05,88.89
2021-09-06,2.638e-05,96.67
2021-09-07,2.41e-05,80.0
2021-09-08,2.388e-05,77.78
2021-09-09,2.342e-05,74.44
2021-09-10,2.353e-05,75.56
2021-09-11,2.388e-05,76.67
2021-09-12,2.429e-05,81.11
2021-09-13,2.368e-05,73.33
2021-09-14,2.327e-05,66.67
2021-09-15,2.329e-05,66.67
2021-09-16,2.284e-05,63.33
2021-09-17,2.254e-05,61.11
2021-09-18,2.226e-05,60.0
2021-09-19,2.219e-05,57.78
2021-09-20,2.142e-05,55.56
2021-09-21,2.146e-05,55.56
2021-09-22,2.304e-05,64.44
2021-09-23,2.232e-05,58.89
2021-09-24,2.205e-05,54.44
2021-09-25,2.203e-05,53.33
2021-09-26,2.186e-05,52.22
2021-09-27,2.187e-05,52.22
