date,ratio,percentile_90d
2021-06-01,0.00038367,
2021-06-02,0.00037842,
2021-06-03,0.00036574,
2021-06-04,0.00036003,
2021-06-05,0.00035125,
2021-06-06,0.0003492,
2021-06-07,0.00033248,
2021-06-08,0.00034823,
2021-06-09,0.00035316,
2021-06-10,0.0003515,
2021-06-11,0.00035985,
2021-06-12,0.0003512,
2021-06-13,0.00035197,
2021-06-14,0.00034509,
2021-06-15,0.00034059,
2021-06-16,0.00035137,
2021-06-17,0.00035474,
2021-06-18,0.00035683,
2021-06-19,0.00035026,
2021-06-20,0.00034505,
2021-06-21,0.00032177,
2021-06-22,0.00029096,
2021-06-23,0.00032432,
2021-06-24,0.00033832,
2021-06-25,0.00033784,
2021-06-26,0.00033679,
2021-06-27,0.0003271,
2021-06-28,0.00030915,
2021-06-29,0.00032619,
2021-06-30,0.00031037,
2021-07-01,0.0003129,
2021-07-02,0.00030435,
2021-07-03,0.00030229,
2021-07-04,0.00029965,
2021-07-05,0.0002971,
2021-07-06,0.00028624,
2021-07-07,0.00028154,
2021-07-08,0.00029367,
2021-07-09,0.00029665,
2021-07-10,0.00029592,
2021-07-11,0.00029732,
2021-07-12,0.00030951,
2021-07-13,0.00031915,
2021-07-14,0.00031069,
2021-07-15,0.00031149,
2021-07-16,0.00031408,
2021-07-17,0.00030643,
2021-07-18,0.0003101,
2021-07-19,0.00030626,
2021-07-20,0.00029585,
2021-07-21,0.00028659,
2021-07-22,0.00029241,
2021-07-23,0.00028674,
2021-07-24,0.00027852,
2021-07-25,0.00027715,
2021-07-26,0.00027979,
2021-07-27,0.00028054,
2021-07-28,0.00031844,
2021-07-29,0.00031424,
2021-07-30,0.00030551,
2021-07-31,0.00029474,
2021-08-01,0.00028337,
2021-08-02,0.00028309,
2021-08-03,0.00028441,
2021-08-04,0.00026828,
2021-08-05,0.00025918,
2021-08-06,0.00025847,
2021-08-07,0.00025827,
2021-08-08,0.00025858,
2021-08-09,0.0002585,
2021-08-10,0.00027091,
2021-08-11,0.00031973,
2021-08-12,0.00031714,
2021-08-13,0.00032811,
2021-08-14,0.00039198,
2021-08-15,0.00038823,
2021-08-16,0.00037676,
2021-08-17,0.00036451,
2021-08-18,0.00037919,
2021-08-19,0.00038777,
2021-08-20,0.00038447,
2021-08-21,0.00037718,
2021-08-22,0.00037863,
2021-08-23,0.00037507,
2021-08-24,0.00035807,
2021-08-25,0.00036367,
2021-08-26,0.00034631,
2021-08-27,0.00036408,
2021-08-28,0.00035318,
2021-08-29,0.0003539,77.78
2021-08-30,0.00034066,63.33
2021-08-31,0.00034574,66.67
2021-09-01,0.00032304,53.33
2021-09-02,0.00033105,58.89
2021-09-03,0.00032775,57.78
2021-09-04,0.00032294,53.33
2021-09-05,0.00033101,61.11
2021-09-06,0.00035383,81.11
2021-09-07,0.00032877,61.11
2021-09-08,0.00031432,47.78
2021-09-09,0.00031732,50.0
2021-09-10,0.00032884,64.44
2021-09-11,0.00033016,65.56
2021-09-12,0.00032845,63.33
2021-09-13,0.00032395,57.78
2021-09-14,0.00031921,53.33
2021-09-15,0.00031014,41.11
2021-09-16,0.00030555,35.56
2021-09-17,0.00031358,47.78
2021-09-18,0.00031293,47.78
2021-09-19,0.00031494,53.33
2021-09-20,0.00030954,40.0
2021-09-21,0.0003161,54.44
2021-09-22,0.00032607,65.56
2021-09-23,0.00031772,57.78
2021-09-24,0.00032235,63.33
2021-09-25,0.00032173,63.33
2021-09-26,0.00030843,37.78
2021-09-27,0.00031508,54.44
2021-09-28,0.0003183,58.89
2021-09-29,0.00032514,68.89
2021-09-30,0.0003177,55.56
2021-10-01,0.00031487,48.89
2021-10-02,0.00030578,32.22
2021-10-03,0.00030874,35.56
2021-10-04,0.00030786,33.33
2021-10-05,0.00030834,33.33
2021-10-06,0.00030113,25.56
2021-10-07,0.00029765,24.44
2021-10-08,0.0002985,24.44
2021-10-09,0.0003246,67.78
2021-10-10,0.00033249,78.89
2021-10-11,0.00032082,60.0
2021-10-12,0.00031557,48.89
2021-10-13,0.00031255,38.89
2021-10-14,0.00029904,24.44
2021-10-15,0.00029499,21.11
2021-10-16,0.00029616,23.33
2021-10-17,0.00028449,16.67
2021-10-18,0.00028911,20.0
2021-10-19,0.00028143,13.33
2021-10-20,0.00027528,8.89
2021-10-21,0.00026859,7.78
2021-10-22,0.00027403,10.0
2021-10-23,0.00026239,6.67
2021-10-24,0.00026507,7.78
2021-10-25,0.00025948,6.67
2021-10-26,0.00026806,10.0
2021-10-27,0.0002537,1.11
2021-10-28,0.00024683,1.11
2021-10-29,0.00024497,1.11
2021-10-30,0.00025091,3.33
2021-10-31,0.00025956,12.22
2021-11-01,0.0002527,4.44
2021-11-02,0.00024726,3.33
2021-11-03,0.00026287,15.56
2021-11-04,0.00026485,15.56
2021-11-05,0.00025884,10.0
2021-11-06,0.00025476,7.78
2021-11-07,0.00026445,14.44
2021-11-08,0.00026654,17.78
2021-11-09,0.00026564,17.78
2021-11-10,0.00025713,8.89
2021-11-11,0.0002573,10.0
2021-11-12,0.0002547,7.78
2021-11-13,0.00025606,10.0
2021-11-14,0.00025676,11.11
2021-11-15,0.0002568,12.22
2021-11-16,0.00025838,15.56
2021-11-17,0.00025545,10.0
2021-11-18,0.00026035,21.11
2021-11-19,0.00025361,6.67
2021-11-20,0.00024852,4.44
2021-11-21,0.0002482,4.44
2021-11-22,0.0002534,8.89
2021-11-23,0.00024568,2.22
2021-11-24,0.00024186,1.11
2021-11-25,0.00023068,1.11
2021-11-26,0.00023246,2.22
2021-11-27,0.0002308,2.22
2021-11-28,0.00022555,1.11
2021-11-29,0.0002227,1.11
2021-11-30,0.0002156,1.11
2021-12-01,0.000216,2.22
2021-12-02,0.00021537,1.11
2021-12-03,0.00021849,4.44
2021-12-04,0.00020521,1.11
2021-12-05,0.00019171,1.11
2021-12-06,0.00018988,1.11
2021-12-07,0.00018935,1.11
2021-12-08,0.00019432,4.44
2021-12-09,0.00020905,6.67
2021-12-10,0.00020503,5.56
2021-12-11,0.00020521,7.78
2021-12-12,0.00020322,5.56
2021-12-13,0.00020672,10.0
2021-12-14,0.00020998,12.22
2021-12-15,0.00020557,10.0
2021-12-16,0.00020341,6.67
2021-12-17,0.00020555,11.11
2021-12-18,0.00020864,14.44
2021-12-19,0.00021279,17.78
2021-12-20,0.00022303,24.44
2021-12-21,0.00023584,30.0
2021-12-22,0.00023965,31.11
2021-12-23,0.00024179,32.22
2021-12-24,0.00022526,25.56
2021-12-25,0.00022594,27.78
2021-12-26,0.0002264,28.89
2021-12-27,0.00022959,30.0
2021-12-28,0.00022451,25.56
2021-12-29,0.00022508,26.67
2021-12-30,0.00022608,31.11
2021-12-31,0.00022569,30.0
2022-01-01,0.00022592,31.11
2022-01-02,0.00022428,25.56
2022-01-03,0.00022104,23.33
2022-01-04,0.00021738,22.22
2022-01-05,0.00021821,23.33
2022-01-06,0.00022869,40.0
2022-01-07,0.00023862,46.67
2022-01-08,0.00024187,51.11
2022-01-09,0.0002389,47.78
2022-01-10,0.00024002,50.0
2022-01-11,0.00023777,46.67
2022-01-12,0.00023691,46.67
2022-01-13,0.00023699,47.78
2022-01-14,0.00023378,45.56
2022-01-15,0.00023424,46.67
2022-01-16,0.00023257,45.56
2022-01-17,0.00023731,52.22
2022-01-18,0.00023764,53.33
2022-01-19,0.00023933,57.78
2022-01-20,0.00023985,60.0
2022-01-21,0.00024796,70.0
2022-01-22,0.00024733,70.0
2022-01-23,0.00024746,71.11
2022-01-24,0.00025081,75.56
2022-01-25,0.00025134,77.78
2022-01-26,0.00025144,77.78
2022-01-27,0.00025113,75.56
2022-01-28,0.00024012,62.22
2022-01-29,0.00023733,53.33
2022-01-30,0.00023112,44.44
2022-01-31,0.00022978,42.22
2022-02-01,0.00022546,33.33
2022-02-02,0.00022405,28.89
2022-02-03,0.00022638,41.11
2022-02-04,0.00021887,25.56
2022-02-05,0.00022094,26.67
2022-02-06,0.0002234,31.11
2022-02-07,0.0002648,100.0
2022-02-08,0.00028116,100.0
2022-02-09,0.0002681,98.89
2022-02-10,0.00026861,98.89
2022-02-11,0.0002593,94.44
2022-02-12,0.00028172,100.0
2022-02-13,0.00028062,97.78
2022-02-14,0.00027347,96.67
2022-02-15,0.00026747,93.33
2022-02-16,0.00026794,93.33
2022-02-17,0.00026592,91.11
2022-02-18,0.00028207,100.0
2022-02-19,0.00029725,100.0
2022-02-20,0.0002963,98.89
2022-02-21,0.00027328,92.22
2022-02-22,0.00027345,92.22
2022-02-23,0.00027007,90.0
2022-02-24,0.0002682,87.78
2022-02-25,0.00027809,93.33
2022-02-26,0.00027012,88.89
2022-02-27,0.00027572,92.22
2022-02-28,0.00026734,80.0
2022-03-01,0.00026338,76.67
2022-03-02,0.00026081,75.56
2022-03-03,0.00026517,77.78
2022-03-04,0.00027181,87.78
2022-03-05,0.00028291,97.78
2022-03-06,0.00028421,97.78
2022-03-07,0.00028891,97.78
2022-03-08,0.00027978,90.0
2022-03-09,0.00028082,91.11
2022-03-10,0.00028239,94.44
2022-03-11,0.00031402,100.0
2022-03-12,0.00030586,98.89
2022-03-13,0.00030219,97.78
2022-03-14,0.00029922,96.67
2022-03-15,0.00029251,93.33
2022-03-16,0.00028549,91.11
2022-03-17,0.00028219,86.67
2022-03-18,0.00027102,72.22
2022-03-19,0.00027768,77.78
2022-03-20,0.00028158,83.33
2022-03-21,0.00028972,92.22
2022-03-22,0.00028172,83.33
2022-03-23,0.00027589,73.33
2022-03-24,0.00027093,65.56
2022-03-25,0.00026559,54.44
2022-03-26,0.00026477,51.11
2022-03-27,0.00026034,47.78
2022-03-28,0.00025926,45.56
2022-03-29,0.00025223,44.44
2022-03-30,0.00025439,44.44
2022-03-31,0.0002483,37.78
2022-04-01,0.00023955,28.89
2022-04-02,0.00023927,26.67
2022-04-03,0.00023942,27.78
2022-04-04,0.00023469,15.56
2022-04-05,0.00023963,28.89
2022-04-06,0.0002397,28.89
2022-04-07,0.0002439,33.33
2022-04-08,0.00023647,14.44
2022-04-09,0.00023391,12.22
2022-04-10,0.0002355,15.56
2022-04-11,0.00023317,11.11
2022-04-12,0.00023622,17.78
2022-04-13,0.00023192,10.0
2022-04-14,0.00024031,32.22
2022-04-15,0.00025844,44.44
2022-04-16,0.00025522,43.33
2022-04-17,0.00025163,40.0
2022-04-18,0.00025197,40.0
2022-04-19,0.00024983,33.33
2022-04-20,0.00024437,27.78
2022-04-21,0.00024561,28.89
2022-04-22,0.00024234,26.67
2022-04-23,0.0002406,26.67
2022-04-24,0.00023899,18.89
2022-04-25,0.00023052,8.89
2022-04-26,0.0002285,7.78
2022-04-27,0.00022576,6.67
2022-04-28,0.00021887,2.22
2022-04-29,0.0002171,1.11
2022-04-30,0.00021436,1.11
2022-05-01,0.00021488,2.22
2022-05-02,0.00021505,3.33
2022-05-03,0.00021739,5.56
2022-05-04,0.00021965,8.89
2022-05-05,0.00021765,6.67
2022-05-06,0.00022363,11.11
2022-05-07,0.00022039,10.0
2022-05-08,0.00022471,12.22
2022-05-09,0.00021866,7.78
2022-05-10,0.00021904,10.0
2022-05-11,0.0002001,1.11
2022-05-12,0.00019671,1.11
2022-05-13,0.00021038,3.33
2022-05-14,0.00020725,3.33
2022-05-15,0.00020888,4.44
2022-05-16,0.00020908,5.56
2022-05-17,0.0002095,6.67
2022-05-18,0.00021179,8.89
2022-05-19,0.00020821,4.44
2022-05-20,0.00020933,7.78
2022-05-21,0.00020987,10.0
2022-05-22,0.00020644,3.33
2022-05-23,0.00020534,3.33
2022-05-24,0.00020643,4.44
2022-05-25,0.000209,10.0
2022-05-26,0.00021872,25.56
2022-05-27,0.0002211,31.11
2022-05-28,0.00021554,21.11
2022-05-29,0.00021454,18.89
2022-05-30,0.00020948,13.33
2022-05-31,0.00021716,25.56
2022-06-01,0.00021893,32.22
2022-06-02,0.00022109,36.67
2022-06-03,0.00021993,35.56
2022-06-04,0.0002175,27.78
2022-06-05,0.00021885,32.22
2022-06-06,0.00021647,24.44
2022-06-07,0.00022478,45.56
2022-06-08,0.00022356,43.33
2022-06-09,0.00022372,45.56
2022-06-10,0.00022942,51.11
2022-06-11,0.00023479,57.78
2022-06-12,0.00023926,63.33
2022-06-13,0.00025772,84.44
2022-06-14,0.00026586,91.11
2022-06-15,0.00027765,95.56
2022-06-16,0.00029312,100.0
2022-06-17,0.00029532,100.0
2022-06-18,0.000309,100.0
2022-06-19,0.00028923,96.67
2022-06-20,0.00028602,95.56
2022-06-21,0.00029258,96.67
2022-06-22,0.0003069,98.89
2022-06-23,0.00029335,96.67
2022-06-24,0.00029975,97.78
2022-06-25,0.00029589,96.67
2022-06-26,0.00029989,97.78
2022-06-27,0.0002966,95.56
2022-06-28,0.000295,92.22
2022-06-29,0.00029958,95.56
2022-06-30,0.00031008,100.0
2022-07-01,0.00029621,92.22
2022-07-02,0.00029578,90.0
2022-07-03,0.00029928,93.33
2022-07-04,0.00028558,80.0
2022-07-05,0.00028715,81.11
2022-07-06,0.00028014,77.78
2022-07-07,0.00027653,75.56
2022-07-08,0.00028022,77.78
2022-07-09,0.00028331,77.78
2022-07-10,0.0002786,74.44
2022-07-11,0.00028749,81.11
2022-07-12,0.00030003,96.67
2022-07-13,0.00029031,81.11
2022-07-14,0.0002797,71.11
2022-07-15,0.00027143,66.67
2022-07-16,0.00025851,64.44
2022-07-17,0.00025645,62.22
2022-07-18,0.00023105,53.33
2022-07-19,0.00024178,58.89
2022-07-20,0.0002389,55.56
2022-07-21,0.00023289,54.44
2022-07-22,0.00023305,55.56
2022-07-23,0.00023194,54.44
2022-07-24,0.00022445,46.67
2022-07-25,0.00023334,56.67
2022-07-26,0.00023269,53.33
2022-07-27,0.00021972,37.78
2022-07-28,0.00021681,25.56
2022-07-29,0.00021369,18.89
2022-07-30,0.00022858,48.89
2022-07-31,0.00022597,47.78
2022-08-01,0.00023254,52.22
2022-08-02,0.00022773,46.67
2022-08-03,0.00022835,46.67
2022-08-04,0.00023073,48.89
2022-08-05,0.00021672,23.33
2022-08-06,0.00021974,34.44
2022-08-07,0.00021892,30.0
2022-08-08,0.00021311,18.89
2022-08-09,0.00021565,22.22
2022-08-10,0.00020577,2.22
2022-08-11,0.00020221,1.11
2022-08-12,0.00019384,1.11
2022-08-13,0.00019057,1.11
2022-08-14,0.00019413,3.33
2022-08-15,0.00019752,4.44
2022-08-16,0.00020089,5.56
2022-08-17,0.0002069,12.22
2022-08-18,0.00020061,5.56
2022-08-19,0.00020783,14.44
2022-08-20,0.0002137,18.89
2022-08-21,0.00021315,16.67
2022-08-22,0.00021174,14.44
2022-08-23,0.00020848,12.22
2022-08-24,0.00020863,13.33
2022-08-25,0.00020595,10.0
2022-08-26,0.00022497,42.22
2022-08-27,0.0002244,38.89
2022-08-28,0.00022597,42.22
