date,ratio,percentile_90d
2021-06-01,0.0326718,
2021-06-02,0.0301259,
2021-06-03,0.02638756,
2021-06-04,0.02593337,
2021-06-05,0.02328867,
2021-06-06,0.0224381,
2021-06-07,0.02253956,
2021-06-08,0.02116863,
2021-06-09,0.02193091,
2021-06-10,0.02113125,
2021-06-11,0.02342838,
2021-06-12,0.02282597,
2021-06-13,0.02281817,
2021-06-14,0.02243664,
2021-06-15,0.02191168,
2021-06-16,0.02094241,
2021-06-17,0.02144149,
2021-06-18,0.02165128,
2021-06-19,0.02154589,
2021-06-20,0.02195592,
2021-06-21,0.02281685,
2021-06-22,0.0202834,
2021-06-23,0.02069916,
2021-06-24,0.02161459,
2021-06-25,0.02133655,
2021-06-26,0.02074887,
2021-06-27,0.02032793,
2021-06-28,0.01952668,
2021-06-29,0.02079188,
2021-06-30,0.01989017,
2021-07-01,0.01981004,
2021-07-02,0.01928235,
2021-07-03,0.01951417,
2021-07-04,0.02030338,
2021-07-05,0.01983104,
2021-07-06,0.01942383,
2021-07-07,0.0177842,
2021-07-08,0.01875264,
2021-07-09,0.01911751,
2021-07-10,0.01970782,
2021-07-11,0.01977503,
2021-07-12,0.02043549,
2021-07-13,0.02125206,
2021-07-14,0.01975769,
2021-07-15,0.02094587,
2021-07-16,0.02243158,
2021-07-17,0.02171853,
2021-07-18,0.02199228,
2021-07-19,0.02272635,
2021-07-20,0.02251001,
2021-07-21,0.02141948,
2021-07-22,0.02137261,
2021-07-23,0.02135994,
2021-07-24,0.02126433,
2021-07-25,0.02148471,
2021-07-26,0.02211893,
2021-07-27,0.02295484,
2021-07-28,0.0262852,
2021-07-29,0.02397311,
2021-07-30,0.02324597,
2021-07-31,0.02030263,
2021-08-01,0.02119713,
2021-08-02,0.02225103,
2021-08-03,0.02092362,
2021-08-04,0.02044183,
2021-08-05,0.01961556,
2021-08-06,0.01890955,
2021-08-07,0.02067952,
2021-08-08,0.02068526,
2021-08-09,0.02114061,
2021-08-10,0.02094242,
2021-08-11,0.02427861,
2021-08-12,0.02350251,
2021-08-13,0.02431631,
2021-08-14,0.02897825,
2021-08-15,0.02398423,
2021-08-16,0.01911603,
2021-08-17,0.01712022,
2021-08-18,0.01573153,
2021-08-19,0.01696856,
2021-08-20,0.01605864,
2021-08-21,0.01647403,
2021-08-22,0.01684644,
2021-08-23,0.0164725,
2021-08-24,0.01609738,
2021-08-25,0.01630473,
2021-08-26,0.01429792,
2021-08-27,0.01354626,
2021-08-28,0.01190917,
2021-08-29,0.01210655,2.22
2021-08-30,0.00997914,1.11
2021-08-31,0.0109504,2.22
2021-09-01,0.01116611,3.33
2021-09-02,0.00977384,1.11
2021-09-03,0.00881626,1.11
2021-09-04,0.00903514,2.22
2021-09-05,0.00920845,3.33
2021-09-06,0.0084606,1.11
2021-09-07,0.00650986,1.11
2021-09-08,0.00575751,1.11
2021-09-09,0.00578393,2.22
2021-09-10,0.00587528,3.33
2021-09-11,0.00602491,4.44
2021-09-12,0.00641517,5.56
2021-09-13,0.00627794,5.56
2021-09-14,0.00690018,8.89
2021-09-15,0.00705775,10.0
2021-09-16,0.00715871,11.11
2021-09-17,0.00722388,12.22
2021-09-18,0.00635327,6.67
2021-09-19,0.0068624,10.0
2021-09-20,0.00694133,12.22
2021-09-21,0.00703436,13.33
2021-09-22,0.00677814,10.0
2021-09-23,0.00668134,10.0
2021-09-24,0.00678502,12.22
2021-09-25,0.00690872,15.56
2021-09-26,0.00695665,17.78
2021-09-27,0.00676054,11.11
2021-09-28,0.0067534,11.11
2021-09-29,0.0068525,15.56
2021-09-30,0.0067433,11.11
2021-10-01,0.00645085,8.89
2021-10-02,0.00613031,5.56
2021-10-03,0.00610013,5.56
2021-10-04,0.00623766,7.78
2021-10-05,0.00658425,14.44
2021-10-06,0.00699617,28.89
2021-10-07,0.00692208,26.67
2021-10-08,0.0066952,16.67
2021-10-09,0.00739862,36.67
2021-10-10,0.00769366,37.78
2021-10-11,0.00784969,38.89
2021-10-12,0.00723346,36.67
2021-10-13,0.00761618,38.89
2021-10-14,0.00755633,38.89
2021-10-15,0.00699412,31.11
2021-10-16,0.00720008,36.67
2021-10-17,0.00683487,23.33
2021-10-18,0.00689091,26.67
2021-10-19,0.00700411,35.56
2021-10-20,0.00648201,13.33
2021-10-21,0.00571444,1.11
2021-10-22,0.00554537,1.11
2021-10-23,0.0055292,1.11
2021-10-24,0.00535322,1.11
2021-10-25,0.00522222,1.11
2021-10-26,0.00554166,4.44
2021-10-27,0.00539325,3.33
2021-10-28,0.00541347,4.44
2021-10-29,0.00540143,4.44
2021-10-30,0.00554216,8.89
2021-10-31,0.00549558,6.67
2021-11-01,0.00535311,2.22
2021-11-02,0.00513948,1.11
2021-11-03,0.00497226,1.11
2021-11-04,0.00485854,1.11
2021-11-05,0.00490596,2.22
2021-11-06,0.00445364,1.11
2021-11-07,0.00488545,3.33
2021-11-08,0.00516193,7.78
2021-11-09,0.00525895,10.0
2021-11-10,0.00510618,6.67
2021-11-11,0.0052029,10.0
2021-11-12,0.00520089,10.0
2021-11-13,0.00492239,5.56
2021-11-14,0.00497779,7.78
2021-11-15,0.00492024,5.56
2021-11-16,0.00496576,7.78
2021-11-17,0.00500274,11.11
2021-11-18,0.00533614,20.0
2021-11-19,0.00506016,12.22
2021-11-20,0.00503837,12.22
2021-11-21,0.00458505,2.22
2021-11-22,0.00480263,3.33
2021-11-23,0.00480767,4.44
2021-11-24,0.00501993,15.56
2021-11-25,0.00497119,12.22
2021-11-26,0.00488203,6.67
2021-11-27,0.00490402,8.89
2021-11-28,0.00482685,5.56
2021-11-29,0.00484982,6.67
2021-11-30,0.00478732,3.33
2021-12-01,0.00430747,1.11
2021-12-02,0.00415925,1.11
2021-12-03,0.004352,3.33
2021-12-04,0.0042104,2.22
2021-12-05,0.00409561,1.11
2021-12-06,0.00426483,4.44
2021-12-07,0.00428729,5.56
2021-12-08,0.0044304,8.89
2021-12-09,0.00473911,12.22
2021-12-10,0.00477448,13.33
2021-12-11,0.00487482,21.11
2021-12-12,0.00485706,20.0
2021-12-13,0.00503705,36.67
2021-12-14,0.0050248,36.67
2021-12-15,0.00462805,12.22
2021-12-16,0.00455219,11.11
2021-12-17,0.00453877,11.11
2021-12-18,0.00452019,11.11
2021-12-19,0.00464069,16.67
2021-12-20,0.00505923,45.56
2021-12-21,0.00527028,55.56
2021-12-22,0.00534585,57.78
2021-12-23,0.00523128,54.44
2021-12-24,0.0047883,21.11
2021-12-25,0.0047913,22.22
2021-12-26,0.00465093,17.78
2021-12-27,0.00473706,18.89
2021-12-28,0.00480205,25.56
2021-12-29,0.00478872,24.44
2021-12-30,0.00486089,34.44
2021-12-31,0.00488088,36.67
2022-01-01,0.00475092,21.11
2022-01-02,0.00486873,36.67
2022-01-03,0.00489215,42.22
